request_id,session_hash,step_number,prefix_tokens,discard
0,193ecdf5ef5ca299d3f2,1,301,True
1,8b4c2e6b8616b08640fa,1,298,True
2,c5c57541d8115d97a059,1,302,True
3,51180bbf5dfe89c7c3ad,1,302,True
4,4f56ac0644c71cc18aa1,1,306,True
5,c4bc44abbc0bb0990c47,1,291,True
6,bcc9292baf1a87e16a8b,1,295,True
7,6092ea921db93c66210d,1,301,True
8,4ea421697f5d2984480c,1,294,True
9,eded5b13b01306b168f2,1,298,True
10,9635ce9c08509898cbee,1,298,True
11,627ac4657cdf26d2b829,1,293,True
12,c5c57541d8115d97a059,2,871,True
13,210881c79857a6c93b19,1,300,True
14,07cddc8120a2880cc4a2,1,288,True
15,1578fd7703ecf72f84de,1,305,True
16,568f696d7806b406fd91,1,298,True
17,a7ea31b2ee87a09f8623,1,299,True
18,d0a570520771562240ca,1,311,True
19,5a44fd5ac15e97f71b86,1,298,True
20,aac75cd97c68bdf626dc,1,302,True
21,fcea4cd1cf623d29fddb,1,298,True
22,c68be4e2e84409fc6f5e,1,297,True
23,9a2a91b0e19ff88c4cf7,1,294,True
24,13e9ca87c358f515592d,1,345,True
25,8788c61ee591b172a655,1,288,True
26,aac75cd97c68bdf626dc,2,1718,True
27,f584466d606b8f88c74f,1,292,True
28,bd2c85e633e0382ed7bb,1,306,True
29,21fea266bb41dcf5efe6,1,292,True
30,33ee2296db9f23631ff3,1,306,True
31,4b9f72cffe09db36fd5f,1,296,True
32,c8c040a2b56e1262bff2,1,296,True
33,84cdbb064912a934b22c,1,308,True
34,548bbdae4ff3d4931a24,1,294,True
35,76a5df0f559b5828fc5c,1,296,True
36,5d8182f047e7ad79afce,1,285,True
37,94f35dc8f0066629593c,1,291,True
38,bd9d038024e2a8898a2e,1,299,True
39,763e9668a3e955754288,1,306,True
40,193ecdf5ef5ca299d3f2,2,808,True
41,ca04d7d2418652914b6c,1,298,True
42,7ce3588057e03f8cf84c,1,304,True
43,7f3fb4ecbc37abbb6890,1,298,True
44,3daa7f04bf37682facfd,1,322,True
45,fdeb9d16d8b68253bd9a,1,299,True
46,315e691f6f276f777726,1,303,True
47,8bbeb8ab108e06e7fe6e,1,300,True
48,7a0b83554fbb7b082000,1,301,True
49,470f22c8e4faa900be83,1,305,True
50,34c4f5302d0ab901b888,1,298,True
51,9381c60b4194a5be0c99,1,302,True
52,c0cb44080162eb352d93,1,294,True
53,3d81f29f440f371b8c80,1,303,True
54,ec992828b9da445e821d,1,309,True
55,4b9f72cffe09db36fd5f,2,1628,True
56,780de4aff9cdfa103f3d,1,292,True
57,7ce3588057e03f8cf84c,2,1173,True
58,c2502b8a0c3360c4e4cb,1,285,True
59,1ade6d85cf000c49caf3,1,304,True
60,86023f504d7b56fe4a74,1,292,True
61,15f960de80f52d798688,1,313,True
62,4b9f72cffe09db36fd5f,3,4096,True
63,ed3723bc92320403bb3a,1,302,True
64,886b7220e2bbab112387,1,327,True
65,563d7ffe327e2a11a704,1,306,True
66,7f3fb4ecbc37abbb6890,2,917,True
67,bee6aaf5dd8f938a3278,1,291,True
68,13bc56525292be58356c,1,295,True
69,c1ea8271b1162f38b2ea,1,296,True
70,07cddc8120a2880cc4a2,2,1074,True
71,66c3a1fd7c03d9cf178a,1,292,True
72,bee6aaf5dd8f938a3278,2,1094,True
73,4f56ac0644c71cc18aa1,2,817,True
74,9e61485654d3a5592286,1,308,True
75,4bc5cb6c9448591c8bdc,1,300,True
76,3d71ef12c2ebc9472e76,1,313,True
77,f44be9d92d2b997cd5bb,1,298,True
78,adc6a068b9d0e2c3e404,1,308,True
79,ab45ba91f42476a1c172,1,298,True
80,aac75cd97c68bdf626dc,3,2607,True
81,d7df31ceddbd777b7d28,1,315,True
82,8d49f0948f20afde6d49,1,314,True
83,147d251fbe4d3c8bce92,1,298,True
84,c68be4e2e84409fc6f5e,2,1184,True
85,f584466d606b8f88c74f,2,749,True
86,6092ea921db93c66210d,2,4096,True
87,830a123b96f5af1bb901,1,294,True
88,51180bbf5dfe89c7c3ad,2,1104,True
89,8bbeb8ab108e06e7fe6e,2,1995,True
90,c939f9cb419dc864a78f,1,289,True
91,ae3c34f6cce25db8a590,1,302,True
92,7f52065ddc80b7eca2bf,1,303,True
93,f89baabf54dcb1be63bf,1,301,True
94,568f696d7806b406fd91,2,945,True
95,91fb1d552a4dc309664d,1,298,True
96,ab45ba91f42476a1c172,2,808,True
97,ae29c769187c647be8f9,1,291,True
98,befefaf2907326fc088d,1,288,True
99,fdeb9d16d8b68253bd9a,2,1738,True
100,65fe57fbdb59f99a183c,1,298,False
101,2a8396acdfebd7a346a7,1,294,False
102,10c089e0038414a7cfbc,1,302,False
103,10c089e0038414a7cfbc,2,759,False
104,6d5fc03df3b53c97d539,1,309,False
105,5a25621cf5f01593d30d,1,300,False
106,7ce3588057e03f8cf84c,3,1674,False
107,3c039535d492e8443e14,1,298,False
108,042900e3e00719b2b983,1,310,False
109,9c4cda95c466419d28fe,1,303,False
110,8d49f0948f20afde6d49,2,1483,False
111,2661f5042091585cbdbf,1,309,False
112,e4116f4658c2251427e7,1,302,False
113,f89baabf54dcb1be63bf,2,1214,False
114,75255037aed0fec90ba1,1,304,False
115,bee6aaf5dd8f938a3278,3,1963,False
116,5fde1bbc21ffe5739f12,1,292,False
117,a37dd6d75add69f6cab7,1,300,False
118,f9f976163adc8977a583,1,300,False
119,df10b8a70a7d32c05845,1,302,False
120,73bd823b2f06b3ba4ccf,1,336,False
121,76be008cbd045cfbfe1b,1,313,False
122,a855978add45b6bb4319,1,294,False
123,627ac4657cdf26d2b829,2,655,False
124,73bd823b2f06b3ba4ccf,2,3048,False
125,34c4f5302d0ab901b888,2,1112,False
126,f854499d9619caf6c6eb,1,289,False
127,ed3723bc92320403bb3a,2,3906,False
128,f341351595d5cf7c697e,1,302,False
129,d9241bf68e3ee69f02cd,1,304,False
130,e7a2f0db3bc4f24270bc,1,309,False
131,c68be4e2e84409fc6f5e,3,1576,False
132,c68be4e2e84409fc6f5e,4,1934,False
133,388cb360832f89a28b80,1,302,False
134,c2502b8a0c3360c4e4cb,2,776,False
135,ec992828b9da445e821d,2,2320,False
136,d9fa6ad1d0edd9144b93,1,292,False
137,1005dcd9a46599961480,1,299,False
138,470f22c8e4faa900be83,2,1719,False
