experiment_id,experiment,evidence_type,code_commit,model,hardware,load_regime,interface,K,J,guard_ms,rep,repetitions,seed,workload_trace_hash,source_name,source_url,source_license,metric_scope,status,request_count,modeled_ttft_mean_ms,modeled_ttft_p50_ms,modeled_ttft_p95_ms,slo_miss_rate,saved_prefill_tokens_total,affinity_selected_rate,deadline_abstention_rate,raw_candidate_fanout_p95,evaluated_candidate_fanout_p95,dispatcher_index_bytes
20260716_slo_steady_slo_load_only_inf_rep0,slo_aware_interface_replay_v5,dispatcher_level_simulation,4d72fa16e12e68a3e577ebc82e94a6b4ef93c566,structural AgentTrace-derived state replay,CPU-only deterministic dispatcher simulation,steady,slo_load_only,inf,4,2.0,0,20,20260716,433a8eb6246165e1c822f93bf28ca39ffef57894d68ae0487a339b5b21bdbdb4,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,Modeled TTFT/deadline outcomes; not live serving latency.,Current,767,813.0639855581135,325.7692307692305,2837.346153846136,0.5919165580182529,0.0,0.0,0.0,0.0,0.0,384
20260716_slo_steady_slo_sketch_coverage_8_rep0,slo_aware_interface_replay_v5,dispatcher_level_simulation,4d72fa16e12e68a3e577ebc82e94a6b4ef93c566,structural AgentTrace-derived state replay,CPU-only deterministic dispatcher simulation,steady,slo_sketch_coverage,8,4,2.0,0,20,20260716,433a8eb6246165e1c822f93bf28ca39ffef57894d68ae0487a339b5b21bdbdb4,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,Modeled TTFT/deadline outcomes; not live serving latency.,Current,767,616.8194012636607,92.78846153846098,2473.1153846153684,0.45371577574967403,116256.0,0.05997392438070404,0.07561929595827901,1.0,1.0,2432
20260716_slo_steady_slo_sketch_coverage_16_rep0,slo_aware_interface_replay_v5,dispatcher_level_simulation,4d72fa16e12e68a3e577ebc82e94a6b4ef93c566,structural AgentTrace-derived state replay,CPU-only deterministic dispatcher simulation,steady,slo_sketch_coverage,16,4,2.0,0,20,20260716,433a8eb6246165e1c822f93bf28ca39ffef57894d68ae0487a339b5b21bdbdb4,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,Modeled TTFT/deadline outcomes; not live serving latency.,Current,767,445.58040818373064,66.96153846153811,2060.5961538461415,0.3455019556714472,213038.0,0.11994784876140809,0.12255541069100391,1.0,1.0,4480
20260716_slo_steady_slo_sketch_coverage_32_rep0,slo_aware_interface_replay_v5,dispatcher_level_simulation,4d72fa16e12e68a3e577ebc82e94a6b4ef93c566,structural AgentTrace-derived state replay,CPU-only deterministic dispatcher simulation,steady,slo_sketch_coverage,32,4,2.0,0,20,20260716,433a8eb6246165e1c822f93bf28ca39ffef57894d68ae0487a339b5b21bdbdb4,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,Modeled TTFT/deadline outcomes; not live serving latency.,Current,767,49.3679671046032,43.78846153846143,105.7307692307686,0.001303780964797914,789082.0,0.3650586701434159,0.05997392438070404,1.0,1.0,8576
20260716_slo_steady_slo_exact_inf_rep0,slo_aware_interface_replay_v5,dispatcher_level_simulation,4d72fa16e12e68a3e577ebc82e94a6b4ef93c566,structural AgentTrace-derived state replay,CPU-only deterministic dispatcher simulation,steady,slo_exact,inf,4,2.0,0,20,20260716,433a8eb6246165e1c822f93bf28ca39ffef57894d68ae0487a339b5b21bdbdb4,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,Modeled TTFT/deadline outcomes; not live serving latency.,Current,767,37.3531491324841,30.923076923076906,85.76923076923049,0.0,959219.0,0.5827900912646675,0.19556714471968709,2.0,2.0,33152
20260716_slo_burst_slo_load_only_inf_rep0,slo_aware_interface_replay_v5,dispatcher_level_simulation,4d72fa16e12e68a3e577ebc82e94a6b4ef93c566,structural AgentTrace-derived state replay,CPU-only deterministic dispatcher simulation,burst,slo_load_only,inf,4,2.0,0,20,20260716,433a8eb6246165e1c822f93bf28ca39ffef57894d68ae0487a339b5b21bdbdb4,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,Modeled TTFT/deadline outcomes; not live serving latency.,Current,767,824.8293300571607,342.6730769230744,2837.346153846136,0.6140808344198174,0.0,0.0,0.0,0.0,0.0,384
20260716_slo_burst_slo_sketch_coverage_8_rep0,slo_aware_interface_replay_v5,dispatcher_level_simulation,4d72fa16e12e68a3e577ebc82e94a6b4ef93c566,structural AgentTrace-derived state replay,CPU-only deterministic dispatcher simulation,burst,slo_sketch_coverage,8,4,2.0,0,20,20260716,433a8eb6246165e1c822f93bf28ca39ffef57894d68ae0487a339b5b21bdbdb4,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,Modeled TTFT/deadline outcomes; not live serving latency.,Current,767,631.6841841339847,120.38461538461524,2479.480769230753,0.4771838331160365,107068.0,0.048239895697522815,0.08604954367666232,1.0,1.0,2432
20260716_slo_burst_slo_sketch_coverage_16_rep0,slo_aware_interface_replay_v5,dispatcher_level_simulation,4d72fa16e12e68a3e577ebc82e94a6b4ef93c566,structural AgentTrace-derived state replay,CPU-only deterministic dispatcher simulation,burst,slo_sketch_coverage,16,4,2.0,0,20,20260716,433a8eb6246165e1c822f93bf28ca39ffef57894d68ae0487a339b5b21bdbdb4,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,Modeled TTFT/deadline outcomes; not live serving latency.,Current,767,469.38978036305036,83.90384615384619,2096.076923076911,0.3728813559322034,200808.0,0.10821382007822686,0.12385919165580182,1.0,1.0,4480
20260716_slo_burst_slo_sketch_coverage_32_rep0,slo_aware_interface_replay_v5,dispatcher_level_simulation,4d72fa16e12e68a3e577ebc82e94a6b4ef93c566,structural AgentTrace-derived state replay,CPU-only deterministic dispatcher simulation,burst,slo_sketch_coverage,32,4,2.0,0,20,20260716,433a8eb6246165e1c822f93bf28ca39ffef57894d68ae0487a339b5b21bdbdb4,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,Modeled TTFT/deadline outcomes; not live serving latency.,Current,767,422.88313609467247,71.75,1973.1346153846025,0.3494132985658409,253730.0,0.16688396349413298,0.21642764015645372,2.0,2.0,8576
20260716_slo_burst_slo_exact_inf_rep0,slo_aware_interface_replay_v5,dispatcher_level_simulation,4d72fa16e12e68a3e577ebc82e94a6b4ef93c566,structural AgentTrace-derived state replay,CPU-only deterministic dispatcher simulation,burst,slo_exact,inf,4,2.0,0,20,20260716,433a8eb6246165e1c822f93bf28ca39ffef57894d68ae0487a339b5b21bdbdb4,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,Modeled TTFT/deadline outcomes; not live serving latency.,Current,767,44.69401263664621,36.596153846154266,98.59615384615336,0.01564537157757497,953765.0,0.5554106910039114,0.21642764015645372,2.0,2.0,33152
20260716_slo_steady_slo_load_only_inf_rep1,slo_aware_interface_replay_v5,dispatcher_level_simulation,4d72fa16e12e68a3e577ebc82e94a6b4ef93c566,structural AgentTrace-derived state replay,CPU-only deterministic dispatcher simulation,steady,slo_load_only,inf,4,2.0,1,20,20260716,5f2cb22bca3f3aee0de2d09d33d5b511e6ce6627fb7a732bf0f99ccb686812a3,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,Modeled TTFT/deadline outcomes; not live serving latency.,Current,767,772.8952963594384,300.88461538461615,2730.999999999982,0.5971316818774446,0.0,0.0,0.0,0.0,0.0,384
20260716_slo_steady_slo_sketch_coverage_8_rep1,slo_aware_interface_replay_v5,dispatcher_level_simulation,4d72fa16e12e68a3e577ebc82e94a6b4ef93c566,structural AgentTrace-derived state replay,CPU-only deterministic dispatcher simulation,steady,slo_sketch_coverage,8,4,2.0,1,20,20260716,5f2cb22bca3f3aee0de2d09d33d5b511e6ce6627fb7a732bf0f99ccb686812a3,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,Modeled TTFT/deadline outcomes; not live serving latency.,Current,767,563.0495186039481,113.90384615384392,2322.403846153831,0.44198174706649285,109970.0,0.0560625814863103,0.07561929595827901,1.0,1.0,2432
20260716_slo_steady_slo_sketch_coverage_16_rep1,slo_aware_interface_replay_v5,dispatcher_level_simulation,4d72fa16e12e68a3e577ebc82e94a6b4ef93c566,structural AgentTrace-derived state replay,CPU-only deterministic dispatcher simulation,steady,slo_sketch_coverage,16,4,2.0,1,20,20260716,5f2cb22bca3f3aee0de2d09d33d5b511e6ce6627fb7a732bf0f99ccb686812a3,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,Modeled TTFT/deadline outcomes; not live serving latency.,Current,767,443.2900160465326,78.11538461538476,2029.6730769230653,0.3546284224250326,191834.0,0.10821382007822686,0.13298565840938723,2.0,2.0,4480
20260716_slo_steady_slo_sketch_coverage_32_rep1,slo_aware_interface_replay_v5,dispatcher_level_simulation,4d72fa16e12e68a3e577ebc82e94a6b4ef93c566,structural AgentTrace-derived state replay,CPU-only deterministic dispatcher simulation,steady,slo_sketch_coverage,32,4,2.0,1,20,20260716,5f2cb22bca3f3aee0de2d09d33d5b511e6ce6627fb7a732bf0f99ccb686812a3,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,Modeled TTFT/deadline outcomes; not live serving latency.,Current,767,45.301900511483225,41.94230769230762,88.92307692307713,0.0,828549.0,0.37809647979139505,0.07301173402868318,1.0,1.0,8576
20260716_slo_steady_slo_exact_inf_rep1,slo_aware_interface_replay_v5,dispatcher_level_simulation,4d72fa16e12e68a3e577ebc82e94a6b4ef93c566,structural AgentTrace-derived state replay,CPU-only deterministic dispatcher simulation,steady,slo_exact,inf,4,2.0,1,20,20260716,5f2cb22bca3f3aee0de2d09d33d5b511e6ce6627fb7a732bf0f99ccb686812a3,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,Modeled TTFT/deadline outcomes; not live serving latency.,Current,767,37.182880353023734,31.115384615384528,85.76923076923049,0.0,957525.0,0.5632333767926988,0.22294654498044328,2.0,2.0,33152
20260716_slo_burst_slo_load_only_inf_rep1,slo_aware_interface_replay_v5,dispatcher_level_simulation,4d72fa16e12e68a3e577ebc82e94a6b4ef93c566,structural AgentTrace-derived state replay,CPU-only deterministic dispatcher simulation,burst,slo_load_only,inf,4,2.0,1,20,20260716,5f2cb22bca3f3aee0de2d09d33d5b511e6ce6627fb7a732bf0f99ccb686812a3,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,Modeled TTFT/deadline outcomes; not live serving latency.,Current,767,784.4191154347568,312.192307692304,2730.999999999982,0.636245110821382,0.0,0.0,0.0,0.0,0.0,384
