experiment,evidence_type,load_regime,interface,K,n_reps,status,saved_prefill_tokens_total_mean,saved_prefill_tokens_total_ci95_low,saved_prefill_tokens_total_ci95_high,slo_miss_rate_mean,slo_miss_rate_ci95_low,slo_miss_rate_ci95_high,modeled_ttft_mean_ms_mean,modeled_ttft_mean_ms_ci95_low,modeled_ttft_mean_ms_ci95_high,modeled_ttft_p50_ms_mean,modeled_ttft_p50_ms_ci95_low,modeled_ttft_p50_ms_ci95_high,modeled_ttft_p95_ms_mean,modeled_ttft_p95_ms_ci95_low,modeled_ttft_p95_ms_ci95_high,dispatcher_index_bytes_mean,dispatcher_index_bytes_ci95_low,dispatcher_index_bytes_ci95_high,affinity_selected_rate_mean,affinity_selected_rate_ci95_low,affinity_selected_rate_ci95_high,deadline_abstention_rate_mean,deadline_abstention_rate_ci95_low,deadline_abstention_rate_ci95_high,incremental_saved_vs_exact_ratio_mean,incremental_saved_vs_exact_ratio_ci95_low,incremental_saved_vs_exact_ratio_ci95_high,delta_slo_miss_vs_load_mean,delta_slo_miss_vs_load_ci95_low,delta_slo_miss_vs_load_ci95_high
slo_aware_interface_replay_v5,dispatcher_level_simulation,burst,slo_exact,inf,20,Current,876986.45,753794.1,960806.65,0.054954367666232073,0.011929595827900912,0.11864406779661017,99.96201735031552,44.60796685387619,184.9766184434852,42.156730769230776,36.65673076923074,50.705769230769434,338.24615384615225,107.86057692307682,687.9240384615343,33152.0,33152.0,33152.0,0.5478487614080835,0.4969361147327249,0.5844850065189048,0.23852672750977835,0.20567144719687092,0.2852672750977836,1.0,1.0,1.0,-0.5534550195567145,-0.603780964797914,-0.48702737940026075
slo_aware_interface_replay_v5,dispatcher_level_simulation,burst,slo_load_only,inf,20,Current,0.0,0.0,0.0,0.6084093872229466,0.5945241199478488,0.6227509778357236,818.1228813559276,804.5667849262818,831.1438509176566,323.155769230767,299.2115384615369,346.6192307692282,2836.3269230769065,2804.0086538461373,2870.0394230769057,384.0,384.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slo_aware_interface_replay_v5,dispatcher_level_simulation,burst,slo_sketch_coverage,16,20,Current,150605.7,134036.05,170523.65,0.4292046936114733,0.40990873533246414,0.44661016949152543,562.1829593320598,520.6725892588478,598.0813960485373,101.39230769230755,94.93269230769249,108.01538461538412,2324.2124999999855,2220.2846153846017,2415.3355769230625,4480.0,4480.0,4480.0,0.092503259452412,0.08598435462842242,0.09928292046936114,0.13396349413298567,0.1272490221642764,0.14015645371577573,0.22487409132315322,0.1533715884002133,0.3165056285768995,-0.1792046936114733,-0.2059973924380704,-0.15071707953063884
slo_aware_interface_replay_v5,dispatcher_level_simulation,burst,slo_sketch_coverage,32,20,Current,617853.75,502344.4,718614.45,0.1317470664928292,0.06734028683181226,0.19745762711864406,175.41106082639567,98.00597106609122,270.72403344699484,62.778846153846075,55.61442307692298,72.01153846153852,696.9999999999957,329.16730769230594,1091.2038461538393,8576.0,8576.0,8576.0,0.3005215123859192,0.25769230769230766,0.3393089960886571,0.11942633637548893,0.09106910039113429,0.15228161668839635,0.911491138198031,0.5979067023280472,1.4002705315240649,-0.47666232073011733,-0.5416558018252934,-0.4001303780964798
slo_aware_interface_replay_v5,dispatcher_level_simulation,burst,slo_sketch_coverage,8,20,Current,84709.0,74623.3,96236.7,0.5009126466753585,0.4808996088657106,0.5213168187744459,679.1141560525484,651.3701158359205,706.0502306689359,154.16153846153782,134.87499999999937,177.2182692307686,2585.139423076907,2522.7701923076766,2638.746153846137,2432.0,2432.0,2432.0,0.04563233376792699,0.04250325945241199,0.04895697522816167,0.07959582790091264,0.07627118644067796,0.08279009126466753,0.1317440909718053,0.08602322782196518,0.19909061950378246,-0.10749674054758801,-0.13213820078226857,-0.08513689700130381
slo_aware_interface_replay_v5,dispatcher_level_simulation,steady,slo_exact,inf,20,Current,968321.8,961907.45,974230.0,0.0009126466753585397,0.0,0.0026727509778357236,38.25081862400956,37.39681325844944,39.20734379701125,31.699038461538475,31.138461538461524,32.28365384615379,91.02596153846135,87.78942307692292,95.03365384615358,33152.0,33152.0,33152.0,0.5883311603650587,0.5809647979139505,0.5962190352020861,0.1954367666232073,0.18846153846153846,0.20208604954367665,1.0,1.0,1.0,-0.5872881355932204,-0.6036505867014341,-0.5724250325945242
slo_aware_interface_replay_v5,dispatcher_level_simulation,steady,slo_load_only,inf,20,Current,0.0,0.0,0.0,0.5882007822685789,0.5729465449804433,0.6050195567144719,808.2279347608018,795.0008311603606,821.3783258950912,308.1826923076907,281.15384615384494,334.8884615384599,2838.152884615368,2806.30384615383,2869.8240384615215,384.0,384.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slo_aware_interface_replay_v5,dispatcher_level_simulation,steady,slo_sketch_coverage,16,20,Current,195805.75,174012.75,219840.55,0.370013037809648,0.3470013037809648,0.3935462842242503,471.4632108113501,429.1953051348885,515.2824741751049,84.09230769230723,77.73173076923027,92.88173076923044,2102.9288461538326,1981.3317307692175,2220.382692307679,4480.0,4480.0,4480.0,0.10867014341590613,0.10052151238591917,0.11714471968709257,0.12418513689700131,0.11694915254237288,0.13142112125162972,0.20216352212483416,0.18060287608392034,0.22615667678589652,-0.2181877444589309,-0.24771838331160367,-0.18754889178617992
slo_aware_interface_replay_v5,dispatcher_level_simulation,steady,slo_sketch_coverage,32,20,Current,777737.6,731607.65,805789.9,0.011734028683181226,0.0002607561929595828,0.03415906127770534,59.341591866412344,48.826437919967724,79.24573513188207,45.508653846153585,43.88173076923063,47.39423076923026,167.07403846153758,100.90480769230741,295.031730769229,8576.0,8576.0,8576.0,0.35814863102998695,0.34224250325945244,0.36942633637548894,0.06877444589308997,0.06016949152542373,0.08194263363754889,0.8032126170829845,0.7573733680658236,0.8335085776829685,-0.5764667535853977,-0.601303780964798,-0.5473924380704042
slo_aware_interface_replay_v5,dispatcher_level_simulation,steady,slo_sketch_coverage,8,20,Current,94738.95,84078.65,106211.0,0.47112125162972623,0.45202086049543677,0.49165580182529334,650.8091540467316,622.3654009126429,680.1275411192418,128.6346153846145,110.26923076922992,151.8403846153837,2547.856730769215,2482.6221153846,2614.3298076922915,2432.0,2432.0,2432.0,0.05169491525423729,0.04706649282920469,0.056192959582790095,0.07601043024771838,0.0727509778357236,0.07972620599739244,0.09773948062172931,0.0866238329457307,0.10868122561475778,-0.11707953063885268,-0.14458930899608866,-0.0909387222946545
