experiment,scenario,policy_family,state_interface,n_instances,n_requests,n_prefixes,capacity_per_instance,reuse_hit_rate,hash_candidate_hit_rate,visible_affinity_hit_rate,visible_affinity_chosen_rate,fallback_rate,ttft_p50_ms,ttft_p95_ms,saved_ms_total,candidate_fanout_p95,load_imbalance_p95,decision_p95_us,resident_entries_end,advertised_entries_end,metadata_snapshot_bytes_end,restart_count,remap_count,evictions_est,claim_relevance
sota_policy_matrix,stable,dualmap,load_only,16,200,80,256,0.75,0.765,0.0,0.0,0.0,45.0,150.0,15750.0,2,1,20.514,50,0,1536,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,stable,dualmap,exact_affinity,16,200,80,256,0.81,0.81,0.81,0.81,0.0,45.0,150.0,17010.0,2,1,20.491,38,38,3968,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,stable,dualmap,sketch_K2,16,200,80,256,0.815,0.815,0.765,0.765,0.0,45.0,150.0,17115.0,2,1,20.524,37,22,2944,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,stable,dualmap,sketch_K4,16,200,80,256,0.805,0.805,0.805,0.805,0.0,45.0,150.0,16905.0,2,1,20.514,39,36,3840,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,stable,dualmap,sketch_K8,16,200,80,256,0.835,0.84,0.84,0.835,0.005,45.0,150.0,17535.0,2,1,20.491,33,33,3648,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,stable,dualmap,sketch_K16,16,200,80,256,0.805,0.805,0.805,0.805,0.0,45.0,150.0,16905.0,2,1,20.514,39,39,4032,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,stable,power2,load_only,16,200,80,256,0.505,0.58,0.0,0.0,0.0,45.0,150.0,10605.0,2,1,20.581,99,0,1536,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,stable,power2,exact_affinity,16,200,80,256,0.83,0.115,0.83,0.83,0.0,45.0,150.0,17430.0,3,1,20.517,34,34,3712,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,stable,power2,sketch_K2,16,200,80,256,0.75,0.09,0.74,0.74,0.0,45.0,150.0,15750.0,3,1,20.518,50,24,3072,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,stable,power2,sketch_K4,16,200,80,256,0.75,0.05,0.75,0.75,0.0,45.0,150.0,15750.0,3,1,20.525,50,37,3904,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,stable,power2,sketch_K8,16,200,80,256,0.805,0.075,0.805,0.805,0.0,45.0,150.0,16905.0,3,1,20.495,39,39,4032,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,stable,power2,sketch_K16,16,200,80,256,0.805,0.1,0.805,0.805,0.0,45.0,150.0,16905.0,3,1,20.525,39,39,4032,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,stable,slo_affinity,load_only,16,200,80,256,0.75,0.76,0.0,0.0,1.0,45.0,150.0,15750.0,2,1,20.514,50,0,1536,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,stable,slo_affinity,exact_affinity,16,200,80,256,0.805,0.805,0.805,0.805,0.195,45.0,150.0,16905.0,2,1,20.513,39,39,4032,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,stable,slo_affinity,sketch_K2,16,200,80,256,0.83,0.83,0.795,0.795,0.205,45.0,150.0,17430.0,2,1,20.498,34,21,2880,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,stable,slo_affinity,sketch_K4,16,200,80,256,0.81,0.81,0.79,0.79,0.21,45.0,150.0,17010.0,2,1,20.524,38,32,3584,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,stable,slo_affinity,sketch_K8,16,200,80,256,0.805,0.805,0.805,0.805,0.195,45.0,150.0,16905.0,2,1,20.489,39,39,4032,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,stable,slo_affinity,sketch_K16,16,200,80,256,0.83,0.83,0.83,0.83,0.17,45.0,150.0,17430.0,2,1,20.495,34,34,3712,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
sota_policy_matrix,eviction,dualmap,load_only,16,200,80,24,0.635,0.68,0.0,0.0,0.0,45.0,150.0,13335.0,2,1,20.537,73,0,1536,0,0,0,Tests whether Minimal State Sketch approximates exact resident affinity across SOTA-inspired dispatch policies.
