request_id,arrival_time,tenant,model_revision,full_prefix_hash_chain,prefix_length,expected_reuse_coverage,generation_length,locality_class,digest,prompt_namespace,discard
0,0.0,tenant-4,qwen2.5-1.5b-r1,"[""root"", ""tenant-4"", ""p0092""]",256,0.5,16,low,p0092,20260715_low_rep2,True
1,0.03,tenant-6,qwen2.5-1.5b-r1,"[""root"", ""tenant-6"", ""p0014""]",512,0.8333333333333333,16,low,p0014,20260715_low_rep2,True
2,0.06,tenant-4,qwen2.5-1.5b-r1,"[""root"", ""tenant-4"", ""p0228""]",256,0.5,16,low,p0228,20260715_low_rep2,True
3,0.09,tenant-5,qwen2.5-1.5b-r1,"[""root"", ""tenant-5"", ""p0029""]",512,0.6666666666666666,16,low,p0029,20260715_low_rep2,True
4,0.12,tenant-2,qwen2.5-1.5b-r1,"[""root"", ""tenant-2"", ""p0154""]",256,0.8333333333333333,16,low,p0154,20260715_low_rep2,True
5,0.15,tenant-3,qwen2.5-1.5b-r1,"[""root"", ""tenant-3"", ""p0123""]",512,1.0,16,low,p0123,20260715_low_rep2,True
6,0.18,tenant-4,qwen2.5-1.5b-r1,"[""root"", ""tenant-4"", ""p0196""]",256,0.5,16,low,p0196,20260715_low_rep2,True
7,0.21,tenant-3,qwen2.5-1.5b-r1,"[""root"", ""tenant-3"", ""p0083""]",512,1.0,16,low,p0083,20260715_low_rep2,True
8,0.24,tenant-2,qwen2.5-1.5b-r1,"[""root"", ""tenant-2"", ""p0226""]",256,0.8333333333333333,16,low,p0226,20260715_low_rep2,False
9,0.27,tenant-1,qwen2.5-1.5b-r1,"[""root"", ""tenant-1"", ""p0161""]",512,0.6666666666666666,16,low,p0161,20260715_low_rep2,False
10,0.3,tenant-1,qwen2.5-1.5b-r1,"[""root"", ""tenant-1"", ""p0137""]",256,0.6666666666666666,16,low,p0137,20260715_low_rep2,False
11,0.32999999999999996,tenant-2,qwen2.5-1.5b-r1,"[""root"", ""tenant-2"", ""p0210""]",512,0.8333333333333333,16,low,p0210,20260715_low_rep2,False
12,0.36,tenant-1,qwen2.5-1.5b-r1,"[""root"", ""tenant-1"", ""p0025""]",256,0.6666666666666666,16,low,p0025,20260715_low_rep2,False
13,0.39,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0040""]",512,0.5,16,low,p0040,20260715_low_rep2,False
14,0.42,tenant-6,qwen2.5-1.5b-r1,"[""root"", ""tenant-6"", ""p0174""]",256,0.8333333333333333,16,low,p0174,20260715_low_rep2,False
15,0.44999999999999996,tenant-3,qwen2.5-1.5b-r1,"[""root"", ""tenant-3"", ""p0179""]",512,1.0,16,low,p0179,20260715_low_rep2,False
16,0.48,tenant-1,qwen2.5-1.5b-r1,"[""root"", ""tenant-1"", ""p0217""]",256,0.6666666666666666,16,low,p0217,20260715_low_rep2,False
17,0.51,tenant-6,qwen2.5-1.5b-r1,"[""root"", ""tenant-6"", ""p0222""]",512,0.8333333333333333,16,low,p0222,20260715_low_rep2,False
18,0.54,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0064""]",256,0.5,16,low,p0064,20260715_low_rep2,False
19,0.57,tenant-4,qwen2.5-1.5b-r1,"[""root"", ""tenant-4"", ""p0204""]",512,0.5,16,low,p0204,20260715_low_rep2,False
20,0.6,tenant-5,qwen2.5-1.5b-r1,"[""root"", ""tenant-5"", ""p0069""]",256,0.6666666666666666,16,low,p0069,20260715_low_rep2,False
21,0.63,tenant-2,qwen2.5-1.5b-r1,"[""root"", ""tenant-2"", ""p0154""]",512,0.8333333333333333,16,low,p0154,20260715_low_rep2,False
22,0.6599999999999999,tenant-2,qwen2.5-1.5b-r1,"[""root"", ""tenant-2"", ""p0138""]",256,0.8333333333333333,16,low,p0138,20260715_low_rep2,False
23,0.69,tenant-2,qwen2.5-1.5b-r1,"[""root"", ""tenant-2"", ""p0066""]",512,0.8333333333333333,16,low,p0066,20260715_low_rep2,False
