request_id,arrival_time,tenant,model_revision,full_prefix_hash_chain,prefix_length,expected_reuse_coverage,generation_length,locality_class,digest,prompt_namespace,discard
0,0.0,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0032""]",256,0.5,16,medium,p0032,20260715_medium_rep3,True
1,0.03,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0072""]",512,0.5,16,medium,p0072,20260715_medium_rep3,True
2,0.06,tenant-7,qwen2.5-1.5b-r1,"[""root"", ""tenant-7"", ""p0015""]",256,1.0,16,medium,p0015,20260715_medium_rep3,True
3,0.09,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0000""]",512,0.5,16,medium,p0000,20260715_medium_rep3,True
4,0.12,tenant-4,qwen2.5-1.5b-r1,"[""root"", ""tenant-4"", ""p0132""]",256,0.5,16,medium,p0132,20260715_medium_rep3,True
5,0.15,tenant-6,qwen2.5-1.5b-r1,"[""root"", ""tenant-6"", ""p0094""]",512,0.8333333333333333,16,medium,p0094,20260715_medium_rep3,True
6,0.18,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0040""]",256,0.5,16,medium,p0040,20260715_medium_rep3,True
7,0.21,tenant-6,qwen2.5-1.5b-r1,"[""root"", ""tenant-6"", ""p0014""]",512,0.8333333333333333,16,medium,p0014,20260715_medium_rep3,True
8,0.24,tenant-4,qwen2.5-1.5b-r1,"[""root"", ""tenant-4"", ""p0004""]",256,0.5,16,medium,p0004,20260715_medium_rep3,False
9,0.27,tenant-5,qwen2.5-1.5b-r1,"[""root"", ""tenant-5"", ""p0093""]",512,0.6666666666666666,16,medium,p0093,20260715_medium_rep3,False
10,0.3,tenant-3,qwen2.5-1.5b-r1,"[""root"", ""tenant-3"", ""p0059""]",256,1.0,16,medium,p0059,20260715_medium_rep3,False
11,0.32999999999999996,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0112""]",512,0.5,16,medium,p0112,20260715_medium_rep3,False
12,0.36,tenant-4,qwen2.5-1.5b-r1,"[""root"", ""tenant-4"", ""p0020""]",256,0.5,16,medium,p0020,20260715_medium_rep3,False
13,0.39,tenant-1,qwen2.5-1.5b-r1,"[""root"", ""tenant-1"", ""p0169""]",512,0.6666666666666666,16,medium,p0169,20260715_medium_rep3,False
14,0.42,tenant-7,qwen2.5-1.5b-r1,"[""root"", ""tenant-7"", ""p0151""]",256,1.0,16,medium,p0151,20260715_medium_rep3,False
15,0.44999999999999996,tenant-3,qwen2.5-1.5b-r1,"[""root"", ""tenant-3"", ""p0019""]",512,1.0,16,medium,p0019,20260715_medium_rep3,False
16,0.48,tenant-5,qwen2.5-1.5b-r1,"[""root"", ""tenant-5"", ""p0125""]",256,0.6666666666666666,16,medium,p0125,20260715_medium_rep3,False
17,0.51,tenant-7,qwen2.5-1.5b-r1,"[""root"", ""tenant-7"", ""p0079""]",512,1.0,16,medium,p0079,20260715_medium_rep3,False
18,0.54,tenant-7,qwen2.5-1.5b-r1,"[""root"", ""tenant-7"", ""p0007""]",256,1.0,16,medium,p0007,20260715_medium_rep3,False
19,0.57,tenant-3,qwen2.5-1.5b-r1,"[""root"", ""tenant-3"", ""p0155""]",512,1.0,16,medium,p0155,20260715_medium_rep3,False
20,0.6,tenant-5,qwen2.5-1.5b-r1,"[""root"", ""tenant-5"", ""p0037""]",256,0.6666666666666666,16,medium,p0037,20260715_medium_rep3,False
21,0.63,tenant-4,qwen2.5-1.5b-r1,"[""root"", ""tenant-4"", ""p0196""]",512,0.5,16,medium,p0196,20260715_medium_rep3,False
22,0.6599999999999999,tenant-2,qwen2.5-1.5b-r1,"[""root"", ""tenant-2"", ""p0002""]",256,0.8333333333333333,16,medium,p0002,20260715_medium_rep3,False
23,0.69,tenant-5,qwen2.5-1.5b-r1,"[""root"", ""tenant-5"", ""p0085""]",512,0.6666666666666666,16,medium,p0085,20260715_medium_rep3,False
24,0.72,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0000""]",256,0.5,16,medium,p0000,20260715_medium_rep3,False
25,0.75,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0072""]",512,0.5,16,medium,p0072,20260715_medium_rep3,False
26,0.78,tenant-1,qwen2.5-1.5b-r1,"[""root"", ""tenant-1"", ""p0001""]",256,0.6666666666666666,16,medium,p0001,20260715_medium_rep3,False
27,0.8099999999999999,tenant-4,qwen2.5-1.5b-r1,"[""root"", ""tenant-4"", ""p0060""]",512,0.5,16,medium,p0060,20260715_medium_rep3,False
28,0.84,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0016""]",256,0.5,16,medium,p0016,20260715_medium_rep3,False
29,0.87,tenant-3,qwen2.5-1.5b-r1,"[""root"", ""tenant-3"", ""p0083""]",512,1.0,16,medium,p0083,20260715_medium_rep3,False
30,0.8999999999999999,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0000""]",256,0.5,16,medium,p0000,20260715_medium_rep3,False
31,0.9299999999999999,tenant-4,qwen2.5-1.5b-r1,"[""root"", ""tenant-4"", ""p0164""]",512,0.5,16,medium,p0164,20260715_medium_rep3,False
32,0.96,tenant-4,qwen2.5-1.5b-r1,"[""root"", ""tenant-4"", ""p0044""]",256,0.5,16,medium,p0044,20260715_medium_rep3,False
33,0.99,tenant-2,qwen2.5-1.5b-r1,"[""root"", ""tenant-2"", ""p0034""]",512,0.8333333333333333,16,medium,p0034,20260715_medium_rep3,False
34,1.02,tenant-1,qwen2.5-1.5b-r1,"[""root"", ""tenant-1"", ""p0001""]",256,0.6666666666666666,16,medium,p0001,20260715_medium_rep3,False
35,1.05,tenant-2,qwen2.5-1.5b-r1,"[""root"", ""tenant-2"", ""p0010""]",512,0.8333333333333333,16,medium,p0010,20260715_medium_rep3,False
36,1.08,tenant-7,qwen2.5-1.5b-r1,"[""root"", ""tenant-7"", ""p0063""]",256,1.0,16,medium,p0063,20260715_medium_rep3,False
37,1.1099999999999999,tenant-1,qwen2.5-1.5b-r1,"[""root"", ""tenant-1"", ""p0065""]",512,0.6666666666666666,16,medium,p0065,20260715_medium_rep3,False
38,1.14,tenant-5,qwen2.5-1.5b-r1,"[""root"", ""tenant-5"", ""p0021""]",256,0.6666666666666666,16,medium,p0021,20260715_medium_rep3,False
39,1.17,tenant-1,qwen2.5-1.5b-r1,"[""root"", ""tenant-1"", ""p0009""]",512,0.6666666666666666,16,medium,p0009,20260715_medium_rep3,False
40,1.2,tenant-4,qwen2.5-1.5b-r1,"[""root"", ""tenant-4"", ""p0196""]",256,0.5,16,medium,p0196,20260715_medium_rep3,False
41,1.23,tenant-4,qwen2.5-1.5b-r1,"[""root"", ""tenant-4"", ""p0036""]",512,0.5,16,medium,p0036,20260715_medium_rep3,False
42,1.26,tenant-3,qwen2.5-1.5b-r1,"[""root"", ""tenant-3"", ""p0099""]",256,1.0,16,medium,p0099,20260715_medium_rep3,False
43,1.29,tenant-1,qwen2.5-1.5b-r1,"[""root"", ""tenant-1"", ""p0041""]",512,0.6666666666666666,16,medium,p0041,20260715_medium_rep3,False
44,1.3199999999999998,tenant-3,qwen2.5-1.5b-r1,"[""root"", ""tenant-3"", ""p0019""]",256,1.0,16,medium,p0019,20260715_medium_rep3,False
45,1.3499999999999999,tenant-7,qwen2.5-1.5b-r1,"[""root"", ""tenant-7"", ""p0039""]",512,1.0,16,medium,p0039,20260715_medium_rep3,False
46,1.38,tenant-1,qwen2.5-1.5b-r1,"[""root"", ""tenant-1"", ""p0033""]",256,0.6666666666666666,16,medium,p0033,20260715_medium_rep3,False
47,1.41,tenant-3,qwen2.5-1.5b-r1,"[""root"", ""tenant-3"", ""p0011""]",512,1.0,16,medium,p0011,20260715_medium_rep3,False
48,1.44,tenant-6,qwen2.5-1.5b-r1,"[""root"", ""tenant-6"", ""p0054""]",256,0.8333333333333333,16,medium,p0054,20260715_medium_rep3,False
49,1.47,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0008""]",512,0.5,16,medium,p0008,20260715_medium_rep3,False
50,1.5,tenant-4,qwen2.5-1.5b-r1,"[""root"", ""tenant-4"", ""p0092""]",256,0.5,16,medium,p0092,20260715_medium_rep3,False
51,1.53,tenant-6,qwen2.5-1.5b-r1,"[""root"", ""tenant-6"", ""p0054""]",512,0.8333333333333333,16,medium,p0054,20260715_medium_rep3,False
52,1.56,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0000""]",256,0.5,16,medium,p0000,20260715_medium_rep3,False
53,1.5899999999999999,tenant-1,qwen2.5-1.5b-r1,"[""root"", ""tenant-1"", ""p0017""]",512,0.6666666666666666,16,medium,p0017,20260715_medium_rep3,False
54,1.6199999999999999,tenant-2,qwen2.5-1.5b-r1,"[""root"", ""tenant-2"", ""p0066""]",256,0.8333333333333333,16,medium,p0066,20260715_medium_rep3,False
55,1.65,tenant-1,qwen2.5-1.5b-r1,"[""root"", ""tenant-1"", ""p0065""]",512,0.6666666666666666,16,medium,p0065,20260715_medium_rep3,False
56,1.68,tenant-3,qwen2.5-1.5b-r1,"[""root"", ""tenant-3"", ""p0251""]",256,1.0,16,medium,p0251,20260715_medium_rep3,False
57,1.71,tenant-5,qwen2.5-1.5b-r1,"[""root"", ""tenant-5"", ""p0069""]",512,0.6666666666666666,16,medium,p0069,20260715_medium_rep3,False
58,1.74,tenant-3,qwen2.5-1.5b-r1,"[""root"", ""tenant-3"", ""p0003""]",256,1.0,16,medium,p0003,20260715_medium_rep3,False
59,1.77,tenant-4,qwen2.5-1.5b-r1,"[""root"", ""tenant-4"", ""p0004""]",512,0.5,16,medium,p0004,20260715_medium_rep3,False
60,1.7999999999999998,tenant-6,qwen2.5-1.5b-r1,"[""root"", ""tenant-6"", ""p0014""]",256,0.8333333333333333,16,medium,p0014,20260715_medium_rep3,False
61,1.8299999999999998,tenant-1,qwen2.5-1.5b-r1,"[""root"", ""tenant-1"", ""p0001""]",512,0.6666666666666666,16,medium,p0001,20260715_medium_rep3,False
62,1.8599999999999999,tenant-3,qwen2.5-1.5b-r1,"[""root"", ""tenant-3"", ""p0195""]",256,1.0,16,medium,p0195,20260715_medium_rep3,False
63,1.89,tenant-2,qwen2.5-1.5b-r1,"[""root"", ""tenant-2"", ""p0002""]",512,0.8333333333333333,16,medium,p0002,20260715_medium_rep3,False
