experiment_id,experiment,evidence_type,code_commit,model,hardware,policy,K,J,admission,routing_guard,rep,repetitions,seed,workload_trace_hash,request_count_total,warmup_request_count,measured_request_count,active_prefixes,zipf_alpha,cache_capacity,concurrency,prefix_token_target,fixed_output_tokens,generation_mode,policy_order,policy_order_sequence,vllm_cache_salt,semantic_prompt_contains_policy,metric_scope,status,request_count,candidate_hit_rate,dispatcher_reuse_rate,mean_selected_coverage_tokens,vllm_cached_token_rate,vllm_cached_tokens_total,retried_request_count,metric_prefix_cache_hits_delta,metric_prefix_cache_queries_delta,metric_prompt_tokens_delta,raw_candidate_fanout_p95,evaluated_candidate_fanout_p95,dispatcher_index_bytes,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,latency_p50_ms,latency_p95_ms,request_error_rate,mean_ttft_ms,estimated_saved_prefill_tokens_total,physical_cached_tokens_total
20260716_live_k_sketch_coverage_k16_rep0,difficult_live_k_tradeoff_v5,live_t4_vllm,2d3a669b8e3a48334c668cc988b20f0f5f75bcb5,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k16,16,4,online coverage-first (demand x coverage),net_prefill_benefit,0,12,20260716,e08594f64c49e1e0c987c318ef757513f01d4ae574abe03b56d05c4c8c814401,192,64,128,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,0,"sketch_coverage_k16,sketch_coverage_k8,load_only,sketch_coverage_k4,sketch_coverage_k32,exact",b02-v5:difficult-k:rep0:sketch_coverage_k16,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.4765625,0.65625,1344.0,1.0,177280.0,0,228352.0,403416.0,403416.0,2.0,2.0,4480,195.406094,1578.893072,1624.853768,586.586158,1928.788839,0.0,632.481526578125,150528.0,177280.0
20260716_live_k_sketch_coverage_k8_rep0,difficult_live_k_tradeoff_v5,live_t4_vllm,2d3a669b8e3a48334c668cc988b20f0f5f75bcb5,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k8,8,4,online coverage-first (demand x coverage),net_prefill_benefit,0,12,20260716,e08594f64c49e1e0c987c318ef757513f01d4ae574abe03b56d05c4c8c814401,192,64,128,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,1,"sketch_coverage_k16,sketch_coverage_k8,load_only,sketch_coverage_k4,sketch_coverage_k32,exact",b02-v5:difficult-k:rep0:sketch_coverage_k8,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.21875,0.4609375,944.0,1.0,125744.0,0,172672.0,403416.0,403416.0,3.0,3.0,2432,1161.732031,1452.413433,1545.767056,1367.858876,1691.873503,0.0,783.294978078125,105728.0,125744.0
20260716_live_k_load_only_rep0,difficult_live_k_tradeoff_v5,live_t4_vllm,2d3a669b8e3a48334c668cc988b20f0f5f75bcb5,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,load_only,inf,4,n/a,net_prefill_benefit,0,12,20260716,e08594f64c49e1e0c987c318ef757513f01d4ae574abe03b56d05c4c8c814401,192,64,128,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,2,"sketch_coverage_k16,sketch_coverage_k8,load_only,sketch_coverage_k4,sketch_coverage_k32,exact",b02-v5:difficult-k:rep0:load_only,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.0,0.3671875,752.0,1.0,101024.0,0,118992.0,403416.0,403416.0,0.0,0.0,384,1148.261503,1421.350686,1499.838287,1354.070882,1651.372061,0.0,823.805860734375,84224.0,101024.0
20260716_live_k_sketch_coverage_k4_rep0,difficult_live_k_tradeoff_v5,live_t4_vllm,2d3a669b8e3a48334c668cc988b20f0f5f75bcb5,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k4,4,4,online coverage-first (demand x coverage),net_prefill_benefit,0,12,20260716,e08594f64c49e1e0c987c318ef757513f01d4ae574abe03b56d05c4c8c814401,192,64,128,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,3,"sketch_coverage_k16,sketch_coverage_k8,load_only,sketch_coverage_k4,sketch_coverage_k32,exact",b02-v5:difficult-k:rep0:sketch_coverage_k4,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.0859375,0.3515625,720.0,1.0,96816.0,0,131376.0,403416.0,403416.0,3.0,3.0,1408,1247.102683,1522.829546,1649.403985,1454.799435,1822.288236,0.0,941.7253439921875,80640.0,96816.0
20260716_live_k_sketch_coverage_k32_rep0,difficult_live_k_tradeoff_v5,live_t4_vllm,2d3a669b8e3a48334c668cc988b20f0f5f75bcb5,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k32,32,4,online coverage-first (demand x coverage),net_prefill_benefit,0,12,20260716,e08594f64c49e1e0c987c318ef757513f01d4ae574abe03b56d05c4c8c814401,192,64,128,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,4,"sketch_coverage_k16,sketch_coverage_k8,load_only,sketch_coverage_k4,sketch_coverage_k32,exact",b02-v5:difficult-k:rep0:sketch_coverage_k32,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.515625,0.7109375,1456.0,1.0,191808.0,0,242880.0,403416.0,403416.0,1.0,1.0,5312,189.187245,1552.246346,1642.438884,508.495962,1808.334666,0.0,566.755911140625,163072.0,191808.0
20260716_live_k_exact_rep0,difficult_live_k_tradeoff_v5,live_t4_vllm,2d3a669b8e3a48334c668cc988b20f0f5f75bcb5,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,exact,inf,4,n/a,net_prefill_benefit,0,12,20260716,e08594f64c49e1e0c987c318ef757513f01d4ae574abe03b56d05c4c8c814401,192,64,128,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,5,"sketch_coverage_k16,sketch_coverage_k8,load_only,sketch_coverage_k4,sketch_coverage_k32,exact",b02-v5:difficult-k:rep0:exact,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.515625,0.7109375,1456.0,1.0,191808.0,0,242880.0,403416.0,403416.0,1.0,1.0,5312,190.774132,1499.715882,1875.801231,526.656335,1801.564427,0.0,574.58515059375,163072.0,191808.0
20260716_live_k_sketch_coverage_k8_rep1,difficult_live_k_tradeoff_v5,live_t4_vllm,2d3a669b8e3a48334c668cc988b20f0f5f75bcb5,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k8,8,4,online coverage-first (demand x coverage),net_prefill_benefit,1,12,20260716,43383dc3658c30fe45f604ee3947d74995275e5019357fe9116e3a3c83adc571,192,64,128,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,0,"sketch_coverage_k8,load_only,sketch_coverage_k4,sketch_coverage_k32,sketch_coverage_k16,exact",b02-v5:difficult-k:rep1:sketch_coverage_k8,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.296875,0.515625,1056.0,1.0,140176.0,1,180896.0,403410.0,403410.0,2.0,2.0,2432,1137.495847,1536.944948,1608.552291,1329.907009,1880.019321,0.0,790.869176796875,118272.0,140176.0
20260716_live_k_load_only_rep1,difficult_live_k_tradeoff_v5,live_t4_vllm,2d3a669b8e3a48334c668cc988b20f0f5f75bcb5,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,load_only,inf,4,n/a,net_prefill_benefit,1,12,20260716,43383dc3658c30fe45f604ee3947d74995275e5019357fe9116e3a3c83adc571,192,64,128,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,1,"sketch_coverage_k8,load_only,sketch_coverage_k4,sketch_coverage_k32,sketch_coverage_k16,exact",b02-v5:difficult-k:rep1:load_only,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.0,0.4140625,848.0,1.0,113376.0,0,131360.0,403410.0,403410.0,0.0,0.0,384,1237.393216,1545.772337,1710.99585,1433.144893,1774.789631,0.0,835.242541015625,94976.0,113376.0
20260716_live_k_sketch_coverage_k4_rep1,difficult_live_k_tradeoff_v5,live_t4_vllm,2d3a669b8e3a48334c668cc988b20f0f5f75bcb5,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k4,4,4,online coverage-first (demand x coverage),net_prefill_benefit,1,12,20260716,43383dc3658c30fe45f604ee3947d74995275e5019357fe9116e3a3c83adc571,192,64,128,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,2,"sketch_coverage_k8,load_only,sketch_coverage_k4,sketch_coverage_k32,sketch_coverage_k16,exact",b02-v5:difficult-k:rep1:sketch_coverage_k4,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.140625,0.4375,896.0,1.0,119520.0,0,149936.0,403410.0,403410.0,2.0,2.0,1408,1201.116664,1529.907431,1607.22821,1407.85996,1833.78051,0.0,835.9816613828125,100352.0,119520.0
20260716_live_k_sketch_coverage_k32_rep1,difficult_live_k_tradeoff_v5,live_t4_vllm,2d3a669b8e3a48334c668cc988b20f0f5f75bcb5,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k32,32,4,online coverage-first (demand x coverage),net_prefill_benefit,1,12,20260716,43383dc3658c30fe45f604ee3947d74995275e5019357fe9116e3a3c83adc571,192,64,128,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,3,"sketch_coverage_k8,load_only,sketch_coverage_k4,sketch_coverage_k32,sketch_coverage_k16,exact",b02-v5:difficult-k:rep1:sketch_coverage_k32,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.546875,0.7265625,1488.0,1.0,195984.0,0,240816.0,403410.0,403410.0,1.0,1.0,5376,187.045348,1473.514822,1598.242483,557.688515,1844.037883,0.0,542.0472280390625,166656.0,195984.0
20260716_live_k_sketch_coverage_k16_rep1,difficult_live_k_tradeoff_v5,live_t4_vllm,2d3a669b8e3a48334c668cc988b20f0f5f75bcb5,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k16,16,4,online coverage-first (demand x coverage),net_prefill_benefit,1,12,20260716,43383dc3658c30fe45f604ee3947d74995275e5019357fe9116e3a3c83adc571,192,64,128,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,4,"sketch_coverage_k8,load_only,sketch_coverage_k4,sketch_coverage_k32,sketch_coverage_k16,exact",b02-v5:difficult-k:rep1:sketch_coverage_k16,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.484375,0.6640625,1360.0,1.0,179504.0,0,224336.0,403410.0,403410.0,1.0,1.0,4480,236.876472,1606.838494,1629.419819,628.131268,2019.563489,0.0,682.7972874375,152320.0,179504.0
20260716_live_k_exact_rep1,difficult_live_k_tradeoff_v5,live_t4_vllm,2d3a669b8e3a48334c668cc988b20f0f5f75bcb5,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,exact,inf,4,n/a,net_prefill_benefit,1,12,20260716,43383dc3658c30fe45f604ee3947d74995275e5019357fe9116e3a3c83adc571,192,64,128,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,5,"sketch_coverage_k8,load_only,sketch_coverage_k4,sketch_coverage_k32,sketch_coverage_k16,exact",b02-v5:difficult-k:rep1:exact,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.546875,0.7265625,1488.0,1.0,195984.0,0,240816.0,403410.0,403410.0,1.0,1.0,5376,203.318287,1592.543295,1675.208995,585.574842,1846.43054,0.0,579.7662153203125,166656.0,195984.0
20260716_live_k_sketch_coverage_k8_rep2,difficult_live_k_tradeoff_v5,live_t4_vllm,2d3a669b8e3a48334c668cc988b20f0f5f75bcb5,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k8,8,4,online coverage-first (demand x coverage),net_prefill_benefit,2,12,20260716,5e64a27c229095a1a8eb64c6ae618a64674b849a0b0c80287933028a1f15d532,192,64,128,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,0,"sketch_coverage_k8,exact,sketch_coverage_k32,load_only,sketch_coverage_k4,sketch_coverage_k16",b02-v5:difficult-k:rep2:sketch_coverage_k8,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.2890625,0.5234375,1072.0,1.0,142240.0,0,185056.0,403410.0,403410.0,2.0,2.0,2432,1258.426918,1600.592581,1838.389935,1458.380794,2029.939245,0.0,858.1518094140625,120064.0,142240.0
20260716_live_k_exact_rep2,difficult_live_k_tradeoff_v5,live_t4_vllm,2d3a669b8e3a48334c668cc988b20f0f5f75bcb5,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,exact,inf,4,n/a,net_prefill_benefit,2,12,20260716,5e64a27c229095a1a8eb64c6ae618a64674b849a0b0c80287933028a1f15d532,192,64,128,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,1,"sketch_coverage_k8,exact,sketch_coverage_k32,load_only,sketch_coverage_k4,sketch_coverage_k16",b02-v5:difficult-k:rep2:exact,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.546875,0.734375,1504.0,1.0,197936.0,0,246976.0,403410.0,403410.0,1.0,1.0,5184,216.309562,1532.446022,1906.12594,600.362095,1936.358785,0.0,605.9250303359375,168448.0,197936.0
20260716_live_k_sketch_coverage_k32_rep2,difficult_live_k_tradeoff_v5,live_t4_vllm,2d3a669b8e3a48334c668cc988b20f0f5f75bcb5,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k32,32,4,online coverage-first (demand x coverage),net_prefill_benefit,2,12,20260716,5e64a27c229095a1a8eb64c6ae618a64674b849a0b0c80287933028a1f15d532,192,64,128,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,2,"sketch_coverage_k8,exact,sketch_coverage_k32,load_only,sketch_coverage_k4,sketch_coverage_k16",b02-v5:difficult-k:rep2:sketch_coverage_k32,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.546875,0.734375,1504.0,1.0,197936.0,0,246976.0,403410.0,403410.0,1.0,1.0,5184,226.609543,1607.479508,1670.828703,582.081996,2022.059489,0.0,611.4684354921875,168448.0,197936.0
20260716_live_k_load_only_rep2,difficult_live_k_tradeoff_v5,live_t4_vllm,2d3a669b8e3a48334c668cc988b20f0f5f75bcb5,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,load_only,inf,4,n/a,net_prefill_benefit,2,12,20260716,5e64a27c229095a1a8eb64c6ae618a64674b849a0b0c80287933028a1f15d532,192,64,128,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,3,"sketch_coverage_k8,exact,sketch_coverage_k32,load_only,sketch_coverage_k4,sketch_coverage_k16",b02-v5:difficult-k:rep2:load_only,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.0,0.40625,832.0,1.0,111296.0,0,129296.0,403410.0,403410.0,0.0,0.0,384,1255.885652,1635.285648,1803.523325,1460.636755,1872.85353,0.0,895.5973467265625,93184.0,111296.0
20260716_live_k_sketch_coverage_k4_rep2,difficult_live_k_tradeoff_v5,live_t4_vllm,2d3a669b8e3a48334c668cc988b20f0f5f75bcb5,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k4,4,4,online coverage-first (demand x coverage),net_prefill_benefit,2,12,20260716,5e64a27c229095a1a8eb64c6ae618a64674b849a0b0c80287933028a1f15d532,192,64,128,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,4,"sketch_coverage_k8,exact,sketch_coverage_k32,load_only,sketch_coverage_k4,sketch_coverage_k16",b02-v5:difficult-k:rep2:sketch_coverage_k4,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.1328125,0.3984375,816.0,1.0,109184.0,0,137536.0,403410.0,403410.0,3.0,3.0,1408,1316.89452,1691.787402,1840.052659,1534.367872,2030.919917,0.0,963.1577626796875,91392.0,109184.0
20260716_live_k_sketch_coverage_k16_rep2,difficult_live_k_tradeoff_v5,live_t4_vllm,2d3a669b8e3a48334c668cc988b20f0f5f75bcb5,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k16,16,4,online coverage-first (demand x coverage),net_prefill_benefit,2,12,20260716,5e64a27c229095a1a8eb64c6ae618a64674b849a0b0c80287933028a1f15d532,192,64,128,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,5,"sketch_coverage_k8,exact,sketch_coverage_k32,load_only,sketch_coverage_k4,sketch_coverage_k16",b02-v5:difficult-k:rep2:sketch_coverage_k16,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.4296875,0.703125,1440.0,1.0,189712.0,0,238752.0,403410.0,403410.0,1.0,1.0,4480,186.329935,1632.761132,1750.614813,555.400568,1928.367915,0.0,599.1190334609375,161280.0,189712.0
