experiment_id,experiment,evidence_type,code_commit,model,hardware,policy,K,J,admission,routing_guard,rep,repetitions,seed,workload_trace_hash,request_count_total,warmup_request_count,measured_request_count,active_prefixes,zipf_alpha,cache_capacity,concurrency,prefix_token_target,fixed_output_tokens,generation_mode,policy_order,policy_order_sequence,vllm_cache_salt,semantic_prompt_contains_policy,metric_scope,status,request_count,candidate_hit_rate,dispatcher_reuse_rate,mean_selected_coverage_tokens,vllm_cached_token_rate,vllm_cached_tokens_total,retried_request_count,metric_prefix_cache_hits_delta,metric_prefix_cache_queries_delta,metric_prompt_tokens_delta,raw_candidate_fanout_p95,evaluated_candidate_fanout_p95,dispatcher_index_bytes,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,latency_p50_ms,latency_p95_ms,request_error_rate,mean_ttft_ms,estimated_saved_prefill_tokens_total,physical_cached_tokens_total
20260716_live_k_sketch_coverage_k32_rep0,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k32,32,4,online coverage-first (demand x coverage),net_prefill_benefit,0,12,20260716,3074c2a77fc4b6022327cb5225cda932c60ebbf733b9462720a63a1a65df196c,192,64,128,96,1.35,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,0,"sketch_coverage_k32,sketch_coverage_k16,load_only,sketch_coverage_k4,exact",b02-v5:difficult-k:rep0:sketch_coverage_k32,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.5546875,0.828125,1696.0,1.0,222720.0,0,319456.0,403405.0,403405.0,2.0,2.0,2944,105.042586,868.696267,998.136326,272.811373,1080.273411,0.0,260.4397468359375,189952.0,222720.0
20260716_live_k_sketch_coverage_k16_rep0,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k16,16,4,online coverage-first (demand x coverage),net_prefill_benefit,0,12,20260716,3074c2a77fc4b6022327cb5225cda932c60ebbf733b9462720a63a1a65df196c,192,64,128,96,1.35,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,1,"sketch_coverage_k32,sketch_coverage_k16,load_only,sketch_coverage_k4,exact",b02-v5:difficult-k:rep0:sketch_coverage_k16,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.5546875,0.828125,1696.0,1.0,222720.0,0,319456.0,403405.0,403405.0,2.0,2.0,2944,86.086602,908.509096,990.14462,264.296106,1127.285714,0.0,258.3097388828125,189952.0,222720.0
20260716_live_k_load_only_rep0,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,load_only,inf,4,n/a,net_prefill_benefit,0,12,20260716,3074c2a77fc4b6022327cb5225cda932c60ebbf733b9462720a63a1a65df196c,192,64,128,96,1.35,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,2,"sketch_coverage_k32,sketch_coverage_k16,load_only,sketch_coverage_k4,exact",b02-v5:difficult-k:rep0:load_only,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.0,0.7578125,1552.0,1.0,204128.0,0,269728.0,403405.0,403405.0,0.0,0.0,384,85.621024,890.723622,941.079037,217.29522,1027.823262,0.0,270.6151528828125,173824.0,204128.0
20260716_live_k_sketch_coverage_k4_rep0,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k4,4,4,online coverage-first (demand x coverage),net_prefill_benefit,0,12,20260716,3074c2a77fc4b6022327cb5225cda932c60ebbf733b9462720a63a1a65df196c,192,64,128,96,1.35,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,3,"sketch_coverage_k32,sketch_coverage_k16,load_only,sketch_coverage_k4,exact",b02-v5:difficult-k:rep0:sketch_coverage_k4,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.546875,0.78125,1600.0,1.0,210224.0,0,306960.0,403405.0,403405.0,2.0,2.0,1408,88.740241,917.315094,995.795038,262.184926,1129.442669,0.0,322.252315375,179200.0,210224.0
20260716_live_k_exact_rep0,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,exact,inf,4,n/a,net_prefill_benefit,0,12,20260716,3074c2a77fc4b6022327cb5225cda932c60ebbf733b9462720a63a1a65df196c,192,64,128,96,1.35,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,4,"sketch_coverage_k32,sketch_coverage_k16,load_only,sketch_coverage_k4,exact",b02-v5:difficult-k:rep0:exact,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.5546875,0.828125,1696.0,1.0,222720.0,0,319456.0,403405.0,403405.0,2.0,2.0,2944,86.407615,904.018964,947.825478,259.717153,1105.81995,0.0,253.3130333046875,189952.0,222720.0
20260716_live_k_sketch_coverage_k16_rep1,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k16,16,4,online coverage-first (demand x coverage),net_prefill_benefit,1,12,20260716,a2f447866427344b157d719863c2fc983041f4e59c4106445e761feaa1fd009f,192,64,128,96,1.35,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,0,"sketch_coverage_k16,load_only,sketch_coverage_k4,exact,sketch_coverage_k32",b02-v5:difficult-k:rep1:sketch_coverage_k16,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.59375,0.90625,1856.0,1.0,243424.0,0,331776.0,403398.0,403398.0,2.0,2.0,2560,75.493993,867.074429,893.791902,220.557531,1013.196575,0.0,180.998459546875,207872.0,243424.0
20260716_live_k_load_only_rep1,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,load_only,inf,4,n/a,net_prefill_benefit,1,12,20260716,a2f447866427344b157d719863c2fc983041f4e59c4106445e761feaa1fd009f,192,64,128,96,1.35,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,1,"sketch_coverage_k16,load_only,sketch_coverage_k4,exact,sketch_coverage_k32",b02-v5:difficult-k:rep1:load_only,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.0,0.796875,1632.0,1.0,214512.0,0,269728.0,403398.0,403398.0,0.0,0.0,384,73.973669,865.33029,896.449101,209.685493,1004.584739,0.0,229.309997578125,182784.0,214512.0
20260716_live_k_sketch_coverage_k4_rep1,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k4,4,4,online coverage-first (demand x coverage),net_prefill_benefit,1,12,20260716,a2f447866427344b157d719863c2fc983041f4e59c4106445e761feaa1fd009f,192,64,128,96,1.35,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,2,"sketch_coverage_k16,load_only,sketch_coverage_k4,exact,sketch_coverage_k32",b02-v5:difficult-k:rep1:sketch_coverage_k4,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.59375,0.84375,1728.0,1.0,226816.0,0,311056.0,403398.0,403398.0,2.0,2.0,1408,75.696457,892.128047,996.501769,216.988619,1085.569509,0.0,245.3345221875,193536.0,226816.0
20260716_live_k_exact_rep1,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,exact,inf,4,n/a,net_prefill_benefit,1,12,20260716,a2f447866427344b157d719863c2fc983041f4e59c4106445e761feaa1fd009f,192,64,128,96,1.35,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,3,"sketch_coverage_k16,load_only,sketch_coverage_k4,exact,sketch_coverage_k32",b02-v5:difficult-k:rep1:exact,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.59375,0.90625,1856.0,1.0,243424.0,0,331776.0,403398.0,403398.0,2.0,2.0,2560,76.544018,871.102001,894.864754,221.630737,1022.770034,0.0,179.6772055625,207872.0,243424.0
20260716_live_k_sketch_coverage_k32_rep1,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k32,32,4,online coverage-first (demand x coverage),net_prefill_benefit,1,12,20260716,a2f447866427344b157d719863c2fc983041f4e59c4106445e761feaa1fd009f,192,64,128,96,1.35,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,4,"sketch_coverage_k16,load_only,sketch_coverage_k4,exact,sketch_coverage_k32",b02-v5:difficult-k:rep1:sketch_coverage_k32,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.59375,0.90625,1856.0,1.0,243424.0,0,331776.0,403398.0,403398.0,2.0,2.0,2560,75.470632,851.313666,894.757293,217.940027,1020.002056,0.0,179.1719756875,207872.0,243424.0
