experiment_id,rep,baseline_policy,treatment_policy,workload_trace_hash,status,exact_normalized_estimated_saved_prefill,exact_normalized_physical_cached_tokens,delta_mean_ttft_ms,treatment_mean_ttft_ms,delta_ttft_p50_ms,treatment_ttft_p50_ms,delta_ttft_p95_ms,treatment_ttft_p95_ms,delta_dispatcher_index_bytes,treatment_dispatcher_index_bytes,delta_estimated_saved_prefill_tokens_total,treatment_estimated_saved_prefill_tokens_total,delta_physical_cached_tokens_total,treatment_physical_cached_tokens_total,delta_mean_selected_coverage_tokens,treatment_mean_selected_coverage_tokens
20260716_live_k_sketch_coverage_k4_rep0,0,load_only,sketch_coverage_k4,3074c2a77fc4b6022327cb5225cda932c60ebbf733b9462720a63a1a65df196c,Current,0.9433962264150944,0.9438936781609195,51.63716249218754,322.252315375,3.119216999999992,88.740241,26.591472000000067,917.315094,1024.0,1408,5376.0,179200.0,6096.0,210224.0,48.0,1600.0
20260716_live_k_sketch_coverage_k16_rep0,0,load_only,sketch_coverage_k16,3074c2a77fc4b6022327cb5225cda932c60ebbf733b9462720a63a1a65df196c,Current,1.0,1.0,-12.305413999999985,258.3097388828125,0.4655779999999936,86.086602,17.785474000000022,908.509096,2560.0,2944,16128.0,189952.0,18592.0,222720.0,144.0,1696.0
20260716_live_k_sketch_coverage_k32_rep0,0,load_only,sketch_coverage_k32,3074c2a77fc4b6022327cb5225cda932c60ebbf733b9462720a63a1a65df196c,Current,1.0,1.0,-10.175406046874969,260.4397468359375,19.421561999999994,105.042586,-22.027354999999943,868.696267,2560.0,2944,16128.0,189952.0,18592.0,222720.0,144.0,1696.0
20260716_live_k_exact_rep0,0,load_only,exact,3074c2a77fc4b6022327cb5225cda932c60ebbf733b9462720a63a1a65df196c,Current,1.0,1.0,-17.302119578124973,253.3130333046875,0.7865910000000014,86.407615,13.295342000000005,904.018964,2560.0,2944,16128.0,189952.0,18592.0,222720.0,144.0,1696.0
20260716_live_k_sketch_coverage_k4_rep1,1,load_only,sketch_coverage_k4,a2f447866427344b157d719863c2fc983041f4e59c4106445e761feaa1fd009f,Current,0.9310344827586207,0.9317733666359932,16.024524609374993,245.3345221875,1.7227879999999942,75.696457,26.797757000000047,892.128047,1024.0,1408,10752.0,193536.0,12304.0,226816.0,96.0,1728.0
20260716_live_k_sketch_coverage_k16_rep1,1,load_only,sketch_coverage_k16,a2f447866427344b157d719863c2fc983041f4e59c4106445e761feaa1fd009f,Current,1.0,1.0,-48.311538031249995,180.998459546875,1.5203240000000022,75.493993,1.7441390000000183,867.074429,2176.0,2560,25088.0,207872.0,28912.0,243424.0,224.0,1856.0
20260716_live_k_sketch_coverage_k32_rep1,1,load_only,sketch_coverage_k32,a2f447866427344b157d719863c2fc983041f4e59c4106445e761feaa1fd009f,Current,1.0,1.0,-50.138021890625,179.1719756875,1.4969629999999938,75.470632,-14.016623999999979,851.313666,2176.0,2560,25088.0,207872.0,28912.0,243424.0,224.0,1856.0
20260716_live_k_exact_rep1,1,load_only,exact,a2f447866427344b157d719863c2fc983041f4e59c4106445e761feaa1fd009f,Current,1.0,1.0,-49.632792015625,179.6772055625,2.570348999999993,76.544018,5.771710999999982,871.102001,2176.0,2560,25088.0,207872.0,28912.0,243424.0,224.0,1856.0
20260716_live_k_sketch_coverage_k4_rep2,2,load_only,sketch_coverage_k4,47d35422ba114e1e9f8e5301d74dbdbca4296022b6e4486167ed565d2e19a191,Current,0.8839285714285714,0.8856151333696244,53.22884360937502,334.3092974375,41.341233,114.899668,88.20112100000006,962.676956,1024.0,1408,10752.0,177408.0,12400.0,208240.0,96.0,1584.0
20260716_live_k_sketch_coverage_k16_rep2,2,load_only,sketch_coverage_k16,47d35422ba114e1e9f8e5301d74dbdbca4296022b6e4486167ed565d2e19a191,Current,1.0,1.0,-88.38361467187497,192.69683915625,3.456032999999991,77.014468,-43.29158099999995,831.184254,2752.0,3136,34048.0,200704.0,39296.0,235136.0,304.0,1792.0
20260716_live_k_sketch_coverage_k32_rep2,2,load_only,sketch_coverage_k32,47d35422ba114e1e9f8e5301d74dbdbca4296022b6e4486167ed565d2e19a191,Current,1.0,1.0,-80.27422556249996,200.806228265625,4.084845000000001,77.64328,5.345904000000019,879.821739,2752.0,3136,34048.0,200704.0,39296.0,235136.0,304.0,1792.0
20260716_live_k_exact_rep2,2,load_only,exact,47d35422ba114e1e9f8e5301d74dbdbca4296022b6e4486167ed565d2e19a191,Current,1.0,1.0,-89.26779723437497,191.81265659375,2.7544400000000024,76.312875,-36.617880000000014,837.857955,2752.0,3136,34048.0,200704.0,39296.0,235136.0,304.0,1792.0
20260716_live_k_sketch_coverage_k4_rep3,3,load_only,sketch_coverage_k4,2eb0fd27cb324cf3c698d0293d5a7537e93e017dc789237b3e057b795ea79720,Current,0.8727272727272727,0.8748874263941808,-0.3516777031250058,323.2128889609375,3.6622389999999996,79.708589,63.181900999999925,1023.046487,1024.0,1408,10752.0,172032.0,12368.0,202064.0,96.0,1536.0
20260716_live_k_sketch_coverage_k16_rep3,3,load_only,sketch_coverage_k16,2eb0fd27cb324cf3c698d0293d5a7537e93e017dc789237b3e057b795ea79720,Current,1.0,1.0,-79.16494154687501,244.3996251171875,5.466503000000003,81.512853,-8.645029000000022,951.219557,2816.0,3200,35840.0,197120.0,41264.0,230960.0,320.0,1760.0
20260716_live_k_sketch_coverage_k32_rep3,3,load_only,sketch_coverage_k32,2eb0fd27cb324cf3c698d0293d5a7537e93e017dc789237b3e057b795ea79720,Current,1.0,1.0,-84.04219324218752,239.522373421875,2.908239999999992,78.95459,-14.800980999999979,945.063605,2816.0,3200,35840.0,197120.0,41264.0,230960.0,320.0,1760.0
20260716_live_k_exact_rep3,3,load_only,exact,2eb0fd27cb324cf3c698d0293d5a7537e93e017dc789237b3e057b795ea79720,Current,1.0,1.0,-83.557872671875,240.0066939921875,3.4890669999999915,79.535417,-10.999258000000054,948.865328,2816.0,3200,35840.0,197120.0,41264.0,230960.0,320.0,1760.0
20260716_live_k_sketch_coverage_k4_rep4,4,load_only,sketch_coverage_k4,0917d77f7fc940f3a6a8f9927e80a461a1aa0fad3e556c7b20adc6a793508d77,Current,0.9339622641509434,0.9351479459925309,-42.60948201562502,305.01047228125,27.943587000000008,105.654442,-17.077785000000063,954.692323,1024.0,1408,21504.0,177408.0,24848.0,208336.0,192.0,1584.0
20260716_live_k_sketch_coverage_k16_rep4,4,load_only,sketch_coverage_k16,0917d77f7fc940f3a6a8f9927e80a461a1aa0fad3e556c7b20adc6a793508d77,Current,1.0,1.0,-82.98472536718748,264.6352289296875,4.781181000000004,82.492036,-39.40829100000008,932.361817,2688.0,3072,34048.0,189952.0,39296.0,222784.0,304.0,1696.0
20260716_live_k_sketch_coverage_k32_rep4,4,load_only,sketch_coverage_k32,0917d77f7fc940f3a6a8f9927e80a461a1aa0fad3e556c7b20adc6a793508d77,Current,1.0,1.0,-82.46273124218749,265.1572230546875,33.579818,111.290673,-30.374856000000023,941.395252,2688.0,3072,34048.0,189952.0,39296.0,222784.0,304.0,1696.0
20260716_live_k_exact_rep4,4,load_only,exact,0917d77f7fc940f3a6a8f9927e80a461a1aa0fad3e556c7b20adc6a793508d77,Current,1.0,1.0,-86.908495296875,260.711459,8.414872000000003,86.125727,-54.04369500000007,917.726413,2688.0,3072,34048.0,189952.0,39296.0,222784.0,304.0,1696.0
20260716_live_k_sketch_coverage_k4_rep5,5,load_only,sketch_coverage_k4,ebf1efc60ad538a3fcebbf9067eadce159f20934d401bc6d8979f5357de3ca34,Current,0.8807339449541285,0.8827475368597583,4.4451899453125066,339.5172167265625,3.1097890000000064,79.248542,128.24346200000014,1074.185844,1024.0,1408,14336.0,172032.0,16560.0,202128.0,128.0,1536.0
20260716_live_k_sketch_coverage_k16_rep5,5,load_only,sketch_coverage_k16,ebf1efc60ad538a3fcebbf9067eadce159f20934d401bc6d8979f5357de3ca34,Current,1.0,1.0,-91.27869834374997,243.7933284375,3.095870000000005,79.234623,17.38958200000002,963.331964,3008.0,3392,37632.0,195328.0,43408.0,228976.0,336.0,1744.0
20260716_live_k_sketch_coverage_k32_rep5,5,load_only,sketch_coverage_k32,ebf1efc60ad538a3fcebbf9067eadce159f20934d401bc6d8979f5357de3ca34,Current,1.0,1.0,-97.00160777343748,238.0704190078125,1.3070170000000019,77.44577,6.423779000000081,952.366161,3008.0,3392,37632.0,195328.0,43408.0,228976.0,336.0,1744.0
20260716_live_k_exact_rep5,5,load_only,exact,ebf1efc60ad538a3fcebbf9067eadce159f20934d401bc6d8979f5357de3ca34,Current,1.0,1.0,-89.72147066406248,245.3505561171875,3.609071,79.747824,47.33767399999999,993.280056,3008.0,3392,37632.0,195328.0,43408.0,228976.0,336.0,1744.0
20260716_live_k_sketch_coverage_k4_rep6,6,load_only,sketch_coverage_k4,e2ca3c869765480a983306b7854792d0886335e45410f8a3637b4b1f221b0624,Current,0.9357798165137615,0.9363337759452093,-23.453611999999964,295.259786859375,6.067477999999994,84.547709,33.73110399999996,997.740556,1024.0,1408,17920.0,182784.0,20544.0,214368.0,160.0,1632.0
20260716_live_k_sketch_coverage_k16_rep6,6,load_only,sketch_coverage_k16,e2ca3c869765480a983306b7854792d0886335e45410f8a3637b4b1f221b0624,Current,1.0,1.0,-45.46385667968747,273.2495421796875,31.132862000000003,109.613093,54.84354499999995,1018.852997,2560.0,2944,30464.0,195328.0,35120.0,228944.0,272.0,1744.0
20260716_live_k_sketch_coverage_k32_rep6,6,load_only,sketch_coverage_k32,e2ca3c869765480a983306b7854792d0886335e45410f8a3637b4b1f221b0624,Current,1.0,1.0,-46.644777734375,272.068621125,5.732944000000003,84.213175,34.981404999999995,998.990857,2560.0,2944,30464.0,195328.0,35120.0,228944.0,272.0,1744.0
20260716_live_k_exact_rep6,6,load_only,exact,e2ca3c869765480a983306b7854792d0886335e45410f8a3637b4b1f221b0624,Current,1.0,1.0,-49.799894226562515,268.9135046328125,17.044439999999994,95.524671,66.36147000000005,1030.370922,2560.0,2944,30464.0,195328.0,35120.0,228944.0,272.0,1744.0
20260716_live_k_sketch_coverage_k4_rep7,7,load_only,sketch_coverage_k4,eda5514ed7639675d48cde00aa97ba3481bb3d37af31b319e5e7c79b6bbf66e4,Current,0.8636363636363636,0.8656003323639385,82.71704161718753,412.7162942109375,43.638722,125.266398,95.82743400000015,1109.484652,1024.0,1408,5376.0,170240.0,6208.0,200016.0,48.0,1520.0
20260716_live_k_sketch_coverage_k16_rep7,7,load_only,sketch_coverage_k16,eda5514ed7639675d48cde00aa97ba3481bb3d37af31b319e5e7c79b6bbf66e4,Current,1.0,1.0,-46.100550101562476,283.8987024921875,32.90085500000001,114.528531,37.38307599999996,1051.040294,2560.0,2944,32256.0,197120.0,37264.0,231072.0,288.0,1760.0
20260716_live_k_sketch_coverage_k32_rep7,7,load_only,sketch_coverage_k32,eda5514ed7639675d48cde00aa97ba3481bb3d37af31b319e5e7c79b6bbf66e4,Current,1.0,1.0,-43.49516405468751,286.5040885390625,29.820130000000006,111.447806,69.42198800000017,1083.079206,2560.0,2944,32256.0,197120.0,37264.0,231072.0,288.0,1760.0
20260716_live_k_exact_rep7,7,load_only,exact,eda5514ed7639675d48cde00aa97ba3481bb3d37af31b319e5e7c79b6bbf66e4,Current,1.0,1.0,-45.197473710937516,284.80177888281247,32.986102,114.613778,55.423089000000004,1069.080307,2560.0,2944,32256.0,197120.0,37264.0,231072.0,288.0,1760.0
20260716_live_k_sketch_coverage_k4_rep8,8,load_only,sketch_coverage_k4,c423c70166801e592128035f2e0f23c0d2d45e514dfabd74ed1cd845666f4bf3,Current,0.8796296296296297,0.8812328090838564,26.462954171875026,371.5681718671875,5.872315999999998,88.479272,6.24270300000012,1078.694938,1024.0,1408,7168.0,170240.0,8224.0,199920.0,64.0,1520.0
20260716_live_k_sketch_coverage_k16_rep8,8,load_only,sketch_coverage_k16,c423c70166801e592128035f2e0f23c0d2d45e514dfabd74ed1cd845666f4bf3,Current,1.0,1.0,-61.763560734375005,283.3416569609375,2.173168000000004,84.780124,66.49260700000013,1138.944842,2624.0,3008,30464.0,193536.0,35168.0,226864.0,272.0,1728.0
20260716_live_k_sketch_coverage_k32_rep8,8,load_only,sketch_coverage_k32,c423c70166801e592128035f2e0f23c0d2d45e514dfabd74ed1cd845666f4bf3,Current,1.0,1.0,-68.4190195234375,276.686198171875,0.08289600000000519,82.689852,-27.251105000000052,1045.20113,2624.0,3008,30464.0,193536.0,35168.0,226864.0,272.0,1728.0
20260716_live_k_exact_rep8,8,load_only,exact,c423c70166801e592128035f2e0f23c0d2d45e514dfabd74ed1cd845666f4bf3,Current,1.0,1.0,-63.9387118046875,281.166505890625,1.3276749999999993,83.934631,35.20710600000007,1107.659341,2624.0,3008,30464.0,193536.0,35168.0,226864.0,272.0,1728.0
20260716_live_k_sketch_coverage_k4_rep9,9,load_only,sketch_coverage_k4,9b8da8461ff09cd0a57f2a4a13705671bf0471084fc98488e1f1900a3f5d8dc6,Current,0.9292035398230089,0.9304553119730186,-7.136602242187507,311.7719323515625,2.157206000000002,84.680166,15.489532999999938,1125.757244,1024.0,1408,16128.0,188160.0,18688.0,220704.0,144.0,1680.0
20260716_live_k_sketch_coverage_k16_rep9,9,load_only,sketch_coverage_k16,9b8da8461ff09cd0a57f2a4a13705671bf0471084fc98488e1f1900a3f5d8dc6,Current,1.0,1.0,-88.89818677343752,230.0103478203125,1.7371750000000077,84.260135,-60.10332799999992,1050.164383,2432.0,2816,30464.0,202496.0,35184.0,237200.0,272.0,1808.0
20260716_live_k_sketch_coverage_k32_rep9,9,load_only,sketch_coverage_k32,9b8da8461ff09cd0a57f2a4a13705671bf0471084fc98488e1f1900a3f5d8dc6,Current,1.0,1.0,-83.77692385156251,235.1316107421875,-0.5833179999999913,81.939642,-4.1735009999999875,1106.09421,2432.0,2816,30464.0,202496.0,35184.0,237200.0,272.0,1808.0
20260716_live_k_exact_rep9,9,load_only,exact,9b8da8461ff09cd0a57f2a4a13705671bf0471084fc98488e1f1900a3f5d8dc6,Current,1.0,1.0,-84.66600884375,234.24252575,0.9268700000000081,83.44983,-28.72829999999999,1081.539411,2432.0,2816,30464.0,202496.0,35184.0,237200.0,272.0,1808.0
