experiment_id,rep,baseline_policy,treatment_policy,workload_trace_hash,status,exact_normalized_estimated_saved_prefill,exact_normalized_physical_cached_tokens,delta_mean_ttft_ms,treatment_mean_ttft_ms,delta_ttft_p50_ms,treatment_ttft_p50_ms,delta_ttft_p95_ms,treatment_ttft_p95_ms,delta_dispatcher_index_bytes,treatment_dispatcher_index_bytes,delta_estimated_saved_prefill_tokens_total,treatment_estimated_saved_prefill_tokens_total,delta_physical_cached_tokens_total,treatment_physical_cached_tokens_total,delta_mean_selected_coverage_tokens,treatment_mean_selected_coverage_tokens
20260716_live_k_sketch_coverage_k4_rep0,0,load_only,sketch_coverage_k4,98e62789eb142dc1355f5c7445e1032d6bdc58a345de8bce8dc14e4e7ff5aa0f,Current,0.4175824175824176,0.429346012679346,-56.74550025781252,626.1602227890625,-17.378461000000016,845.721402,-21.374312999999916,907.116922,1024.0,1408,14336.0,68096.0,16544.0,82352.0,128.0,608.0
20260716_live_k_sketch_coverage_k16_rep0,0,load_only,sketch_coverage_k16,98e62789eb142dc1355f5c7445e1032d6bdc58a345de8bce8dc14e4e7ff5aa0f,Current,0.8901098901098901,0.8921421421421422,-236.26700930468746,446.6387137421875,-712.18892,150.910943,24.864867000000004,953.356102,4096.0,4480,91392.0,145152.0,105312.0,171120.0,816.0,1296.0
20260716_live_k_sketch_coverage_k32_rep0,0,load_only,sketch_coverage_k32,98e62789eb142dc1355f5c7445e1032d6bdc58a345de8bce8dc14e4e7ff5aa0f,Current,1.0,1.0,-321.165683828125,361.74003921875,-750.694143,112.40572,-24.108642999999915,904.382592,5312.0,5696,109312.0,163072.0,126000.0,191808.0,976.0,1456.0
20260716_live_k_exact_rep0,0,load_only,exact,98e62789eb142dc1355f5c7445e1032d6bdc58a345de8bce8dc14e4e7ff5aa0f,Current,1.0,1.0,-328.907230265625,353.99849278125,-743.656836,119.443027,-38.13710800000001,890.354127,5312.0,5696,109312.0,163072.0,126000.0,191808.0,976.0,1456.0
20260716_live_k_sketch_coverage_k4_rep1,1,load_only,sketch_coverage_k4,2b391b90eab28ec6be026dfb29246371c67096c8c21dbfef1e9469bf6b7d7f31,Current,0.4631578947368421,0.47392,17.808862007812536,651.49972978125,2.447738999999956,870.02946,47.97543099999996,992.655544,1024.0,1408,5376.0,78848.0,6224.0,94784.0,48.0,704.0
20260716_live_k_sketch_coverage_k16_rep1,1,load_only,sketch_coverage_k16,2b391b90eab28ec6be026dfb29246371c67096c8c21dbfef1e9469bf6b7d7f31,Current,0.8736842105263158,0.87616,-217.0065959609375,416.6842718125,-717.860501,149.72122,-13.30467299999998,931.37544,4096.0,4480,75264.0,148736.0,86672.0,175232.0,672.0,1328.0
20260716_live_k_sketch_coverage_k32_rep1,1,load_only,sketch_coverage_k32,2b391b90eab28ec6be026dfb29246371c67096c8c21dbfef1e9469bf6b7d7f31,Current,1.0,1.0,-258.8683416796875,374.82252609375,-727.6078600000001,139.973861,-12.978298999999993,931.701814,5184.0,5568,96768.0,170240.0,111440.0,200000.0,864.0,1520.0
20260716_live_k_exact_rep1,1,load_only,exact,2b391b90eab28ec6be026dfb29246371c67096c8c21dbfef1e9469bf6b7d7f31,Current,1.0,1.0,-249.286205328125,384.4046624453125,-733.9882170000001,133.593504,39.281637000000046,983.96175,5184.0,5568,96768.0,170240.0,111440.0,200000.0,864.0,1520.0
20260716_live_k_sketch_coverage_k4_rep2,2,load_only,sketch_coverage_k4,1117475c5747fdc15b90969069a049acd435e30ccf29624810d3dc48bb5afd62,Current,0.44565217391304346,0.4570815450643777,-14.229957546875085,655.9595180078124,6.307185000000004,901.285183,2.8879570000000285,966.923114,1024.0,1408,7168.0,73472.0,8272.0,88608.0,64.0,656.0
20260716_live_k_sketch_coverage_k16_rep2,2,load_only,sketch_coverage_k16,1117475c5747fdc15b90969069a049acd435e30ccf29624810d3dc48bb5afd62,Current,0.8478260869565217,0.8508583690987125,-166.25830624218753,503.9311693125,-604.113789,290.864209,49.29828699999996,1013.333444,4096.0,4480,73472.0,139776.0,84608.0,164944.0,656.0,1248.0
20260716_live_k_sketch_coverage_k32_rep2,2,load_only,sketch_coverage_k32,1117475c5747fdc15b90969069a049acd435e30ccf29624810d3dc48bb5afd62,Current,1.0,1.0,-255.86163659375,414.3278389609375,-733.4257809999999,161.552217,70.41882199999986,1034.453979,5248.0,5632,98560.0,164864.0,113520.0,193856.0,880.0,1472.0
20260716_live_k_exact_rep2,2,load_only,exact,1117475c5747fdc15b90969069a049acd435e30ccf29624810d3dc48bb5afd62,Current,1.0,1.0,-270.37609765625,399.8133778984375,-744.4685039999999,150.509494,57.497878000000014,1021.533035,5248.0,5632,98560.0,164864.0,113520.0,193856.0,880.0,1472.0
20260716_live_k_sketch_coverage_k4_rep3,3,load_only,sketch_coverage_k4,402a70b0a1bce10a31566d3fec62dc68682d0807846ecc20a29084895da64d00,Current,0.34375,0.3565210509654954,-41.93673217187495,731.2027436796875,-52.43519200000003,922.845705,-52.50335300000006,1080.968827,1024.0,1408,0.0,59136.0,16.0,72080.0,0.0,528.0
20260716_live_k_sketch_coverage_k16_rep3,3,load_only,sketch_coverage_k16,402a70b0a1bce10a31566d3fec62dc68682d0807846ecc20a29084895da64d00,Current,0.8645833333333334,0.8671256726812282,-265.28756935156247,507.8519065,-808.600791,166.680106,-50.76169099999993,1082.710489,4096.0,4480,89600.0,148736.0,103248.0,175312.0,800.0,1328.0
20260716_live_k_sketch_coverage_k32_rep3,3,load_only,sketch_coverage_k32,402a70b0a1bce10a31566d3fec62dc68682d0807846ecc20a29084895da64d00,Current,1.0,1.0,-435.90893618749993,337.2305396640625,-884.752616,90.528281,-184.77178100000003,948.700399,5312.0,5696,112896.0,172032.0,130112.0,202176.0,1008.0,1536.0
20260716_live_k_exact_rep3,3,load_only,exact,402a70b0a1bce10a31566d3fec62dc68682d0807846ecc20a29084895da64d00,Current,1.0,1.0,-414.78110086718743,358.358374984375,-888.827243,86.453654,-99.746085,1033.726095,5312.0,5696,112896.0,172032.0,130112.0,202176.0,1008.0,1536.0
20260716_live_k_sketch_coverage_k4_rep4,4,load_only,sketch_coverage_k4,b451077dde131e0f0dd51394cdc0d340bfbbdc13ded008943adac81747883de1,Current,0.45652173913043476,0.46755819712729074,-33.77357974218751,708.432736828125,-63.06216299999994,948.081766,-35.55739400000016,1198.373547,1024.0,1408,-1792.0,75264.0,-2112.0,90624.0,-16.0,672.0
