experiment_id,rep,baseline_policy,treatment_policy,workload_trace_hash,status,exact_normalized_estimated_saved_prefill,exact_normalized_physical_cached_tokens,delta_mean_ttft_ms,treatment_mean_ttft_ms,delta_ttft_p50_ms,treatment_ttft_p50_ms,delta_ttft_p95_ms,treatment_ttft_p95_ms,delta_dispatcher_index_bytes,treatment_dispatcher_index_bytes,delta_estimated_saved_prefill_tokens_total,treatment_estimated_saved_prefill_tokens_total,delta_physical_cached_tokens_total,treatment_physical_cached_tokens_total,delta_mean_selected_coverage_tokens,treatment_mean_selected_coverage_tokens
20260716_live_k_sketch_coverage_k4_rep0,0,load_only,sketch_coverage_k4,e08594f64c49e1e0c987c318ef757513f01d4ae574abe03b56d05c4c8c814401,Current,0.4945054945054945,0.5266538750312839,13.312690078125115,1287.192881640625,54.25304500000016,1503.593767,-8.187465999999858,2211.802242,1024.0,1408,-1792.0,80640.0,-16.0,101008.0,-16.0,720.0
20260716_live_k_sketch_coverage_k16_rep0,0,load_only,sketch_coverage_k16,e08594f64c49e1e0c987c318ef757513f01d4ae574abe03b56d05c4c8c814401,Current,0.8681318681318682,0.8707766747309585,-460.0895317968749,813.790659765625,-607.360518,841.980204,12.245069000000058,2232.234777,4096.0,4480,59136.0,141568.0,65984.0,167008.0,528.0,1264.0
20260716_live_k_exact_rep0,0,load_only,exact,e08594f64c49e1e0c987c318ef757513f01d4ae574abe03b56d05c4c8c814401,Current,1.0,1.0,-631.2580219609374,642.6221696015625,-1237.766938,211.573784,-57.27995099999998,2162.709757,4928.0,5312,80640.0,163072.0,90768.0,191792.0,720.0,1456.0
20260716_live_k_sketch_coverage_k4_rep1,1,load_only,sketch_coverage_k4,43383dc3658c30fe45f604ee3947d74995275e5019357fe9116e3a3c83adc571,Current,0.6021505376344086,0.6098636400751204,7.236667859375075,1154.2109034921875,26.293590999999992,981.458655,75.68219500000032,2290.926205,1024.0,1408,5376.0,100352.0,6128.0,119504.0,48.0,896.0
20260716_live_k_sketch_coverage_k16_rep1,1,load_only,sketch_coverage_k16,43383dc3658c30fe45f604ee3947d74995275e5019357fe9116e3a3c83adc571,Current,0.956989247311828,0.957867232791704,-463.6499751484374,683.324260484375,-639.82034,315.344724,26.296374000000014,2241.540384,4096.0,4480,64512.0,159488.0,74320.0,187696.0,576.0,1424.0
20260716_live_k_exact_rep1,1,load_only,exact,43383dc3658c30fe45f604ee3947d74995275e5019357fe9116e3a3c83adc571,Current,1.0,1.0,-544.3720402421875,602.602195390625,-761.661918,193.503146,-125.85108899999977,2089.392921,5056.0,5440,71680.0,166656.0,82576.0,195952.0,640.0,1488.0
20260716_live_k_sketch_coverage_k4_rep2,2,load_only,sketch_coverage_k4,5e64a27c229095a1a8eb64c6ae618a64674b849a0b0c80287933028a1f15d532,Current,0.5698924731182796,0.5823500888960724,-11.70135546875008,1226.6905924453124,-42.4142260000001,985.375554,6.004402999999911,2318.955625,1024.0,1408,3584.0,94976.0,4000.0,115296.0,32.0,848.0
20260716_live_k_sketch_coverage_k16_rep2,2,load_only,sketch_coverage_k16,5e64a27c229095a1a8eb64c6ae618a64674b849a0b0c80287933028a1f15d532,Current,0.978494623655914,0.9791498302893163,-596.55635971875,641.8355881953125,-816.5312160000001,211.258564,-62.3832110000003,2250.568011,4032.0,4416,71680.0,163072.0,82560.0,193856.0,640.0,1456.0
20260716_live_k_exact_rep2,2,load_only,exact,5e64a27c229095a1a8eb64c6ae618a64674b849a0b0c80287933028a1f15d532,Current,1.0,1.0,-629.597440828125,608.7945070859375,-850.1152940000001,177.674486,-163.41792900000019,2149.533293,4864.0,5248,75264.0,166656.0,86688.0,197984.0,672.0,1488.0
20260716_live_k_sketch_coverage_k4_rep3,3,load_only,sketch_coverage_k4,2694a84b83c76ac53242533d6cb06a7ab4567aeacb9a11bbd5026e56c01ba076,Current,0.4725274725274725,0.4831498164831498,98.88467333593735,1416.858903875,451.07665700000007,1511.135989,-7.335087000000385,2336.684974,1024.0,1408,-7168.0,77056.0,-8304.0,92672.0,-64.0,688.0
20260716_live_k_sketch_coverage_k16_rep3,3,load_only,sketch_coverage_k16,2694a84b83c76ac53242533d6cb06a7ab4567aeacb9a11bbd5026e56c01ba076,Current,0.945054945054945,0.9461961961961962,-555.3536380781251,762.6205924609375,-156.30897600000003,903.750356,-60.62599300000011,2283.394068,4096.0,4480,69888.0,154112.0,80512.0,181488.0,624.0,1376.0
20260716_live_k_exact_rep3,3,load_only,exact,2694a84b83c76ac53242533d6cb06a7ab4567aeacb9a11bbd5026e56c01ba076,Current,1.0,1.0,-656.7953838593751,661.1788466796875,-853.2881,206.771232,-187.08442400000013,2156.935637,5184.0,5568,78848.0,163072.0,90832.0,191808.0,704.0,1456.0
20260716_live_k_sketch_coverage_k4_rep4,4,load_only,sketch_coverage_k4,4b188217ec13e63ee7e4e8e7f64c7eca4fb215daf35f25388ae23cc7fc65f913,Current,0.5625,0.5710328452710725,30.60629433593749,1233.6069226875,87.14863200000002,1101.059827,98.81287299999985,2410.298923,1024.0,1408,1792.0,96768.0,2080.0,115440.0,16.0,864.0
20260716_live_k_sketch_coverage_k16_rep4,4,load_only,sketch_coverage_k16,4b188217ec13e63ee7e4e8e7f64c7eca4fb215daf35f25388ae23cc7fc65f913,Current,0.9270833333333334,0.9386624455876533,-483.8370790546875,719.163549296875,-192.033632,821.877563,-108.51442300000008,2202.971627,4096.0,4480,64512.0,159488.0,76400.0,189760.0,576.0,1424.0
20260716_live_k_exact_rep4,4,load_only,exact,4b188217ec13e63ee7e4e8e7f64c7eca4fb215daf35f25388ae23cc7fc65f913,Current,1.0,1.0,-568.6094526406249,634.3911757109375,-770.920618,242.990577,-33.31669499999998,2278.169355,5184.0,5568,77056.0,172032.0,88800.0,202160.0,688.0,1536.0
20260716_live_k_sketch_coverage_k4_rep5,5,load_only,sketch_coverage_k4,1c0debfe4d4e49d005ccc7df42deb50ae3ae60a326c292716bca1af5bb499a0f,Current,0.5,0.5099814111371535,17.670882742187587,1420.0673395234376,-4.334544999999935,1436.934808,55.65630599999986,2448.911861,1024.0,1408,3584.0,84224.0,4096.0,100960.0,32.0,752.0
