experiment_id,rep,baseline_policy,treatment_policy,workload_trace_hash,status,exact_normalized_estimated_saved_prefill,exact_normalized_physical_cached_tokens,delta_mean_ttft_ms,treatment_mean_ttft_ms,delta_ttft_p50_ms,treatment_ttft_p50_ms,delta_ttft_p95_ms,treatment_ttft_p95_ms,delta_dispatcher_index_bytes,treatment_dispatcher_index_bytes,delta_estimated_saved_prefill_tokens_total,treatment_estimated_saved_prefill_tokens_total,delta_physical_cached_tokens_total,treatment_physical_cached_tokens_total,delta_mean_selected_coverage_tokens,treatment_mean_selected_coverage_tokens
20260719_guard_ablation_sketch_k4_affinity_first_rep0,0,load_only,sketch_k4_affinity_first,7c2370fa8a8a31c532046d463fb9db48f917efd04de08f1a6b48e20ac5581c77,Current,0.6105263157894737,0.6178517155882588,-15.98535982031251,555.6086234921875,-4.667473000000086,834.836919,-9.510184999999979,915.424268,1024.0,1408,17920.0,103936.0,20592.0,123600.0,160.0,928.0
20260719_guard_ablation_sketch_k4_abstain_rep0,0,load_only,sketch_k4_abstain,7c2370fa8a8a31c532046d463fb9db48f917efd04de08f1a6b48e20ac5581c77,Current,0.5578947368421052,0.566264096616812,-37.91665173437502,533.677331578125,-17.278272000000015,822.22612,-15.960167999999953,908.974285,1024.0,1408,8960.0,94976.0,10272.0,113280.0,80.0,848.0
20260719_guard_ablation_sketch_k16_affinity_first_rep0,0,load_only,sketch_k16_affinity_first,7c2370fa8a8a31c532046d463fb9db48f917efd04de08f1a6b48e20ac5581c77,Current,0.9473684210526315,0.9480124770055187,-177.22375716406248,394.3702261484375,-693.036505,146.467887,3.4127340000000004,928.347187,4096.0,4480,75264.0,161280.0,86640.0,189648.0,672.0,1440.0
20260719_guard_ablation_sketch_k16_abstain_rep0,0,load_only,sketch_k16_abstain,7c2370fa8a8a31c532046d463fb9db48f917efd04de08f1a6b48e20ac5581c77,Current,0.6526315789473685,0.65928177237463,-92.80669613281248,478.7872871796875,-46.82288700000004,792.681505,-1.9339559999999665,923.000497,4096.0,4480,25088.0,111104.0,28880.0,131888.0,224.0,992.0
20260719_guard_ablation_exact_rep0,0,load_only,exact,7c2370fa8a8a31c532046d463fb9db48f917efd04de08f1a6b48e20ac5581c77,Current,1.0,1.0,-165.15283274218746,406.4411505703125,-692.3968890000001,147.107503,74.01279199999999,998.947245,4864.0,5248,84224.0,170240.0,97040.0,200048.0,752.0,1520.0
20260719_guard_ablation_sketch_k4_affinity_first_rep1,1,load_only,sketch_k4_affinity_first,b50d44af21b41b6dc5ee7cc1a505af0051808df835d7d96c9f242191936f9963,Current,0.5408163265306123,0.5494607805105128,-18.96229270312506,576.8026284140625,4.104499999999916,859.383884,10.264745999999946,938.003925,1024.0,1408,14336.0,94976.0,16512.0,113312.0,128.0,848.0
20260719_guard_ablation_sketch_k4_abstain_rep1,1,load_only,sketch_k4_abstain,b50d44af21b41b6dc5ee7cc1a505af0051808df835d7d96c9f242191936f9963,Current,0.5408163265306123,0.5496935371246799,-46.84832952343754,548.91659159375,-11.347198000000049,843.932186,9.74036799999999,937.479547,1024.0,1408,14336.0,94976.0,16560.0,113360.0,128.0,848.0
20260719_guard_ablation_sketch_k16_affinity_first_rep1,1,load_only,sketch_k16_affinity_first,b50d44af21b41b6dc5ee7cc1a505af0051808df835d7d96c9f242191936f9963,Current,0.9897959183673469,0.9899914655908139,-253.09257279687506,342.6723483203125,-730.2615420000001,125.017842,61.91439600000001,989.653575,4096.0,4480,93184.0,173824.0,107360.0,204160.0,832.0,1552.0
20260719_guard_ablation_sketch_k16_abstain_rep1,1,load_only,sketch_k16_abstain,b50d44af21b41b6dc5ee7cc1a505af0051808df835d7d96c9f242191936f9963,Current,0.7142857142857143,0.7198386220808441,-149.54467420312506,446.2202469140625,-777.071146,78.208238,12.89920799999993,940.638387,4096.0,4480,44800.0,125440.0,51648.0,148448.0,400.0,1120.0
20260719_guard_ablation_exact_rep1,1,load_only,exact,b50d44af21b41b6dc5ee7cc1a505af0051808df835d7d96c9f242191936f9963,Current,1.0,1.0,-262.09872171875,333.6661993984375,-726.263775,129.015609,33.96972299999993,961.708902,4480.0,4864,94976.0,175616.0,109424.0,206224.0,848.0,1568.0
20260719_guard_ablation_sketch_k4_affinity_first_rep2,2,load_only,sketch_k4_affinity_first,a88f2a493911b6c3983bd18babd90d5a36648a5d27db57f00330675426d0c2c0,Current,0.5882352941176471,0.5971999286606028,-14.080318156250087,622.6472124140624,-14.029651999999942,867.860534,-40.99849099999983,1036.561693,1024.0,1408,7168.0,89600.0,8176.0,107152.0,64.0,800.0
20260719_guard_ablation_sketch_k4_abstain_rep2,2,load_only,sketch_k4_abstain,a88f2a493911b6c3983bd18babd90d5a36648a5d27db57f00330675426d0c2c0,Current,0.5647058823529412,0.5741037988229,-3.5299223984375203,633.197608171875,35.45829100000003,917.348477,1.905973000000131,1079.466157,1024.0,1408,3584.0,86016.0,4032.0,103008.0,32.0,768.0
20260719_guard_ablation_sketch_k16_affinity_first_rep2,2,load_only,sketch_k16_affinity_first,a88f2a493911b6c3983bd18babd90d5a36648a5d27db57f00330675426d0c2c0,Current,0.8470588235294118,0.850187265917603,-94.96007957031247,541.767451,-37.08380699999998,844.806379,67.28309000000013,1144.843274,4096.0,4480,46592.0,129024.0,53568.0,152544.0,416.0,1152.0
20260719_guard_ablation_sketch_k16_abstain_rep2,2,load_only,sketch_k16_abstain,a88f2a493911b6c3983bd18babd90d5a36648a5d27db57f00330675426d0c2c0,Current,0.6352941176470588,0.643303014089531,-42.41975643750004,594.3077741328125,0.3444200000000137,882.234606,15.043867000000091,1092.604051,4096.0,4480,14336.0,96768.0,16448.0,115424.0,128.0,864.0
