experiment_id,rep,baseline_policy,treatment_policy,workload_trace_hash,status,exact_normalized_estimated_saved_prefill,exact_normalized_physical_cached_tokens,delta_mean_ttft_ms,treatment_mean_ttft_ms,delta_ttft_p50_ms,treatment_ttft_p50_ms,delta_ttft_p95_ms,treatment_ttft_p95_ms,delta_dispatcher_index_bytes,treatment_dispatcher_index_bytes,delta_estimated_saved_prefill_tokens_total,treatment_estimated_saved_prefill_tokens_total,delta_physical_cached_tokens_total,treatment_physical_cached_tokens_total,delta_mean_selected_coverage_tokens,treatment_mean_selected_coverage_tokens
20260719_guard_ablation_sketch_k4_affinity_first_rep0,0,load_only,sketch_k4_affinity_first,4e89d5f87037710f1df68c1b7746e39ec3e23f7be57d9741d97d1c1761ded8f9,Current,0.6,1.0,1.9710115312499994,75.65732971875,-0.5314440000000076,73.267489,-0.21423699999999712,75.14163,1024.0,1408,5376.0,16128.0,0.0,67072.0,192.0,576.0
20260719_guard_ablation_sketch_k4_abstain_rep0,0,load_only,sketch_k4_abstain,4e89d5f87037710f1df68c1b7746e39ec3e23f7be57d9741d97d1c1761ded8f9,Current,0.5333333333333333,0.2588263358778626,572.4792526250001,646.1655708125,754.548148,828.347081,808.1933,883.549167,1024.0,1408,3584.0,14336.0,-49712.0,17360.0,128.0,512.0
20260719_guard_ablation_sketch_k16_affinity_first_rep0,0,load_only,sketch_k16_affinity_first,4e89d5f87037710f1df68c1b7746e39ec3e23f7be57d9741d97d1c1761ded8f9,Current,1.0,1.0,10.82673556249999,84.51305375,0.5787939999999878,74.377727,73.433024,148.788891,2688.0,3072,16128.0,26880.0,0.0,67072.0,576.0,960.0
20260719_guard_ablation_sketch_k16_abstain_rep0,0,load_only,sketch_k16_abstain,4e89d5f87037710f1df68c1b7746e39ec3e23f7be57d9741d97d1c1761ded8f9,Current,0.6,0.28912213740458015,561.44850284375,635.13482103125,765.234664,839.033597,800.819731,876.175598,3200.0,3584,5376.0,16128.0,-47680.0,19392.0,192.0,576.0
20260719_guard_ablation_exact_rep0,0,load_only,exact,4e89d5f87037710f1df68c1b7746e39ec3e23f7be57d9741d97d1c1761ded8f9,Current,1.0,1.0,11.218598218749989,84.90491640625,-0.23655399999999815,73.562379,70.19533399999999,145.551201,2688.0,3072,16128.0,26880.0,0.0,67072.0,576.0,960.0
20260719_guard_ablation_sketch_k4_affinity_first_rep1,1,load_only,sketch_k4_affinity_first,d4107886837ce72f64a5e5fd37b003c6bcf406a5a8b082163d07ffe6025c2bd0,Current,0.6666666666666666,1.0,2.7454495000000065,84.3008104375,-9.461197999999996,77.174242,-1.7158529999999956,88.646484,1024.0,1408,7168.0,17920.0,0.0,67072.0,256.0,640.0
20260719_guard_ablation_sketch_k4_abstain_rep1,1,load_only,sketch_k4_abstain,d4107886837ce72f64a5e5fd37b003c6bcf406a5a8b082163d07ffe6025c2bd0,Current,0.6,0.289837786259542,643.6326049375,725.187965875,772.354456,858.989896,915.53644,1005.898777,1024.0,1408,5376.0,16128.0,-47632.0,19440.0,192.0,576.0
20260719_guard_ablation_sketch_k16_affinity_first_rep1,1,load_only,sketch_k16_affinity_first,d4107886837ce72f64a5e5fd37b003c6bcf406a5a8b082163d07ffe6025c2bd0,Current,1.0,1.0,4.742452718750002,86.29781365625,-12.025455000000008,74.609985,58.63193799999999,148.994275,2688.0,3072,16128.0,26880.0,0.0,67072.0,576.0,960.0
20260719_guard_ablation_sketch_k16_abstain_rep1,1,load_only,sketch_k16_abstain,d4107886837ce72f64a5e5fd37b003c6bcf406a5a8b082163d07ffe6025c2bd0,Current,0.6,0.289837786259542,559.9615087812499,641.51686971875,752.305272,838.940712,843.815062,934.177399,3264.0,3648,5376.0,16128.0,-47632.0,19440.0,192.0,576.0
20260719_guard_ablation_exact_rep1,1,load_only,exact,d4107886837ce72f64a5e5fd37b003c6bcf406a5a8b082163d07ffe6025c2bd0,Current,1.0,1.0,7.509278531250004,89.06463946875,-11.395469000000006,75.239971,57.648819,148.011156,2688.0,3072,16128.0,26880.0,0.0,67072.0,576.0,960.0
