experiment_id,rep,baseline_policy,treatment_policy,workload_trace_hash,status,exact_normalized_estimated_saved_prefill,exact_normalized_physical_cached_tokens,delta_mean_ttft_ms,treatment_mean_ttft_ms,delta_ttft_p50_ms,treatment_ttft_p50_ms,delta_ttft_p95_ms,treatment_ttft_p95_ms,delta_dispatcher_index_bytes,treatment_dispatcher_index_bytes,delta_estimated_saved_prefill_tokens_total,treatment_estimated_saved_prefill_tokens_total,delta_physical_cached_tokens_total,treatment_physical_cached_tokens_total,delta_mean_selected_coverage_tokens,treatment_mean_selected_coverage_tokens
20260720_crosssystem_normal_sglang_approx_rep0,0,load_only,sglang_approx,7a4c779adffe1bcdfefe5957cd6d4d973e949d857be94c9b587d7cfa626d6b8f,Current,1.0,1.0,-125.857512390625,331.1616405859375,50.55127399999999,129.366874,-41.44420200000002,922.469427,4864.0,5248,75264.0,172032.0,68096.0,210432.0,672.0,1536.0
20260720_crosssystem_normal_preble_global_rep0,0,load_only,preble_global,7a4c779adffe1bcdfefe5957cd6d4d973e949d857be94c9b587d7cfa626d6b8f,Current,1.0,0.9705748175182481,-88.63679639843753,368.382356578125,71.587946,150.403546,-5.304489999999987,958.609139,0.0,384,75264.0,172032.0,61904.0,204240.0,672.0,1536.0
20260720_crosssystem_normal_sketch_coverage_k16_rep0,0,load_only,sketch_coverage_k16,7a4c779adffe1bcdfefe5957cd6d4d973e949d857be94c9b587d7cfa626d6b8f,Current,0.9479166666666666,0.941301703163017,-110.96557110156249,346.053581875,49.591739000000004,128.407339,-69.37211300000001,894.541516,4096.0,4480,66304.0,163072.0,55744.0,198080.0,592.0,1456.0
20260720_crosssystem_normal_exact_rep0,0,load_only,exact,7a4c779adffe1bcdfefe5957cd6d4d973e949d857be94c9b587d7cfa626d6b8f,Current,1.0,1.0,-132.81968026562504,324.19947271093747,40.122158,118.937758,-46.591804000000025,917.321825,4864.0,5248,75264.0,172032.0,68096.0,210432.0,672.0,1536.0
20260720_crosssystem_normal_sglang_approx_rep1,1,load_only,sglang_approx,23654dc578af2e65d049602df7384f197ddbf8c143f86db84e928e3c26a91b86,Current,1.0,1.0,-273.4250521484375,347.664398859375,-734.7933889999999,125.483726,-5.690544999999929,981.065013,5184.0,5568,89600.0,168448.0,103216.0,198016.0,800.0,1504.0
20260720_crosssystem_normal_preble_global_rep1,1,load_only,preble_global,23654dc578af2e65d049602df7384f197ddbf8c143f86db84e928e3c26a91b86,Current,1.0,1.0,-270.1992210234375,350.890229984375,-730.718277,129.558838,19.557592999999997,1006.313151,0.0,384,89600.0,168448.0,103216.0,198016.0,800.0,1504.0
20260720_crosssystem_normal_sketch_coverage_k16_rep1,1,load_only,sketch_coverage_k16,23654dc578af2e65d049602df7384f197ddbf8c143f86db84e928e3c26a91b86,Current,0.9361702127659575,0.9377020038784745,-247.81093953125003,373.27851147656247,-731.78413,128.492985,-68.37015399999996,918.385404,4096.0,4480,78848.0,157696.0,90880.0,185680.0,704.0,1408.0
20260720_crosssystem_normal_exact_rep1,1,load_only,exact,23654dc578af2e65d049602df7384f197ddbf8c143f86db84e928e3c26a91b86,Current,1.0,1.0,-288.0831718984375,333.006279109375,-749.2464679999999,111.030647,-57.93344999999999,928.822108,5184.0,5568,89600.0,168448.0,103216.0,198016.0,800.0,1504.0
20260720_crosssystem_normal_sglang_approx_rep2,2,load_only,sglang_approx,2fda710e49ef5c2d4c6ab27794c7066543cf21c4b21f85b35041c4e4dd1a56b0,Current,1.0,1.0,-243.3677904609375,408.0815089140625,-724.6234,160.296534,-18.171320000000037,1011.161675,5248.0,5632,96768.0,170240.0,111488.0,200064.0,864.0,1520.0
20260720_crosssystem_normal_preble_global_rep2,2,load_only,preble_global,2fda710e49ef5c2d4c6ab27794c7066543cf21c4b21f85b35041c4e4dd1a56b0,Current,1.0,1.0,-238.83999192968753,412.6093074453125,-724.323054,160.59688,-19.996624999999995,1009.33637,0.0,384,96768.0,170240.0,111488.0,200064.0,864.0,1520.0
20260720_crosssystem_normal_sketch_coverage_k16_rep2,2,load_only,sketch_coverage_k16,2fda710e49ef5c2d4c6ab27794c7066543cf21c4b21f85b35041c4e4dd1a56b0,Current,0.8842105263157894,0.8862763915547025,-181.23775894531252,470.2115404296875,-724.948742,159.971192,43.924981000000116,1073.257976,4096.0,4480,77056.0,150528.0,88736.0,177312.0,688.0,1344.0
20260720_crosssystem_normal_exact_rep2,2,load_only,exact,2fda710e49ef5c2d4c6ab27794c7066543cf21c4b21f85b35041c4e4dd1a56b0,Current,1.0,1.0,-224.93258353906253,426.5167158359375,-721.139351,163.780583,59.66291000000001,1088.995905,5248.0,5632,96768.0,170240.0,111488.0,200064.0,864.0,1520.0
20260720_crosssystem_normal_sglang_approx_rep3,3,load_only,sglang_approx,3eb3af2eaa47f469162e2d5910afdd1857b91e2a2c491646a08ca831492075e1,Current,1.0,1.0,-313.8755333515625,333.0236631484375,-844.49192,95.96025,-73.37994299999991,1044.550255,4672.0,5056,91392.0,179200.0,105328.0,210416.0,816.0,1600.0
20260720_crosssystem_normal_preble_global_rep3,3,load_only,preble_global,3eb3af2eaa47f469162e2d5910afdd1857b91e2a2c491646a08ca831492075e1,Current,1.0,1.0,-300.022661671875,346.876534828125,-846.989061,93.463109,-54.553327999999965,1063.37687,0.0,384,91392.0,179200.0,105328.0,210416.0,816.0,1600.0
20260720_crosssystem_normal_sketch_coverage_k16_rep3,3,load_only,sketch_coverage_k16,3eb3af2eaa47f469162e2d5910afdd1857b91e2a2c491646a08ca831492075e1,Current,0.97,0.9705725800319367,-279.80835238281253,367.0908441171875,-845.795085,94.657085,-31.770962999999938,1086.159235,4096.0,4480,86016.0,173824.0,99136.0,204224.0,768.0,1552.0
20260720_crosssystem_normal_exact_rep3,3,load_only,exact,3eb3af2eaa47f469162e2d5910afdd1857b91e2a2c491646a08ca831492075e1,Current,1.0,1.0,-311.32599181250004,335.5732046875,-847.5922,92.85997,-110.95788300000004,1006.972315,4672.0,5056,91392.0,179200.0,105328.0,210416.0,816.0,1600.0
20260720_crosssystem_normal_sglang_approx_rep4,4,load_only,sglang_approx,8eec7b369159d928fc7191ef7aad1f5fbbe2f887ed1765577f35f58c20c70f76,Current,1.0,1.0,-205.255021296875,482.6950492265625,-769.211332,174.419229,-21.168570000000045,1132.726813,5056.0,5440,82432.0,163072.0,94928.0,191776.0,736.0,1456.0
