experiment,evidence_type,mode,policy,admission,K,n_reps,status,mean_reuse_coverage_mean,mean_reuse_coverage_ci95_low,mean_reuse_coverage_ci95_high,saved_prefill_tokens_total_mean,saved_prefill_tokens_total_ci95_low,saved_prefill_tokens_total_ci95_high,incremental_saved_prefill_tokens_total_mean,incremental_saved_prefill_tokens_total_ci95_low,incremental_saved_prefill_tokens_total_ci95_high,dispatcher_index_bytes_mean,dispatcher_index_bytes_ci95_low,dispatcher_index_bytes_ci95_high,selected_affinity_rate_mean,selected_affinity_rate_ci95_low,selected_affinity_rate_ci95_high,incremental_saved_vs_exact_ratio_mean,incremental_saved_vs_exact_ratio_ci95_low,incremental_saved_vs_exact_ratio_ci95_high
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,exact,exact,inf,10,Current,0.5435618748568752,0.5341010033380361,0.5524394078965866,119065.4,113698.0,125240.5,20761.4,15209.6,26630.1,16896.0,16896.0,16896.0,0.01484375,0.011458333333333334,0.018489583333333334,1.0,1.0,1.0
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,load_only,none,inf,10,Current,0.5348019687146726,0.5248408784334275,0.5438486997414236,106227.0,103540.5,108809.5,7923.0,5416.0,10693.6,384.0,384.0,384.0,0.0,0.0,0.0,0.4056457150828844,0.27887893116785945,0.5598720089249817
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,coverage_first,128,10,Current,0.5435618748568752,0.5344254476708915,0.5524789853105357,119065.4,113796.8,125283.6,20761.4,15222.2,26754.9,16896.0,16896.0,16896.0,0.01484375,0.011197916666666667,0.018489583333333334,1.0,1.0,1.0
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,coverage_first,16,10,Current,0.5435618748568752,0.534368844057704,0.5522757627782507,119065.4,113598.5,125299.5,20761.4,15555.6,27052.0,2560.0,2560.0,2560.0,0.01484375,0.01171875,0.01875,1.0,1.0,1.0
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,coverage_first,2,10,Current,0.540535321640942,0.5314141960078415,0.5497340130771702,114353.0,109864.1,119240.8,16049.0,11487.2,21001.6,768.0,768.0,768.0,0.007291666666666667,0.0049479166666666664,0.009895833333333333,0.7932685904116769,0.660616159770249,0.9131305467235822
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,coverage_first,32,10,Current,0.5435618748568752,0.5342504594423425,0.5523172999248422,119065.4,113797.0,125440.3,20761.4,15196.6,26953.6,4608.0,4608.0,4608.0,0.01484375,0.011458333333333334,0.018489583333333334,1.0,1.0,1.0
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,coverage_first,4,10,Current,0.5414529681116956,0.5323472703553193,0.550276205464564,115808.4,111454.5,120513.9,17504.4,12825.6,22405.3,1024.0,1024.0,1024.0,0.009635416666666667,0.006510416666666666,0.01328125,0.8642404649404708,0.7658579751246479,0.9477763691000137
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,coverage_first,64,10,Current,0.5435618748568752,0.5336522844797119,0.5524011887141227,119065.4,113587.8,124846.6,20761.4,15397.6,26750.3,8704.0,8704.0,8704.0,0.01484375,0.01171875,0.01875,1.0,1.0,1.0
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,coverage_first,8,10,Current,0.5434196502271552,0.5336529758418531,0.5521636751099377,118841.7,113597.0,124282.7,20537.7,15410.2,26054.4,1536.0,1536.0,1536.0,0.013802083333333333,0.010677083333333334,0.017447916666666667,1.0085215343595,0.9669612172959515,1.0689971738413304
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lfu,128,10,Current,0.5435618748568752,0.5347739682549215,0.5526902683767103,119065.4,113839.1,125387.1,20761.4,15081.6,26796.4,16896.0,16896.0,16896.0,0.01484375,0.01171875,0.01875,1.0,1.0,1.0
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lfu,16,10,Current,0.5381635997978763,0.5291824633822916,0.5465071984370443,110655.6,106371.3,115748.2,12351.6,8036.4,17152.9,2560.0,2560.0,2560.0,0.0036458333333333334,0.0015624999999999999,0.005729166666666666,0.5972946160744753,0.45859246286497324,0.7360785318958305
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lfu,2,10,Current,0.5374096248833256,0.5287954031062182,0.5458363379438405,109469.7,106440.3,112899.0,11165.7,7847.2,14612.4,768.0,768.0,768.0,0.0,0.0,0.0,0.5599587309800561,0.4432839976436526,0.6963198562705709
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lfu,32,10,Current,0.5388874145958875,0.5299428967211252,0.547692168648418,111795.9,107432.5,116203.9,13491.9,9298.6,18194.2,4608.0,4608.0,4608.0,0.005208333333333333,0.0031249999999999997,0.007552083333333333,0.6481927038819133,0.5361845722470644,0.7613448968515958
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lfu,4,10,Current,0.5378095958916264,0.5293315626230057,0.5462482240941754,110098.8,106347.2,114340.0,11794.8,8230.6,16164.9,1024.0,1024.0,1024.0,0.0005208333333333333,0.0,0.0015624999999999999,0.5816286700107475,0.46323876482951104,0.7048926413869473
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lfu,64,10,Current,0.5435618748568752,0.5340310967503251,0.552221422532204,119065.4,113690.9,124892.2,20761.4,15330.8,26998.8,8704.0,8704.0,8704.0,0.01484375,0.011458333333333334,0.018489583333333334,1.0,1.0,1.0
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lfu,8,10,Current,0.5380537365166264,0.5293638804020969,0.5467039117079747,110482.8,106679.8,114728.1,12178.8,8239.9,16424.1,1536.0,1536.0,1536.0,0.0013020833333333333,0.0,0.002864583333333333,0.598876244570575,0.46234512961652985,0.7370011409976307
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lru,128,10,Current,0.5435618748568752,0.5347215417904451,0.5530571274317697,119065.4,113693.3,125230.3,20761.4,15461.8,27198.9,16896.0,16896.0,16896.0,0.01484375,0.011458333333333334,0.01875,1.0,1.0,1.0
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lru,16,10,Current,0.538775834700868,0.5291787683444084,0.5475276221565737,111620.4,107845.5,115541.9,13316.4,9426.5,17266.5,2560.0,2560.0,2560.0,0.00234375,0.0005208333333333333,0.004427083333333333,0.6525421090621661,0.5400505036698069,0.7745831398435743
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lru,2,10,Current,0.5376508409070886,0.5283090319973086,0.546047883620457,109849.1,106685.0,113400.0,11545.1,8286.9,14975.4,768.0,768.0,768.0,0.0005208333333333333,0.0,0.0013020833333333333,0.577749221461159,0.4649839162557831,0.6924297497298133
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lru,32,10,Current,0.5400845023047846,0.5304176617702946,0.5494543553634154,113595.4,109761.0,117608.8,15291.4,11231.9,19264.1,4608.0,4608.0,4608.0,0.005729166666666666,0.00390625,0.0078125,0.7486552494498133,0.6585312017813576,0.8455743207397971
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lru,4,10,Current,0.5380436275688725,0.5285020641666448,0.5467620733298423,110466.9,107016.7,114056.8,12162.9,8745.7,15613.1,1024.0,1024.0,1024.0,0.0010416666666666667,0.0,0.0026041666666666665,0.6067185546694494,0.4834231814984624,0.7300879915218957
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lru,64,10,Current,0.5421297736483417,0.5327456091313828,0.5506554471938432,116777.5,112463.2,121321.4,18473.5,14037.8,23242.0,8704.0,8704.0,8704.0,0.0109375,0.008333333333333333,0.013541666666666667,0.9119418506028266,0.8057701852964468,1.019309017514597
