workload_trace_hash,rep,request_count_total,measured_request_count,active_lineages,unique_selective_prefixes,top_2_demand_concentration,top_8_demand_concentration,top_16_demand_concentration,reuse_distance_p50_requests,reuse_distance_p95_requests,prefix_tokens_p50,prefix_tokens_p95
5054eff1833373c9ab6ab51917d90e28000b55a673161c014ecdbafda693a957,0,512,384,340,512,0.05906153300438059,0.14523138682131867,0.2397298396283276,133.0,341.0,332.0,4096.0
1078df921a9a55032f94a479b6e76eb05cb77a676c26b49ca635ec8a0bebf67f,1,512,384,352,512,0.04559203697674483,0.17354136926377653,0.2647254432172662,118.0,348.0,329.0,4096.0
3ba8ef1ebf39502fadbfd4f1295033430821331255ede53a3dd771c109ee3d49,2,512,384,354,512,0.05763331926269875,0.19246939636977628,0.28468270719009425,78.0,320.0,332.0,4096.0
ce65a9604f1a142ccf50170c101358fdf78d6ab564a40a417311934bd47b6377,3,512,384,337,512,0.07753757619354106,0.21026713036329514,0.2988815031559135,111.0,368.0,336.0,4096.0
28a87ccae5efeb27fd2dc2214edc5a9c50366ea5b4352dddbf36934ad4be08c8,4,512,384,345,512,0.056161215725140406,0.14104860536516914,0.24003540005394872,111.0,360.0,333.0,4096.0
3d75418b8fa6e4391b1c616947e2d9a14217d9e8b2283afd3c0955f636cb07c5,5,512,384,352,512,0.045571419024203225,0.13201501225813486,0.21846212289087974,112.0,352.0,333.0,4096.0
1ccc179fbd83174be9925beeeb87d85576d10b2d110db09466713175bcc47791,6,512,384,352,512,0.07741569671291994,0.19353924178229986,0.2862421445559213,116.0,367.0,334.0,4096.0
59d4a2017489e16019061de205e8d61beec97c7d34e48ce71d70e599395935ad,7,512,384,339,512,0.07107233156511823,0.2132169946953547,0.30459570670764957,99.0,325.0,335.0,4096.0
73bd03941dca96377d00d92ba7fdab622515d1bd6fe4ce074b36d3a3248f8f64,8,512,384,340,512,0.05021023082486485,0.13807813476837835,0.23849859641810806,118.0,334.0,335.0,4096.0
f1e8257c79b6fb8b88aac868ccbe25a10f108ca258642f28cdeb10d11e7024f6,9,512,384,350,512,0.04636473134527079,0.127092744944436,0.2285539120822638,109.0,373.0,329.0,4096.0
