request_id,session_hash,step_number,prefix_tokens,prefix_chain_depth,tool_span_count_before,tool_latency_ms_before,discard
0,12aa5b91a6ef7c4df3ff,1,342,2,0,0,True
1,c00aca446233fa00d665,1,301,2,0,0,True
2,17c344d9503ecb51bb5d,1,291,2,0,0,True
3,20014ad04611f3274009,1,309,2,0,0,True
4,66bbf8c4f7428f69ce0c,1,320,2,0,0,True
5,0ff2b5c6d816b95b01a4,1,303,2,0,0,True
6,f146f42bdfa754707369,1,293,2,0,0,True
7,323d6696869ead83f5f1,1,333,2,0,0,True
8,650f48f37162f577487d,1,312,2,0,0,True
9,bc254e6ae23a935b838e,1,323,2,0,0,True
10,8553ec4e2041fcecbaab,1,329,2,0,0,True
11,ef144cec902fe80b77c1,1,371,2,0,0,True
12,eaced76d9acb111bfa62,1,302,2,0,0,True
13,e78f466face56194019a,1,303,2,0,0,True
14,1ad5c54575e916cf2bb6,1,307,2,0,0,True
15,498e41e95b921a84a380,1,338,2,0,0,True
16,1ef57591ce0e4e7f6cac,1,321,2,0,0,True
17,fc5c3a881968494211ca,1,327,2,0,0,True
18,62133b8b81128b6dd6ca,1,300,2,0,0,True
19,0a5ed1b07cae4ad49565,1,321,2,0,0,True
20,3d104d051b5223ac4171,1,309,2,0,0,True
21,69d079afa02b3a8aec3a,1,335,2,0,0,True
22,94cea25723b2dd19056b,1,339,2,0,0,True
23,3c53dacb9a73296ba2d0,1,349,2,0,0,True
24,7f6a59652a9cea52ad13,1,360,2,0,0,True
25,485287bc6c8a591027c6,1,333,2,0,0,True
26,14632f01d5a147cb4a97,1,325,2,0,0,True
27,359acd4912f7ce5e1e2c,1,329,2,0,0,True
28,aa0ee7a2f9e59d35d335,1,291,2,0,0,True
29,73b7a537890c5f576b80,1,320,2,0,0,True
30,d1ea1660b1f3002559ff,1,308,2,0,0,True
31,30851c1c3198550e536a,1,313,2,0,0,True
32,dfb983aa7f3521f82cfc,1,348,2,0,0,True
33,335bc8e3c0707326be5c,1,363,2,0,0,True
34,8915f18d4ba721f3196b,1,335,2,0,0,True
35,3498fc4940b9f2ec6057,1,310,2,0,0,True
36,caec0d406665938e8785,1,292,2,0,0,True
37,f501491a2239b2847329,1,321,2,0,0,True
38,d39f90f5af31aed7b9c7,1,312,2,0,0,True
39,77eb53f77e2a7a72ed4a,1,340,2,0,0,True
40,30851c1c3198550e536a,2,849,3,1,0.247791,True
41,14632f01d5a147cb4a97,2,4096,3,1,0.178792,True
42,df4c34e9a524c1808789,1,296,2,0,0,True
43,d3340bc69fe3281cf458,1,315,2,0,0,True
44,1ad5c54575e916cf2bb6,2,2594,3,1,0.634917,True
45,12670d5c8c9404d080e6,1,345,2,0,0,True
46,485287bc6c8a591027c6,2,2416,3,1,0.425,True
47,4f5a670734aaf7ba559d,1,322,2,0,0,True
48,0be9b9253c73e80fe722,1,382,2,0,0,True
49,3c3665cb669acf80a98c,1,308,2,0,0,True
50,8914187f508f038bcf95,1,330,2,0,0,True
51,ae33beaf5bcc2d726c68,1,301,2,0,0,True
52,ba73fb5dfce141a65ebd,1,303,2,0,0,True
53,6d663beb797b9a590bbf,1,329,2,0,0,True
54,e8a087c455cf1f1d0026,1,301,2,0,0,True
55,19af76e4b8a473cd28ce,1,307,2,0,0,True
56,4540266f7fbc68008ea0,1,318,2,0,0,True
57,2e3e8506853abeaf0310,1,341,2,0,0,True
58,e4f3540273519005b509,1,313,2,0,0,True
59,b46982b66929e97c4557,1,323,2,0,0,True
60,d9f740c862df729c1503,1,301,2,0,0,True
61,8f08359f20c31f395656,1,323,2,0,0,True
62,449a58a6763ba42440d1,1,337,2,0,0,True
63,cd8ca3cfee6f379423e0,1,333,2,0,0,True
64,f8fbe65faf513762c60e,1,347,2,0,0,True
65,673794bf53b877309135,1,312,2,0,0,True
66,ecba0ad03f1309decf25,1,304,2,0,0,True
67,480727d6d4953e6ef492,1,309,2,0,0,True
68,db67e9d46a6ddf439a22,1,315,2,0,0,True
69,5a754a55371fd7445d7c,1,350,2,0,0,True
70,ebd10accae73ae9e3c2b,1,314,2,0,0,True
71,6670d97f685134797112,1,311,2,0,0,True
72,abd542f3066d3caf3b2f,1,304,2,0,0,True
73,77727e4ca8ff7350c87e,1,304,2,0,0,True
74,f146f42bdfa754707369,2,1592,3,1,2.16175,True
75,d457794b8c05c79bc25d,1,328,2,0,0,True
76,bac99ce248dff8e804a0,1,344,2,0,0,True
77,6544d49e50d0dcf32639,1,350,2,0,0,True
78,abbd9f3c187009239480,1,327,2,0,0,True
79,cd9e305c52cd7615d857,1,319,2,0,0,True
80,4d38ff8dc5c68fed1237,1,326,2,0,0,True
81,485287bc6c8a591027c6,3,4096,4,2,0.42624999999999996,True
82,59d494c94b56b0645bd7,1,315,2,0,0,True
83,02278ff092e8c1a909a6,1,358,2,0,0,True
84,a47f45301744ceda5d86,1,312,2,0,0,True
85,378965b29c7996b1dc38,1,306,2,0,0,True
86,ae337aebe18ec4c1adfe,1,309,2,0,0,True
87,8e21b9bc1cce4ae236d2,1,316,2,0,0,True
88,8f08359f20c31f395656,2,4096,3,1,0.689209,True
89,44994989bf33e530072b,1,293,2,0,0,True
90,4a5d63850b4200cafdcd,1,324,2,0,0,True
91,2ab1fef09eee9010c2b4,1,332,2,0,0,True
92,7f0a68eedceb0e07baed,1,309,2,0,0,True
93,4b25ee2aaf506d0d0e85,1,363,2,0,0,True
94,87311e5a083574252cc2,1,304,2,0,0,True
95,56de33c6c4eec9ddfbe1,1,311,2,0,0,True
96,f806abbf9c61e3180225,1,936,2,0,0,True
97,f2b149e532569e78cb54,1,329,2,0,0,True
98,eef51c05d6d7e0dedefb,1,316,2,0,0,True
99,7063f116221f5ee4042a,1,339,2,0,0,True
100,44994989bf33e530072b,2,829,3,1,0.528625,True
101,0be9b9253c73e80fe722,2,4096,3,1,0.27425,True
102,bece983a5d36d5078f1d,1,306,2,0,0,True
103,4aa447e4ac06fd04da9f,1,311,2,0,0,True
104,359acd4912f7ce5e1e2c,2,1100,3,1,2.936542,True
105,4b25ee2aaf506d0d0e85,2,4096,3,1,1.286667,True
106,6b44a022c3eb6614c5d5,1,307,2,0,0,True
107,7b584a7cb79945a061ac,1,370,2,0,0,True
108,c19fdfb65f7f7cd3b0ff,1,301,2,0,0,True
109,01d8e8e575a268d294b8,1,332,2,0,0,True
110,6e50aa53990974d75adc,1,334,2,0,0,True
111,12670d5c8c9404d080e6,2,4096,3,1,0.095375,True
112,8b097abc53ffc7e1ccc5,1,329,2,0,0,True
113,d3340bc69fe3281cf458,2,1397,3,1,0.273875,True
114,e1cbcc0641730aa93473,1,318,2,0,0,True
115,d1a62175cdaa11985421,1,341,2,0,0,True
116,052737d7029f8bd089c2,1,336,2,0,0,True
117,488d37070d2280f0097a,1,305,2,0,0,True
118,20b24fc60763fb34e24e,1,305,2,0,0,True
119,256542670d29e37c1d49,1,478,2,0,0,True
120,8a4321a26846d90aab39,1,305,2,0,0,True
121,4aa447e4ac06fd04da9f,2,4096,3,1,0.670042,True
122,7d8a67b90f7fe6e729cf,1,309,2,0,0,True
123,a9fa7af7643e059882b7,1,295,2,0,0,True
124,d67ed22513149cefa0c5,1,312,2,0,0,True
125,c62b53f87aadf713aa56,1,320,2,0,0,True
126,7063f116221f5ee4042a,2,4096,3,1,3.103208,True
127,7b6bb1d5e3687fccf032,1,329,2,0,0,True
128,352223bc474ea47c37c4,1,335,2,0,0,False
129,64ffb03f8e25ceb9b117,1,331,2,0,0,False
130,9b7fedfa2595ca09f0f4,1,315,2,0,0,False
131,847a4a6a02482606dd82,1,301,2,0,0,False
