request_id,session_hash,step_number,prefix_tokens,prefix_chain_depth,tool_span_count_before,tool_latency_ms_before,discard
0,27862ed0242bb677548a,1,310,2,0,0,True
1,f06203f79b7ba24b8270,1,313,2,0,0,True
2,5fe63459805a4c4a47a2,1,370,2,0,0,True
3,20154b18901326ff55b5,1,291,2,0,0,True
4,c6c9bf199c16367a4be4,1,306,2,0,0,True
5,3853f0087f002e76bb74,1,299,2,0,0,True
6,4339b35a53b1b9f6d13f,1,345,2,0,0,True
7,7ee9c526288251ea5ab0,1,310,2,0,0,True
8,6a2ad1ec88146fbb7b82,1,304,2,0,0,True
9,a893ba80771b3d6a6229,1,327,2,0,0,True
10,f06203f79b7ba24b8270,2,1988,3,1,0.063166,True
11,55527a7e553af4cc8084,1,386,2,0,0,True
12,af5b48f7fad4bcd433ec,1,311,2,0,0,True
13,5c93053450bf5b256c8c,1,327,2,0,0,True
14,fd46059fce10844d034e,1,304,2,0,0,True
15,cf462579aaf250d3d892,1,323,2,0,0,True
16,90016adf3bf05cd532f1,1,308,2,0,0,True
17,f4fbda1fd41d532e2ad2,1,316,2,0,0,True
18,ffd8c67146e47bc9004c,1,347,2,0,0,True
19,121ea731151c86a2ade4,1,316,2,0,0,True
20,bd333b94c24a0f1fcbc8,1,350,2,0,0,True
21,357ad49b9dae20d6eacb,1,309,2,0,0,True
22,497f7a11c451da3e4251,1,306,2,0,0,True
23,8c2a41b3ca81aa041df8,1,314,2,0,0,True
24,39359c2cfe74242f8ace,1,296,2,0,0,True
25,9802d80e2cbc7ca93941,1,307,2,0,0,True
26,d5f9806fa57db5495561,1,344,2,0,0,True
27,64ea53b66fc254e70a80,1,309,2,0,0,True
28,31865e98c4f08c339c76,1,312,2,0,0,True
29,d248d55deb43a15f32a5,1,305,2,0,0,True
30,af51767a8610b385ce88,1,386,2,0,0,True
31,2c8d1db4966277b058e8,1,370,2,0,0,True
32,a78f05af6c7aff0cc8da,1,356,2,0,0,True
33,2642d4aced636b4dce9a,1,315,2,0,0,True
34,1ddbd729be618cde48ec,1,326,2,0,0,True
35,0e0e480ac5745ac3a4e8,1,349,2,0,0,True
36,b24d1eec3ab73b7a2886,1,303,2,0,0,True
37,70fa231b89a612d26653,1,303,2,0,0,True
38,a52f468412605c311016,1,315,2,0,0,True
39,e71a4f1c27240590ae32,1,371,2,0,0,True
40,97f7a1821202cba9ab87,1,302,2,0,0,True
41,b7e908f0da9c8e188a95,1,335,2,0,0,True
42,65766487de8f78111394,1,350,2,0,0,True
43,5b3e2b9ca440d72a489c,1,293,2,0,0,True
44,301b3818117d6d98d062,1,328,2,0,0,True
45,23ac6f68221b4ee2c340,1,339,2,0,0,True
46,e1e4df7fa367b1c4ddc9,1,305,2,0,0,True
47,47bc7b33881ac6df760c,1,296,2,0,0,True
48,3059de260b8a18d0c5ce,1,329,2,0,0,True
49,3853f0087f002e76bb74,2,4096,3,1,0.290125,True
50,2fa632018183798c42bc,1,300,2,0,0,True
51,5c8a95b9d22c6ee2df85,1,326,2,0,0,True
52,f06203f79b7ba24b8270,3,4096,4,2,1.410291,True
53,9d39b9dffdebfe91c45d,1,328,2,0,0,True
54,f4cad5a57a7f97d61af4,1,342,2,0,0,True
55,33d059e80c9f85ae71b2,1,363,2,0,0,True
56,350c56163b3acf5ecd84,1,319,2,0,0,True
57,8bd7060b4649fce19c1c,1,363,2,0,0,True
58,a37f98854cbaa74e9644,1,314,2,0,0,True
59,a893ba80771b3d6a6229,2,4096,3,1,0.763792,True
60,0451cdf56cf728aec6a6,1,309,2,0,0,True
61,2c8d1db4966277b058e8,2,4096,3,1,1.014208,True
62,d80a5bbcfd0c2920c35a,1,309,2,0,0,True
63,6caf3eb2520ebe895586,1,334,2,0,0,True
64,9699a1a5daa7a90c9202,1,327,2,0,0,True
65,f082e8da2f7e8cd94b34,1,306,2,0,0,True
66,d5502bf9d2ab1e3b02f5,1,321,2,0,0,True
67,20b929887d0ed65c2139,1,361,2,0,0,True
68,0cdbc5bd603f76559fa3,1,376,2,0,0,True
69,104801b2e5808f792bd0,1,311,2,0,0,True
70,a52f468412605c311016,2,4096,3,1,0.511291,True
71,f1a1cc44242320e7ec30,1,321,2,0,0,True
72,a8cbc1088a4288b8f4a6,1,346,2,0,0,True
73,84ba13b229b2ff3e9825,1,301,2,0,0,True
74,b24d1eec3ab73b7a2886,2,4031,3,1,0.088042,True
75,52de24ee99c08eef2ab4,1,307,2,0,0,True
76,121ea731151c86a2ade4,2,2758,3,1,0.551125,True
77,9c62f5783c92d949bdd8,1,302,2,0,0,True
78,5b3e2b9ca440d72a489c,2,829,3,1,0.528625,True
79,6fc6b68437831887deb1,1,296,2,0,0,True
80,3059de260b8a18d0c5ce,2,3544,3,1,5.0395,True
81,120b4601f31a4c5c1ebc,1,349,2,0,0,True
82,15ea0504296a5ab7c162,1,306,2,0,0,True
83,0ab413359e153f1daf2e,1,315,2,0,0,True
84,8c2a41b3ca81aa041df8,2,1850,3,1,0.060792,True
85,8c5e09a16fe9a6b105a4,1,330,2,0,0,True
86,8c2a41b3ca81aa041df8,3,2702,4,2,0.12620900000000002,True
87,8c5e09a16fe9a6b105a4,2,4096,3,1,5.468958,True
88,70fa231b89a612d26653,2,4096,3,1,0.399375,True
89,5a9faf1002d71c929466,1,327,2,0,0,True
90,1af172fb877cc445f532,1,324,2,0,0,True
91,a37f98854cbaa74e9644,2,4096,3,1,1.033542,True
92,0059cd3e218bd2e2ed33,1,308,2,0,0,True
93,0059cd3e218bd2e2ed33,2,3893,3,1,0.7805,True
94,40aa17bad18c0bc268dd,1,303,2,0,0,True
95,5a9faf1002d71c929466,2,2887,3,1,0.269417,True
96,533d7b94b8aeeca710d9,1,310,2,0,0,True
97,14fab5e7ab225d599bf8,1,293,2,0,0,True
98,faf503e21ce6f3aa27b0,1,305,2,0,0,True
99,8b36e39f75ceddda1707,1,316,2,0,0,True
100,8bd7060b4649fce19c1c,2,4096,3,1,0.43875,True
101,b6a91d98c46eb89c8aca,1,328,2,0,0,True
102,1a3826f88fff200db298,1,309,2,0,0,True
103,ef3368af4a81b1df0d70,1,349,2,0,0,True
104,5fe63459805a4c4a47a2,2,4096,3,1,0.160625,True
105,802bfad17fed55a7f8b6,1,300,2,0,0,True
106,b8331d6639e031b1654e,1,319,2,0,0,True
107,af51767a8610b385ce88,2,1393,3,1,0.119958,True
108,55527a7e553af4cc8084,2,1061,3,1,0.359167,True
109,d5502bf9d2ab1e3b02f5,2,1896,3,1,0.109708,True
110,0451cdf56cf728aec6a6,2,3905,3,1,1.067792,True
111,e71a4f1c27240590ae32,2,4096,3,1,0.337458,True
112,e71a4f1c27240590ae32,3,4096,4,2,0.779916,True
113,fd46059fce10844d034e,2,737,3,1,0.225125,True
114,1ddbd729be618cde48ec,2,3075,3,1,0.001458,True
115,64ea53b66fc254e70a80,2,2048,3,1,0.075625,True
116,4c791a10f2b56312113a,1,337,2,0,0,True
117,4de3bce1972d08cec56d,1,346,2,0,0,True
118,e45da07976e8bbeb34d2,1,294,2,0,0,True
119,cf96bb3ea793d4b28c81,1,358,2,0,0,True
120,5c8a95b9d22c6ee2df85,2,4096,3,1,0.882709,True
121,0e0e480ac5745ac3a4e8,2,1065,3,1,1.105042,True
122,ff508e3bf6e8e2e19ee6,1,337,2,0,0,True
123,6caf3eb2520ebe895586,2,4096,3,1,1.225167,True
124,6fc6b68437831887deb1,2,3252,3,1,1.179459,True
125,05d68af51cb3c60754e7,1,303,2,0,0,True
126,90189ada59ca4e31f4e5,1,304,2,0,0,True
127,b8bc0370b454137ad8ec,1,339,2,0,0,True
128,15af136169b2e3583f08,1,318,2,0,0,False
129,a660756f7c62f3a6120a,1,313,2,0,0,False
130,b18f34a151971ce13d0f,1,325,2,0,0,False
131,95f768239dfdd5f8211d,1,291,2,0,0,False
132,533d7b94b8aeeca710d9,2,1797,3,1,1.121334,False
133,c80a3c5f0fb6a4d721b9,1,297,2,0,0,False
134,a660756f7c62f3a6120a,2,785,3,1,0.26125,False
135,e5903d4c1b393f8b6b73,1,318,2,0,0,False
136,e2f1da4ad9d72d546ef0,1,316,2,0,0,False
137,f4cad5a57a7f97d61af4,2,2877,3,1,0.363667,False
138,40a80dcef925a13268ed,1,329,2,0,0,False
139,f9e554ef53e90242c099,1,358,2,0,0,False
140,b24d1eec3ab73b7a2886,3,4096,4,2,0.166708,False
141,a8d0e51f545d9ddaea9e,1,316,2,0,0,False
142,9be07c06a357beeaee67,1,336,2,0,0,False
143,2fa632018183798c42bc,2,3145,3,1,0.496708,False
144,ff508e3bf6e8e2e19ee6,2,2921,3,1,0.347583,False
145,a52f468412605c311016,3,4096,4,2,1.125333,False
146,fd46059fce10844d034e,3,1136,4,2,0.572292,False
147,8130ae54ff22e98b7179,1,412,2,0,0,False
148,95f768239dfdd5f8211d,2,1245,3,1,0.508083,False
149,b8bc0370b454137ad8ec,2,4096,3,1,3.103208,False
150,d80a5bbcfd0c2920c35a,2,1100,3,1,0.495125,False
151,b6a91d98c46eb89c8aca,2,4096,3,1,0.944667,False
152,a8d0e51f545d9ddaea9e,2,4096,3,1,0.170292,False
153,b60af09f178137ff934f,1,328,2,0,0,False
154,bd333b94c24a0f1fcbc8,2,1667,3,1,0.279333,False
155,a78f5ba24369187b155b,1,308,2,0,0,False
156,23ac6f68221b4ee2c340,2,4096,3,1,0.574958,False
157,7ee9c526288251ea5ab0,2,3120,3,1,0.50525,False
158,f4cad5a57a7f97d61af4,3,4096,4,2,0.9222920000000001,False
159,deeb7d2876c8eda01c44,1,308,2,0,0,False
160,40aa17bad18c0bc268dd,2,1020,3,1,0.697084,False
161,b18f34a151971ce13d0f,2,4096,3,1,0.660958,False
162,ec647c263c382bab2d3a,1,296,2,0,0,False
163,52de24ee99c08eef2ab4,2,4096,3,1,0.428084,False
164,817a1ce521a153a830ca,1,307,2,0,0,False
165,8c2a41b3ca81aa041df8,4,4096,5,3,0.217417,False
166,31865e98c4f08c339c76,2,3205,3,1,0.001208,False
167,0ab413359e153f1daf2e,2,2760,3,1,0.096125,False
168,52de24ee99c08eef2ab4,3,4096,4,2,0.864375,False
169,9699a1a5daa7a90c9202,2,4096,3,1,1.273167,False
170,ddf1991d9a1df9644e9b,1,318,2,0,0,False
171,2a66369b4d61dd52a8c4,1,318,2,0,0,False
172,b031d68d434da360cc3b,1,336,2,0,0,False
173,f1a1cc44242320e7ec30,2,4096,3,1,0.565333,False
174,faf503e21ce6f3aa27b0,2,720,3,1,0.35025,False
175,d40dcca64f85de04e716,1,325,2,0,0,False
176,a90640bf5d5eec81cf4b,1,308,2,0,0,False
177,15af136169b2e3583f08,2,4096,3,1,0.60675,False
178,2fe175c218110a9cb9a0,1,307,2,0,0,False
179,6077c2b55b974fd837d9,1,312,2,0,0,False
180,ddf1991d9a1df9644e9b,2,4096,3,1,1.358041,False
181,e9fe8aa773cd1517a0f2,1,309,2,0,0,False
182,ffd8c67146e47bc9004c,2,3297,3,1,0.090375,False
183,f1a1cc44242320e7ec30,3,4096,4,2,1.092291,False
184,120b4601f31a4c5c1ebc,2,4096,3,1,2.077584,False
185,65766487de8f78111394,2,4096,3,1,0.107625,False
186,a78f5ba24369187b155b,2,2779,3,1,0.304042,False
187,a78f05af6c7aff0cc8da,2,1540,3,1,0.054583,False
188,ae145d26b46b9f6aec00,1,447,2,0,0,False
189,9d648ccdafe4589b0e1a,1,310,2,0,0,False
190,b8331d6639e031b1654e,2,3696,3,1,1.319208,False
191,e2f1da4ad9d72d546ef0,2,1560,3,1,0.268375,False
192,2fe175c218110a9cb9a0,2,3168,3,1,0.428292,False
193,a8cbc1088a4288b8f4a6,2,2159,3,1,0.163708,False
194,cf462579aaf250d3d892,2,4096,3,1,0.8325,False
195,301b3818117d6d98d062,2,4096,3,1,0.654542,False
196,4b33eb9bcd1c76408d8f,1,336,2,0,0,False
197,33d059e80c9f85ae71b2,2,4096,3,1,1.286667,False
198,e4bb2a3f1627d6c786ab,1,319,2,0,0,False
199,350c56163b3acf5ecd84,2,3422,3,1,1.231875,False
200,d3a9a3be191e75a09d45,1,361,2,0,0,False
201,c6c9bf199c16367a4be4,2,3220,3,1,0.506167,False
202,87273e38c26ccc9fdf2c,1,380,2,0,0,False
203,311767a0ffdd4a967758,1,321,2,0,0,False
204,5fcc07612e99723281fc,1,348,2,0,0,False
205,af51767a8610b385ce88,3,3087,4,2,0.632166,False
206,8c2a41b3ca81aa041df8,5,4096,6,4,0.285792,False
207,a893ba80771b3d6a6229,3,4096,4,2,0.765125,False
208,d3a9a3be191e75a09d45,2,949,3,1,0.466833,False
209,d8373cf6c2be93992580,1,370,2,0,0,False
210,d478a07d68c6825be504,1,309,2,0,0,False
211,bea8acecdaf6eb10f050,1,339,2,0,0,False
212,84ba13b229b2ff3e9825,2,4096,3,1,1.581959,False
213,b18f34a151971ce13d0f,3,4096,4,2,0.7620830000000001,False
214,2a66369b4d61dd52a8c4,2,3746,3,1,0.79225,False
215,b8331d6639e031b1654e,3,4096,4,2,2.495458,False
216,b18f34a151971ce13d0f,4,4096,5,3,0.8525830000000001,False
217,bd29bc65177a31538413,1,299,2,0,0,False
218,90189ada59ca4e31f4e5,2,3344,3,1,0.336708,False
219,1f5cf9db8feebded91e6,1,302,2,0,0,False
220,ae145d26b46b9f6aec00,2,1858,3,1,0.145875,False
221,42a54697fc807032af2a,1,316,2,0,0,False
222,1a3826f88fff200db298,2,846,3,1,0.276833,False
223,0cdbc5bd603f76559fa3,2,1216,3,1,0.042959,False
224,8e46fb9b73782a5b5533,1,342,2,0,0,False
225,a78f05af6c7aff0cc8da,3,3059,4,2,0.503375,False
226,fe535555fb0b8a351a7e,1,322,2,0,0,False
227,d5502bf9d2ab1e3b02f5,3,4096,4,2,0.175125,False
228,47bc7b33881ac6df760c,2,4096,3,1,0.4715,False
229,90016adf3bf05cd532f1,2,1608,3,1,0.475625,False
230,f9e554ef53e90242c099,2,4096,3,1,0.147542,False
231,9cab7726c16095937570,1,315,2,0,0,False
232,39359c2cfe74242f8ace,2,2724,3,1,0.580917,False
233,c94181981347d56bf8b8,1,363,2,0,0,False
234,d704eabe3837845c8433,1,327,2,0,0,False
235,65766487de8f78111394,3,4096,4,2,0.205625,False
236,40aa17bad18c0bc268dd,3,2872,4,2,1.868625,False
237,c3fe3e05e01f657830a0,1,328,2,0,0,False
238,8b36e39f75ceddda1707,2,833,3,1,0.589833,False
239,4b33eb9bcd1c76408d8f,2,2186,3,1,0.316875,False
240,1c12a34a351d90a98c0b,1,312,2,0,0,False
241,2bd544128417a1930efa,1,356,2,0,0,False
242,ec6109d113464859eef0,1,359,2,0,0,False
243,e1e4df7fa367b1c4ddc9,2,3446,3,1,1.753625,False
244,a78f05af6c7aff0cc8da,4,3543,5,3,0.8394170000000001,False
245,20b929887d0ed65c2139,2,3512,3,1,0.431042,False
246,a0cae8aa3e0793ffb00a,1,312,2,0,0,False
247,f8ce9874e38e9f167253,1,342,2,0,0,False
248,0ae32962ac6a185e7c37,1,303,2,0,0,False
249,311767a0ffdd4a967758,2,2870,3,1,0.530541,False
250,1f5cf9db8feebded91e6,2,849,3,1,1.778583,False
251,bea8acecdaf6eb10f050,2,4096,3,1,2.526167,False
252,9cab7726c16095937570,2,3120,3,1,0.440375,False
253,d704eabe3837845c8433,2,4096,3,1,0.824917,False
254,6077c2b55b974fd837d9,2,1548,3,1,0.287583,False
255,64143bc7b20c4409a88e,1,330,2,0,0,False
256,a78f05af6c7aff0cc8da,5,4096,6,4,1.2643330000000002,False
257,0ab413359e153f1daf2e,3,4096,4,2,0.144542,False
258,31865e98c4f08c339c76,3,3824,4,1,0.001208,False
259,d5502bf9d2ab1e3b02f5,4,4096,5,3,0.234209,False
260,09cbc7d67b89f198a874,1,344,2,0,0,False
261,a94b20fa5e52a6a84ef2,1,312,2,0,0,False
262,357ad49b9dae20d6eacb,2,1086,3,1,0.337625,False
263,db5b5d99620d3bb21ec1,1,306,2,0,0,False
264,9d648ccdafe4589b0e1a,2,869,3,1,0.039083,False
265,7ee9c526288251ea5ab0,3,4096,4,2,0.5065,False
266,bc451e5d98c40ef9cab0,1,291,2,0,0,False
267,15ea0504296a5ab7c162,2,3518,3,1,0.47225,False
268,1c12a34a351d90a98c0b,2,2603,3,1,0.9715,False
269,0ab413359e153f1daf2e,4,4096,5,3,0.205876,False
270,0ab413359e153f1daf2e,5,4096,6,4,0.206917,False
271,a004f827b31872231519,1,340,2,0,0,False
272,2508f971950fa711d3ec,1,356,2,0,0,False
273,d704eabe3837845c8433,3,4096,4,2,1.38475,False
274,ea4809bd4cd72618c9c9,1,296,2,0,0,False
275,802bfad17fed55a7f8b6,2,3082,3,1,0.520542,False
276,cf96bb3ea793d4b28c81,2,4096,3,1,2.047417,False
277,24690c2ffca709ac8339,1,295,2,0,0,False
278,bd29bc65177a31538413,2,706,3,1,0.251583,False
279,a94b20fa5e52a6a84ef2,2,988,3,1,0.068042,False
280,c1d39d9c727be45cd2e6,1,297,2,0,0,False
281,497f7a11c451da3e4251,2,4096,3,1,0.965542,False
282,64ea53b66fc254e70a80,3,2579,4,2,0.141292,False
283,a90640bf5d5eec81cf4b,2,4096,3,1,0.104208,False
284,64ea53b66fc254e70a80,4,3027,5,3,0.197459,False
285,6a2ad1ec88146fbb7b82,2,4096,3,1,1.095875,False
286,f9e554ef53e90242c099,3,4096,4,2,0.235209,False
287,db5b5d99620d3bb21ec1,2,2388,3,1,0.561542,False
288,32f9c2f5910a7ca7602a,1,315,2,0,0,False
289,af5b48f7fad4bcd433ec,2,3583,3,1,3.38975,False
290,d704eabe3837845c8433,4,4096,5,3,1.97925,False
291,fe535555fb0b8a351a7e,2,4096,3,1,0.997167,False
292,c1d39d9c727be45cd2e6,2,700,3,1,0.282291,False
293,7c35443d78415abab78f,1,302,2,0,0,False
294,0ae32962ac6a185e7c37,2,2649,3,1,0.07075,False
295,4b0921ec1a97a74bb7fa,1,291,2,0,0,False
296,16ee1ba2b212b80ee60a,1,301,2,0,0,False
297,a94b20fa5e52a6a84ef2,3,4096,4,2,2.631167,False
298,f53fa1581d7face2abb4,1,436,2,0,0,False
299,84ba13b229b2ff3e9825,3,4096,4,2,3.234126,False
300,2c8d1db4966277b058e8,3,4096,4,2,1.479208,False
301,ed4e1633ed4c2b626b72,1,338,2,0,0,False
302,4c791a10f2b56312113a,2,1378,3,1,0.649459,False
303,1c8e3506bde1f6c91b76,1,317,2,0,0,False
304,d5502bf9d2ab1e3b02f5,5,4096,6,4,0.293209,False
305,8c96fa572e626e9012a6,1,321,2,0,0,False
306,a90640bf5d5eec81cf4b,3,4096,4,2,0.296999,False
307,c80a3c5f0fb6a4d721b9,2,3667,3,1,0.449166,False
308,5fe63459805a4c4a47a2,3,4096,4,2,0.252833,False
309,5ba65aab79a9bbca59c2,1,316,2,0,0,False
310,a52f468412605c311016,4,4096,5,3,1.854541,False
311,f92b9610ce0b68eea9a8,1,297,2,0,0,False
312,9c62f5783c92d949bdd8,2,4096,3,1,0.764541,False
313,f1a1cc44242320e7ec30,4,4096,5,3,1.516958,False
314,0c67a07095ed723ffe8f,1,478,2,0,0,False
315,ef3368af4a81b1df0d70,2,3061,3,1,0.065083,False
316,0c67a07095ed723ffe8f,2,1465,3,1,0.184875,False
317,09cbc7d67b89f198a874,2,1278,3,1,0.78225,False
318,e8c015171dc774b39890,1,317,2,0,0,False
319,c80cc89acb8f81983bea,1,311,2,0,0,False
320,7be50e02560ebda9370f,1,300,2,0,0,False
321,d40dcca64f85de04e716,2,4096,3,1,0.178792,False
322,2bd544128417a1930efa,2,4096,3,1,0.082125,False
323,40a80dcef925a13268ed,2,1140,3,1,0.239291,False
324,1c8e3506bde1f6c91b76,2,4096,3,1,0.920125,False
325,b7f6a1b10f0690872696,1,356,2,0,0,False
326,14fab5e7ab225d599bf8,2,4096,3,1,3.538959,False
327,2c8d1db4966277b058e8,4,4096,5,3,2.2614170000000002,False
328,a747cd177022c635c997,1,348,2,0,0,False
329,b8331d6639e031b1654e,4,4096,5,3,3.39775,False
330,5fe63459805a4c4a47a2,4,4096,5,3,0.30749899999999997,False
331,0aa6a1c440d84aa4f667,1,305,2,0,0,False
332,bc451e5d98c40ef9cab0,2,4096,3,1,0.448542,False
333,f9e554ef53e90242c099,4,4096,5,3,0.315167,False
334,ea4809bd4cd72618c9c9,2,853,3,1,0.492709,False
335,64ea53b66fc254e70a80,5,3425,6,4,0.260501,False
336,a004f827b31872231519,2,4096,3,1,1.492167,False
337,2508f971950fa711d3ec,2,3773,3,1,0.6395,False
338,23ac6f68221b4ee2c340,3,4096,4,2,0.860416,False
339,a52f468412605c311016,5,4096,6,4,2.289457,False
340,20b929887d0ed65c2139,3,4096,4,2,0.432334,False
341,87273e38c26ccc9fdf2c,2,1235,3,1,0.98025,False
342,ed4e1633ed4c2b626b72,2,4096,3,1,1.80425,False
343,9d648ccdafe4589b0e1a,3,1434,4,2,0.489666,False
344,562ab01a2d73fbe5b4b1,1,294,2,0,0,False
345,14fab5e7ab225d599bf8,3,4096,4,2,1316.875959,False
346,f8ce9874e38e9f167253,2,1376,3,1,0.295208,False
347,bef06a74cc88a90f31c1,1,354,2,0,0,False
348,4de3bce1972d08cec56d,2,2302,3,1,0.065291,False
349,8c2a41b3ca81aa041df8,6,4096,7,5,0.399709,False
350,fd7f2b0f1e59512a60bc,1,307,2,0,0,False
351,0b49a8aa815df8f712f6,1,329,2,0,0,False
352,bccb100c0af5c7ac76f4,1,325,2,0,0,False
353,d5f9806fa57db5495561,2,2881,3,1,0.086875,False
354,f53fa1581d7face2abb4,2,2572,3,1,0.09725,False
355,20154b18901326ff55b5,2,4020,3,1,0.91025,False
356,a0cae8aa3e0793ffb00a,2,4096,3,1,0.610209,False
357,d40dcca64f85de04e716,3,4096,4,2,0.276042,False
358,e9fe8aa773cd1517a0f2,2,1065,3,1,0.053958,False
359,8c2a41b3ca81aa041df8,7,4096,8,6,0.731751,False
360,bea8acecdaf6eb10f050,3,4096,4,2,3.3769590000000003,False
361,2bd544128417a1930efa,3,4096,4,2,0.547875,False
362,149603dbf5a3fc7fc2e5,1,329,2,0,0,False
363,d5502bf9d2ab1e3b02f5,6,4096,7,5,0.339459,False
