experiment_id,experiment,evidence_type,code_commit,source_dataset,source_url,source_license,source_file_sha256,source_raw_text_retained,model,hardware,mode,policy,K,J,rep,repetitions,seed,workload_trace_hash,request_count_total,warmup_request_count,cache_capacity,metric_scope,status,request_count,observed_reuse_hit_rate,mean_reuse_coverage,saved_prefill_tokens_total,raw_candidate_fanout_p95,evaluated_candidate_fanout_p95,dispatcher_index_bytes
20260715_agenttrace_frozen_load_only_rep0,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,"pagarsky/agent-trace: mbpp_1_7B_20260403T211347Z (200-session dense subsample, seed 20260720)",https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,84df2532cab6e68c7f8fa38f2ad9603aba663a9e493fb7151df2992011845b60,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,load_only,inf,8,0,10,20260715,75553bb15d56f3ca798dddd45579c39b9fc7f07099e268b1dab3d8690e7059c7,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.29948797948072653,113407.0,0.0,0.0,384
20260715_agenttrace_frozen_sketch_k8_rep0,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,"pagarsky/agent-trace: mbpp_1_7B_20260403T211347Z (200-session dense subsample, seed 20260720)",https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,84df2532cab6e68c7f8fa38f2ad9603aba663a9e493fb7151df2992011845b60,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,sketch_k8,8,8,0,10,20260715,75553bb15d56f3ca798dddd45579c39b9fc7f07099e268b1dab3d8690e7059c7,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.2900606534064364,99893.0,4.0,4.0,2432
20260715_agenttrace_frozen_sketch_k16_rep0,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,"pagarsky/agent-trace: mbpp_1_7B_20260403T211347Z (200-session dense subsample, seed 20260720)",https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,84df2532cab6e68c7f8fa38f2ad9603aba663a9e493fb7151df2992011845b60,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,sketch_k16,16,8,0,10,20260715,75553bb15d56f3ca798dddd45579c39b9fc7f07099e268b1dab3d8690e7059c7,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.30875213997234496,128706.0,4.0,4.0,4480
20260715_agenttrace_frozen_exact_rep0,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,"pagarsky/agent-trace: mbpp_1_7B_20260403T211347Z (200-session dense subsample, seed 20260720)",https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,84df2532cab6e68c7f8fa38f2ad9603aba663a9e493fb7151df2992011845b60,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,exact,inf,8,0,10,20260715,75553bb15d56f3ca798dddd45579c39b9fc7f07099e268b1dab3d8690e7059c7,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.32311685797904255,147352.0,4.0,4.0,10176
20260715_agenttrace_closed_loop_load_only_rep0,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,"pagarsky/agent-trace: mbpp_1_7B_20260403T211347Z (200-session dense subsample, seed 20260720)",https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,84df2532cab6e68c7f8fa38f2ad9603aba663a9e493fb7151df2992011845b60,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,closed_loop,load_only,inf,8,0,10,20260715,75553bb15d56f3ca798dddd45579c39b9fc7f07099e268b1dab3d8690e7059c7,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.34412412459692154,180398.0,0.0,0.0,384
20260715_agenttrace_closed_loop_sketch_k8_rep0,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,"pagarsky/agent-trace: mbpp_1_7B_20260403T211347Z (200-session dense subsample, seed 20260720)",https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,84df2532cab6e68c7f8fa38f2ad9603aba663a9e493fb7151df2992011845b60,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,closed_loop,sketch_k8,8,8,0,10,20260715,75553bb15d56f3ca798dddd45579c39b9fc7f07099e268b1dab3d8690e7059c7,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.29736113280964005,111354.0,1.0,1.0,896
20260715_agenttrace_closed_loop_sketch_k16_rep0,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,"pagarsky/agent-trace: mbpp_1_7B_20260403T211347Z (200-session dense subsample, seed 20260720)",https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,84df2532cab6e68c7f8fa38f2ad9603aba663a9e493fb7151df2992011845b60,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,closed_loop,sketch_k16,16,8,0,10,20260715,75553bb15d56f3ca798dddd45579c39b9fc7f07099e268b1dab3d8690e7059c7,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.31192175302408004,134220.0,1.0,1.0,1408
20260715_agenttrace_closed_loop_exact_rep0,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,"pagarsky/agent-trace: mbpp_1_7B_20260403T211347Z (200-session dense subsample, seed 20260720)",https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,84df2532cab6e68c7f8fa38f2ad9603aba663a9e493fb7151df2992011845b60,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,closed_loop,exact,inf,8,0,10,20260715,75553bb15d56f3ca798dddd45579c39b9fc7f07099e268b1dab3d8690e7059c7,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.3946035859780121,258996.0,1.0,1.0,8576
20260715_agenttrace_frozen_load_only_rep1,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,"pagarsky/agent-trace: mbpp_1_7B_20260403T211347Z (200-session dense subsample, seed 20260720)",https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,84df2532cab6e68c7f8fa38f2ad9603aba663a9e493fb7151df2992011845b60,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,load_only,inf,8,1,10,20260715,c98c4d8ecd50e886858c89d86cebbd1f8f7895b65d422fe7f6b4c1a4600cd9fd,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.28840017155032754,107514.0,0.0,0.0,384
20260715_agenttrace_frozen_sketch_k8_rep1,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,"pagarsky/agent-trace: mbpp_1_7B_20260403T211347Z (200-session dense subsample, seed 20260720)",https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,84df2532cab6e68c7f8fa38f2ad9603aba663a9e493fb7151df2992011845b60,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,sketch_k8,8,8,1,10,20260715,c98c4d8ecd50e886858c89d86cebbd1f8f7895b65d422fe7f6b4c1a4600cd9fd,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.28319886186021953,100564.0,4.0,4.0,2432
