request_id,session_hash,step_number,prefix_tokens,prefix_chain_depth,tool_span_count_before,tool_latency_ms_before,discard
0,6a2ad1ec88146fbb7b82,1,304,2,0,0,True
1,90189ada59ca4e31f4e5,1,304,2,0,0,True
2,5fe63459805a4c4a47a2,1,370,2,0,0,True
3,4c791a10f2b56312113a,1,337,2,0,0,True
4,a37f98854cbaa74e9644,1,314,2,0,0,True
5,2bd544128417a1930efa,1,356,2,0,0,True
6,ff508e3bf6e8e2e19ee6,1,337,2,0,0,True
7,14fab5e7ab225d599bf8,1,293,2,0,0,True
8,0aa6a1c440d84aa4f667,1,305,2,0,0,True
9,a747cd177022c635c997,1,348,2,0,0,True
10,ffe94ed5cf84d5463bef,1,389,2,0,0,True
11,149603dbf5a3fc7fc2e5,1,329,2,0,0,True
12,bd333b94c24a0f1fcbc8,1,350,2,0,0,True
13,9cab7726c16095937570,1,315,2,0,0,True
14,09cbc7d67b89f198a874,1,344,2,0,0,True
15,1f5cf9db8feebded91e6,1,302,2,0,0,True
16,90189ada59ca4e31f4e5,2,3344,3,1,0.336708,True
17,b031d68d434da360cc3b,1,336,2,0,0,True
18,4b33eb9bcd1c76408d8f,1,336,2,0,0,True
19,5c8a95b9d22c6ee2df85,1,326,2,0,0,True
20,40a80dcef925a13268ed,1,329,2,0,0,True
21,350c56163b3acf5ecd84,1,319,2,0,0,True
22,350c56163b3acf5ecd84,2,3422,3,1,1.231875,True
23,c80cc89acb8f81983bea,1,311,2,0,0,True
24,e55785406e51cc72bc54,1,304,2,0,0,True
25,4b33eb9bcd1c76408d8f,2,2186,3,1,0.316875,True
26,87273e38c26ccc9fdf2c,1,380,2,0,0,True
27,5b3e2b9ca440d72a489c,1,293,2,0,0,True
28,c6c9bf199c16367a4be4,1,306,2,0,0,True
29,97f7a1821202cba9ab87,1,302,2,0,0,True
30,5fcc07612e99723281fc,1,348,2,0,0,True
31,f8ce9874e38e9f167253,1,342,2,0,0,True
32,90016adf3bf05cd532f1,1,308,2,0,0,True
33,ec647c263c382bab2d3a,1,296,2,0,0,True
34,301b3818117d6d98d062,1,328,2,0,0,True
35,a8814efa3ff06c7af98a,1,291,2,0,0,True
36,af51767a8610b385ce88,1,386,2,0,0,True
37,0059cd3e218bd2e2ed33,1,308,2,0,0,True
38,87273e38c26ccc9fdf2c,2,1235,3,1,0.98025,True
39,0ae32962ac6a185e7c37,1,303,2,0,0,True
40,bea8acecdaf6eb10f050,1,339,2,0,0,True
41,f92b9610ce0b68eea9a8,1,297,2,0,0,True
42,311767a0ffdd4a967758,1,321,2,0,0,True
43,c94181981347d56bf8b8,1,363,2,0,0,True
44,b6a91d98c46eb89c8aca,1,328,2,0,0,True
45,e8c015171dc774b39890,1,317,2,0,0,True
46,3059de260b8a18d0c5ce,1,329,2,0,0,True
47,39359c2cfe74242f8ace,1,296,2,0,0,True
48,bea8acecdaf6eb10f050,2,4096,3,1,2.526167,True
49,8b36e39f75ceddda1707,1,316,2,0,0,True
