experiment_id,experiment,evidence_type,code_commit,source_dataset,source_url,source_license,source_file_sha256,source_raw_text_retained,model,hardware,mode,policy,K,J,rep,repetitions,seed,workload_trace_hash,request_count_total,warmup_request_count,cache_capacity,metric_scope,status,request_count,observed_reuse_hit_rate,mean_reuse_coverage,saved_prefill_tokens_total,raw_candidate_fanout_p95,evaluated_candidate_fanout_p95,dispatcher_index_bytes
20260715_agenttrace_frozen_load_only_rep0,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,pagarsky/agent-trace: mbpp_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,43f3b82675c0d680cc4d2d1e9689da421a70597eb45ade928eb0f77c800652fc,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,load_only,inf,8,0,10,20260715,3dc9f7efccba294070b86a25d6bec2973fc70460eb0218f63efe0623a502e884,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.5333161011593726,103240.0,0.0,0.0,384
20260715_agenttrace_frozen_sketch_k8_rep0,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,pagarsky/agent-trace: mbpp_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,43f3b82675c0d680cc4d2d1e9689da421a70597eb45ade928eb0f77c800652fc,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,sketch_k8,8,8,0,10,20260715,3dc9f7efccba294070b86a25d6bec2973fc70460eb0218f63efe0623a502e884,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.532478064494222,102703.0,4.0,4.0,2432
20260715_agenttrace_frozen_sketch_k16_rep0,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,pagarsky/agent-trace: mbpp_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,43f3b82675c0d680cc4d2d1e9689da421a70597eb45ade928eb0f77c800652fc,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,sketch_k16,16,8,0,10,20260715,3dc9f7efccba294070b86a25d6bec2973fc70460eb0218f63efe0623a502e884,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.5333650252737524,103766.0,4.0,4.0,4480
20260715_agenttrace_frozen_exact_rep0,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,pagarsky/agent-trace: mbpp_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,43f3b82675c0d680cc4d2d1e9689da421a70597eb45ade928eb0f77c800652fc,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,exact,inf,8,0,10,20260715,3dc9f7efccba294070b86a25d6bec2973fc70460eb0218f63efe0623a502e884,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.5369486773764983,106485.0,4.0,4.0,9472
20260715_agenttrace_closed_loop_load_only_rep0,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,pagarsky/agent-trace: mbpp_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,43f3b82675c0d680cc4d2d1e9689da421a70597eb45ade928eb0f77c800652fc,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,closed_loop,load_only,inf,8,0,10,20260715,3dc9f7efccba294070b86a25d6bec2973fc70460eb0218f63efe0623a502e884,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.5359265258364911,105324.0,0.0,0.0,384
20260715_agenttrace_closed_loop_sketch_k8_rep0,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,pagarsky/agent-trace: mbpp_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,43f3b82675c0d680cc4d2d1e9689da421a70597eb45ade928eb0f77c800652fc,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,closed_loop,sketch_k8,8,8,0,10,20260715,3dc9f7efccba294070b86a25d6bec2973fc70460eb0218f63efe0623a502e884,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.529732040729757,98495.0,1.0,1.0,896
20260715_agenttrace_closed_loop_sketch_k16_rep0,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,pagarsky/agent-trace: mbpp_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,43f3b82675c0d680cc4d2d1e9689da421a70597eb45ade928eb0f77c800652fc,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,closed_loop,sketch_k16,16,8,0,10,20260715,3dc9f7efccba294070b86a25d6bec2973fc70460eb0218f63efe0623a502e884,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.5299621305323778,98823.0,1.0,1.0,1408
20260715_agenttrace_closed_loop_exact_rep0,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,pagarsky/agent-trace: mbpp_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,43f3b82675c0d680cc4d2d1e9689da421a70597eb45ade928eb0f77c800652fc,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,closed_loop,exact,inf,8,0,10,20260715,3dc9f7efccba294070b86a25d6bec2973fc70460eb0218f63efe0623a502e884,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.5371555030124643,107175.0,1.0,1.0,8576
20260715_agenttrace_frozen_load_only_rep1,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,pagarsky/agent-trace: mbpp_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,43f3b82675c0d680cc4d2d1e9689da421a70597eb45ade928eb0f77c800652fc,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,load_only,inf,8,1,10,20260715,38865aec285adca56eb6e7d11110df2b0a0808b24f87dd5996b1abec6486dc33,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.540901329276961,100509.0,0.0,0.0,384
20260715_agenttrace_frozen_sketch_k8_rep1,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,pagarsky/agent-trace: mbpp_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,43f3b82675c0d680cc4d2d1e9689da421a70597eb45ade928eb0f77c800652fc,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,sketch_k8,8,8,1,10,20260715,38865aec285adca56eb6e7d11110df2b0a0808b24f87dd5996b1abec6486dc33,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.539872057537747,98954.0,4.0,4.0,2432
20260715_agenttrace_frozen_sketch_k16_rep1,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,pagarsky/agent-trace: mbpp_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,43f3b82675c0d680cc4d2d1e9689da421a70597eb45ade928eb0f77c800652fc,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,sketch_k16,16,8,1,10,20260715,38865aec285adca56eb6e7d11110df2b0a0808b24f87dd5996b1abec6486dc33,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.5417584095806729,101356.0,4.0,4.0,4480
