request_id,session_hash,step_number,prefix_tokens,prefix_chain_depth,tool_span_count_before,tool_latency_ms_before,discard
0,242c26d9fa41546d17a6,1,327,2,0,0,True
1,d0fdc3e0e35941aa4f93,1,335,2,0,0,True
2,0457f1e86cb26a9f2bdb,1,308,2,0,0,True
3,d1a62175cdaa11985421,1,341,2,0,0,True
4,d1ea1660b1f3002559ff,1,308,2,0,0,True
5,87311e5a083574252cc2,1,304,2,0,0,True
6,3c12d7cefdb4c94832ea,1,305,2,0,0,True
7,72b9747d81cd2a542962,1,312,2,0,0,True
8,edb2ae8fad29de599afc,1,306,2,0,0,True
9,4a2f7331a588f324ddd2,1,309,2,0,0,True
10,0d70e73c4f817dd88f9d,1,301,2,0,0,True
11,9f1199319e89cf96e26e,1,305,2,0,0,True
12,10eeb7a505e1ae352be2,1,296,2,0,0,True
13,bb8506632b9f17412b88,1,310,2,0,0,True
14,875f6e23590f819869bd,1,309,2,0,0,True
15,6b44a022c3eb6614c5d5,1,307,2,0,0,True
16,3e32134b1370dec06345,1,329,2,0,0,True
17,021a58612fca91adce67,1,318,2,0,0,True
18,64ffb03f8e25ceb9b117,1,331,2,0,0,True
19,b7347169f12f8a5f7958,1,306,2,0,0,True
20,fed7e127ffc35c10b0aa,1,356,2,0,0,True
21,bc848e2491466d23cb4f,1,309,2,0,0,True
22,e29e184e1b0fe4a10a21,1,295,2,0,0,True
23,2ab1fef09eee9010c2b4,1,332,2,0,0,True
24,23bc7f59708ce99af6b6,1,346,2,0,0,True
25,11a3ac10a20af525ac49,1,295,2,0,0,True
26,db67e9d46a6ddf439a22,1,315,2,0,0,True
27,bece983a5d36d5078f1d,1,306,2,0,0,True
28,1100c2ef2378e04ee11a,1,350,2,0,0,True
29,e4ac6f062cd8a1ccc32f,1,412,2,0,0,True
30,8f8c4903a18b9503b420,1,307,2,0,0,True
31,b572d51f4e376057db7f,1,395,2,0,0,True
32,27eb68e466380bade2bb,1,328,2,0,0,True
33,77eb53f77e2a7a72ed4a,1,340,2,0,0,True
34,fda2456daee8f7d0ea96,1,316,2,0,0,True
35,ea01cd51be93cc8d1a6f,1,291,2,0,0,True
36,18101df2684bdd4fa804,1,326,2,0,0,True
37,5a32dd5cd68e0b4a6431,1,324,2,0,0,True
38,cf20a16fc3763976dc1f,1,333,2,0,0,True
39,69fca05b75a7b181ab1c,1,305,2,0,0,True
40,d59095d84e4fa26712b7,1,308,2,0,0,True
41,3f867637d6c446339fb8,1,298,2,0,0,True
42,92e514b23ccac3ef9b58,1,325,2,0,0,True
43,cd9e305c52cd7615d857,1,319,2,0,0,True
44,df9d077f8dce168ce70b,1,322,2,0,0,True
45,724dc36cb1bf10eba3ce,1,300,2,0,0,True
46,f62293b70966c785e015,1,328,2,0,0,True
47,d4f82f3ed175e5046ab8,1,316,2,0,0,True
48,1f6778d4dd8931bbd954,1,417,2,0,0,True
49,352223bc474ea47c37c4,1,335,2,0,0,True
50,875f6e23590f819869bd,2,846,3,1,0.276833,True
51,55a7313cbae415e153ca,1,315,2,0,0,True
52,aaeb21bd1a1a9ddc2f46,1,313,2,0,0,True
53,95860ebb4cd458c117f4,1,370,2,0,0,True
54,3ecc961d1f6c104e393d,1,350,2,0,0,True
55,1f388784bacfeb72048e,1,309,2,0,0,True
56,562364c64e166ee3d6d9,1,386,2,0,0,True
57,0a5ed1b07cae4ad49565,1,321,2,0,0,True
58,ea01cd51be93cc8d1a6f,2,593,3,1,0.493333,True
59,0309dfc2e3a5c0c932ff,1,308,2,0,0,True
60,73c16a70934c2b585ee6,1,324,2,0,0,True
61,b7ed057d8acacfa92b23,1,336,2,0,0,True
62,4b25ee2aaf506d0d0e85,1,363,2,0,0,True
63,1ef57591ce0e4e7f6cac,1,321,2,0,0,True
64,e8a087c455cf1f1d0026,1,301,2,0,0,True
65,e12e0f4a548d52816b7f,1,307,2,0,0,True
66,3f867637d6c446339fb8,2,1706,3,1,0.000959,True
67,02278ff092e8c1a909a6,1,358,2,0,0,True
68,19fd5b6ef3d55cd1c20d,1,384,2,0,0,True
69,197a9897735000a0d215,1,308,2,0,0,True
70,f6626164344d9a88d50d,1,322,2,0,0,True
71,8b7d7b80507a3e318a6b,1,328,2,0,0,True
72,b6e672a66c2f93651f61,1,336,2,0,0,True
73,2fb41f103a64461b42bc,1,297,2,0,0,True
74,6daba4d1f8bd750b23da,1,312,2,0,0,True
75,4412d1c51a38f0483e46,1,370,2,0,0,True
76,8502dd6013b7fdebac59,1,337,2,0,0,True
77,2bf740970fdf7d7a9a77,1,317,2,0,0,True
78,e1cbcc0641730aa93473,1,318,2,0,0,True
79,92843ff564fccac7fede,1,380,2,0,0,True
80,a290faecfaa97ede95e6,1,317,2,0,0,True
81,dc461fda80bbee21dd3a,1,297,2,0,0,True
82,d5ea21ba59becc386f40,1,311,2,0,0,True
83,4412d1c51a38f0483e46,2,1234,3,1,0.712584,True
84,3d104d051b5223ac4171,1,309,2,0,0,True
85,d39f90f5af31aed7b9c7,1,312,2,0,0,True
86,1269b4f47c4697fd82ad,1,316,2,0,0,True
87,56d76192c46b0be2a4e0,1,338,2,0,0,True
88,45794bc0bc6477116de3,1,316,2,0,0,True
89,9f1199319e89cf96e26e,2,3486,3,1,0.367916,True
90,8914187f508f038bcf95,1,330,2,0,0,True
91,d20b85c646c91257cdd9,1,349,2,0,0,True
92,f5931532fa07c82236a0,1,302,2,0,0,True
93,ada47db1a813920a63fc,1,295,2,0,0,True
94,8f08359f20c31f395656,1,323,2,0,0,True
95,e843407484f535fb5cb1,1,338,2,0,0,True
96,3498fc4940b9f2ec6057,1,310,2,0,0,True
97,e12f75a6a11a85708c75,1,295,2,0,0,True
98,7ebd6539cb5309883366,1,389,2,0,0,True
99,12aa5b91a6ef7c4df3ff,1,342,2,0,0,True
