experiment,evidence_type,mode,policy,admission,K,n_reps,status,mean_reuse_coverage_mean,mean_reuse_coverage_ci95_low,mean_reuse_coverage_ci95_high,saved_prefill_tokens_total_mean,saved_prefill_tokens_total_ci95_low,saved_prefill_tokens_total_ci95_high,incremental_saved_prefill_tokens_total_mean,incremental_saved_prefill_tokens_total_ci95_low,incremental_saved_prefill_tokens_total_ci95_high,dispatcher_index_bytes_mean,dispatcher_index_bytes_ci95_low,dispatcher_index_bytes_ci95_high,selected_affinity_rate_mean,selected_affinity_rate_ci95_low,selected_affinity_rate_ci95_high,incremental_saved_vs_exact_ratio_mean,incremental_saved_vs_exact_ratio_ci95_low,incremental_saved_vs_exact_ratio_ci95_high
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,exact,exact,inf,10,Current,0.409363564581992,0.4032209671796744,0.41501853599826943,220718.0,211738.0,229676.1,122414.0,114110.1,131483.6,16896.0,16896.0,16896.0,0.1390625,0.13255208333333335,0.14505208333333333,1.0,1.0,1.0
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,load_only,none,inf,10,Current,0.3601165733911652,0.3546196695828531,0.36610687466568675,149462.7,141522.1,156699.7,51158.7,43643.1,58394.3,384.0,384.0,384.0,0.0,0.0,0.0,0.4175686133349473,0.3577633161725655,0.4659510623986837
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,coverage_first,128,10,Current,0.409363564581992,0.40303133781388567,0.4152841186896536,220718.0,212206.2,229323.8,122414.0,114007.6,131416.1,16896.0,16896.0,16896.0,0.1390625,0.1328125,0.14505208333333333,1.0,1.0,1.0
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,coverage_first,16,10,Current,0.3996678348733346,0.39314562648036205,0.40527822925221113,207517.3,198769.0,216420.7,109213.3,101063.4,118198.0,2560.0,2560.0,2560.0,0.0890625,0.08307291666666666,0.09609375,0.8914210066342555,0.8655557021509199,0.9138982060857596
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,coverage_first,2,10,Current,0.381523578845188,0.37605755452617146,0.3868056301717246,180379.7,172893.6,186705.1,82075.7,74511.2,88640.8,768.0,768.0,768.0,0.018489583333333334,0.01484375,0.02265625,0.6715441142378725,0.6300515187278739,0.7103378892372137
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,coverage_first,32,10,Current,0.4076531275073366,0.4013282591092353,0.41348577521437674,218384.0,209316.2,227299.9,120080.0,111228.1,129035.2,4608.0,4608.0,4608.0,0.128125,0.12161458333333333,0.134375,0.9805527785254918,0.9708383491201068,0.9896127193705089
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,coverage_first,4,10,Current,0.3863669411927969,0.38036224894446996,0.39209708279175404,187780.2,180487.3,195067.2,89476.2,82252.8,96313.1,1024.0,1024.0,1024.0,0.031510416666666666,0.026302083333333334,0.036458333333333336,0.7320669696223367,0.6939019194906692,0.7700853065196581
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,coverage_first,64,10,Current,0.409363564581992,0.40342594328622855,0.4154204634763056,220718.0,211606.1,229902.5,122414.0,113758.5,131096.1,8704.0,8704.0,8704.0,0.1390625,0.1328125,0.1453125,1.0,1.0,1.0
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,coverage_first,8,10,Current,0.39247855059487446,0.3855389330515222,0.3991202998914321,196857.2,188184.6,206532.4,98553.2,90273.9,108088.4,1536.0,1536.0,1536.0,0.057291666666666664,0.05130208333333333,0.06354166666666666,0.8029010488369323,0.7750513668922691,0.8286580556343546
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lfu,128,10,Current,0.409363564581992,0.4029689549299886,0.41495021915051733,220718.0,212237.0,229816.6,122414.0,114105.6,130874.4,16896.0,16896.0,16896.0,0.1390625,0.13229166666666667,0.14557291666666666,1.0,1.0,1.0
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lfu,16,10,Current,0.3742842305698977,0.36932987786954935,0.3788015821175725,169102.2,162689.0,175829.3,70798.2,64265.9,77393.2,2560.0,2560.0,2560.0,0.013541666666666667,0.00859375,0.018489583333333334,0.5791544496856156,0.5419039593588444,0.6149524022202384
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lfu,2,10,Current,0.3768543720279699,0.37096268300317875,0.38194240486548264,173114.5,166507.6,179518.3,74810.5,68264.3,81629.4,768.0,768.0,768.0,0.0,0.0,0.0,0.6109766026131472,0.5808707908749224,0.6457171224365166
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lfu,32,10,Current,0.3755472476926727,0.3686354777813604,0.3812843168101364,171091.6,164324.7,177859.7,72787.6,66382.5,79370.9,4608.0,4608.0,4608.0,0.029427083333333333,0.02265625,0.03697916666666667,0.5939990643273262,0.5593726176051299,0.6251372119013577
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lfu,4,10,Current,0.37644212989399767,0.3704148482778927,0.38188232615784,172463.9,165239.7,178754.9,74159.9,67737.2,80818.3,1024.0,1024.0,1024.0,0.0007812499999999999,0.0,0.0015624999999999999,0.6053020822240923,0.5750523552800436,0.6386153375215303
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lfu,64,10,Current,0.38278655527920696,0.3764657957940169,0.38855278048737724,181910.6,172605.8,190326.3,83606.6,75169.8,92411.1,8704.0,8704.0,8704.0,0.06666666666666667,0.058854166666666666,0.07421875,0.6808339228925884,0.6348619893231977,0.7250494440877804
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lfu,8,10,Current,0.37610424046996316,0.3703132063709608,0.3806943207274282,171905.2,165543.7,178206.6,73601.2,67390.4,79752.2,1536.0,1536.0,1536.0,0.0049479166666666664,0.00234375,0.008333333333333333,0.6020210796923826,0.5692400410478481,0.640272480382369
