request_id,session_hash,step_number,prefix_tokens,prefix_chain_depth,tool_span_count_before,tool_latency_ms_before,discard
0,c1ea8271b1162f38b2ea,1,296,2,0,0,True
1,bca5e82a2acaf4957662,1,302,2,0,0,True
2,9403c56ac49ef7065039,1,305,2,0,0,True
3,c939f9cb419dc864a78f,1,289,2,0,0,True
4,a37dd6d75add69f6cab7,1,300,2,0,0,True
5,2661f5042091585cbdbf,1,309,2,0,0,True
6,ab45ba91f42476a1c172,1,298,2,0,0,True
7,5d258bc3be1bbac74c88,1,301,2,0,0,True
8,2408153fb5940aa1feb8,1,291,2,0,0,True
9,4bc5cb6c9448591c8bdc,1,300,2,0,0,True
10,c323ee33d450722c9520,1,308,2,0,0,True
11,a855978add45b6bb4319,1,294,2,0,0,True
12,4ea421697f5d2984480c,1,294,2,0,0,True
13,4aeb57c645ea3ad595f9,1,295,2,0,0,True
14,e4116f4658c2251427e7,1,302,2,0,0,True
15,12a61a9050c7c9a45be6,1,301,2,0,0,True
16,847d6aaacb18080f28a1,1,297,2,0,0,True
17,546629680207c644ea0b,1,291,2,0,0,True
18,befefaf2907326fc088d,1,288,2,0,0,True
19,65fe57fbdb59f99a183c,1,298,2,0,0,True
20,087a2e371c9da317303f,1,309,2,0,0,True
21,75255037aed0fec90ba1,1,304,2,0,0,True
22,6940b43a0b7cac709ace,1,297,2,0,0,True
23,f341351595d5cf7c697e,1,302,2,0,0,True
24,d9241bf68e3ee69f02cd,1,304,2,0,0,True
25,7e2ac51a2e487e2e42f4,1,296,2,0,0,True
26,5d258bc3be1bbac74c88,2,2024,3,1,18.846709,True
27,939012287a85f9cb94ac,1,294,2,0,0,True
28,ff626bf40a35a2108c20,1,301,2,0,0,True
29,3d71ef12c2ebc9472e76,1,313,2,0,0,True
30,f854499d9619caf6c6eb,1,289,2,0,0,True
31,c7d273135d0a6b01d427,1,290,2,0,0,True
32,dddb9606de111a83e1d2,1,325,2,0,0,True
33,a37dd6d75add69f6cab7,2,993,3,1,14.510125,True
34,5d8182f047e7ad79afce,1,285,2,0,0,True
35,350de7d097c9a632ced9,1,287,2,0,0,True
36,dde9c9d41b8d821589d1,1,289,2,0,0,True
37,470f22c8e4faa900be83,1,305,2,0,0,True
38,5a500c7fac22daaea2e9,1,296,2,0,0,True
39,ae3c34f6cce25db8a590,1,302,2,0,0,True
40,2661f5042091585cbdbf,2,1101,3,1,14.862458,True
41,13bc56525292be58356c,1,295,2,0,0,True
42,0276f38a025acc6385e1,1,315,2,0,0,True
43,7a0b83554fbb7b082000,1,301,2,0,0,True
44,395aee3799c692c16284,1,292,2,0,0,True
45,d0a570520771562240ca,1,311,2,0,0,True
46,2a8396acdfebd7a346a7,1,294,2,0,0,True
47,ec992828b9da445e821d,1,309,2,0,0,True
