request_id,session_hash,step_number,prefix_tokens,prefix_chain_depth,tool_span_count_before,tool_latency_ms_before,discard
0,c0cb44080162eb352d93,1,294,2,0,0,True
1,f16db081b90390c6eb9e,1,292,2,0,0,True
2,7ce3588057e03f8cf84c,1,304,2,0,0,True
3,7f52065ddc80b7eca2bf,1,303,2,0,0,True
4,9d547d725a037113db69,1,303,2,0,0,True
5,0276f38a025acc6385e1,1,315,2,0,0,True
6,10c089e0038414a7cfbc,1,302,2,0,0,True
7,6d16c91c037f9a0f64be,1,324,2,0,0,True
8,f9f976163adc8977a583,1,300,2,0,0,True
9,012dd63903edde348cbb,1,297,2,0,0,True
10,fcea4cd1cf623d29fddb,1,298,2,0,0,True
11,29ff784ea5cb76e720a0,1,298,2,0,0,True
12,db910abb8056f80cec03,1,292,2,0,0,True
13,1637c18ff3f5657a61be,1,306,2,0,0,True
14,c5c57541d8115d97a059,1,302,2,0,0,True
15,47215a0640c821c85597,1,303,2,0,0,True
16,bb4686e90284ded3aad0,1,310,2,0,0,True
17,9e61485654d3a5592286,1,308,2,0,0,True
18,91fb1d552a4dc309664d,1,298,2,0,0,True
19,9403c56ac49ef7065039,1,305,2,0,0,True
20,48ed61ce55b3a3f12a4d,1,303,2,0,0,True
21,4b9f72cffe09db36fd5f,1,296,2,0,0,True
22,ff626bf40a35a2108c20,1,301,2,0,0,True
23,c323ee33d450722c9520,1,308,2,0,0,True
24,34c4f5302d0ab901b888,1,298,2,0,0,True
25,b074c112fdfea2cf2387,1,315,2,0,0,True
26,0276f38a025acc6385e1,2,1036,3,1,11.210916,True
27,5ec00024c982dc8afea5,1,294,2,0,0,True
28,ca04d7d2418652914b6c,1,298,2,0,0,True
29,1637c18ff3f5657a61be,2,944,3,1,12.339958,True
30,548bbdae4ff3d4931a24,1,294,2,0,0,True
31,bcc9292baf1a87e16a8b,1,295,2,0,0,True
32,9d547d725a037113db69,2,2558,3,1,13.903,True
33,627ac4657cdf26d2b829,1,293,2,0,0,True
34,86023f504d7b56fe4a74,1,292,2,0,0,True
35,546629680207c644ea0b,1,291,2,0,0,True
36,ccc27c0629fdee81abf6,1,296,2,0,0,True
37,9e61485654d3a5592286,2,776,3,1,0.104167,True
38,8bbeb8ab108e06e7fe6e,1,300,2,0,0,True
39,c1ea8271b1162f38b2ea,1,296,2,0,0,True
40,49f315450eb541d0ef6f,1,308,2,0,0,True
41,627ac4657cdf26d2b829,2,655,3,1,12.280708,True
42,9635ce9c08509898cbee,1,298,2,0,0,True
43,ee3f4a57d8fc2782cd21,1,301,2,0,0,True
44,939012287a85f9cb94ac,1,294,2,0,0,True
45,f44be9d92d2b997cd5bb,1,298,2,0,0,True
46,3e68fc554b86c80ebcc8,1,289,2,0,0,True
47,5a500c7fac22daaea2e9,1,296,2,0,0,True
48,8d49f0948f20afde6d49,1,314,2,0,0,True
49,b074c112fdfea2cf2387,2,1083,3,1,11.431125,True
50,c4bc44abbc0bb0990c47,1,291,2,0,0,True
51,0926a1975559ff6b80c9,1,298,2,0,0,True
52,13e9ca87c358f515592d,1,345,2,0,0,True
53,5ec00024c982dc8afea5,2,1432,3,1,10.345792,True
54,91fb1d552a4dc309664d,2,1393,3,1,0.097334,True
55,ec992828b9da445e821d,1,309,2,0,0,True
56,6940b43a0b7cac709ace,1,297,2,0,0,True
57,ed3723bc92320403bb3a,1,302,2,0,0,True
58,8788c61ee591b172a655,1,288,2,0,0,True
59,9a2b7ecc4e76b621b62d,1,306,2,0,0,True
60,469b79d618beaa815276,1,297,2,0,0,True
61,befefaf2907326fc088d,1,288,2,0,0,True
62,588a94c4ef39e309ab60,1,295,2,0,0,True
63,ec992828b9da445e821d,2,2320,3,1,0.092708,True
64,47215a0640c821c85597,2,1204,3,1,0.189083,True
65,36fa17f54e388591b9fd,1,296,2,0,0,True
66,3946cb6e6bd21c6ba170,1,300,2,0,0,True
67,548bbdae4ff3d4931a24,2,1122,3,1,14.928542,True
68,5a44fd5ac15e97f71b86,1,298,2,0,0,True
69,d0a570520771562240ca,1,311,2,0,0,True
70,1578fd7703ecf72f84de,1,305,2,0,0,True
71,d22b91a9c81f5fe0fafa,1,292,2,0,0,True
72,24941eddd9bbaf038d5e,1,303,2,0,0,True
73,e7a2f0db3bc4f24270bc,1,309,2,0,0,True
74,eded5b13b01306b168f2,1,298,2,0,0,True
75,e7a2f0db3bc4f24270bc,2,2789,3,1,13.217292,True
76,388cb360832f89a28b80,1,302,2,0,0,True
77,173f152a4444f668f558,1,297,2,0,0,True
78,e4116f4658c2251427e7,1,302,2,0,0,True
79,85ca7da8fc642245c64f,1,301,2,0,0,True
80,8d17c829bca260d29f39,1,301,2,0,0,True
81,d7791d89ddd756aa957d,1,300,2,0,0,True
82,07cddc8120a2880cc4a2,1,288,2,0,0,True
83,a0ddc09efe11c738f07d,1,296,2,0,0,True
84,bd2c85e633e0382ed7bb,1,306,2,0,0,True
85,7a0b83554fbb7b082000,1,301,2,0,0,True
86,33ee2296db9f23631ff3,1,306,2,0,0,True
87,49f315450eb541d0ef6f,2,895,3,1,0.189417,True
88,698912a0991512bdde8b,1,298,2,0,0,True
89,9c12fc351daa3ed3ad8c,1,298,2,0,0,True
90,388cb360832f89a28b80,2,1330,3,1,12.691334,True
91,bcc9292baf1a87e16a8b,2,1533,3,1,15.542417,True
92,9b8a8cae8423c64a0940,1,300,2,0,0,True
93,563d7ffe327e2a11a704,1,306,2,0,0,True
94,a0ddc09efe11c738f07d,2,807,3,1,12.866125,True
95,73bd823b2f06b3ba4ccf,1,336,2,0,0,True
96,befefaf2907326fc088d,2,931,3,1,8.107541,True
97,bca5e82a2acaf4957662,1,302,2,0,0,True
98,94f35dc8f0066629593c,1,291,2,0,0,True
99,8788c61ee591b172a655,2,997,3,1,12.73375,True
100,0858387a84b615badb38,1,293,2,0,0,True
101,7e5df46ac9ca8962193a,1,299,2,0,0,True
102,c4a81512aec89b8094be,1,300,2,0,0,True
103,1ade6d85cf000c49caf3,1,304,2,0,0,True
104,d95270e254bd3ff3e5b5,1,290,2,0,0,True
105,7ce3588057e03f8cf84c,2,1173,3,1,13.574292,True
106,7e5df46ac9ca8962193a,2,2710,3,1,18.511459,True
107,921a9ed94530436f2510,1,315,2,0,0,True
108,9381c60b4194a5be0c99,1,302,2,0,0,True
109,568f696d7806b406fd91,1,298,2,0,0,True
110,d7df31ceddbd777b7d28,1,315,2,0,0,True
111,ec992828b9da445e821d,3,3139,4,2,0.228458,True
112,a7ea31b2ee87a09f8623,1,299,2,0,0,True
