experiment,evidence_type,mode,policy,admission,K,n_reps,status,mean_reuse_coverage_mean,mean_reuse_coverage_ci95_low,mean_reuse_coverage_ci95_high,saved_prefill_tokens_total_mean,saved_prefill_tokens_total_ci95_low,saved_prefill_tokens_total_ci95_high,incremental_saved_prefill_tokens_total_mean,incremental_saved_prefill_tokens_total_ci95_low,incremental_saved_prefill_tokens_total_ci95_high,dispatcher_index_bytes_mean,dispatcher_index_bytes_ci95_low,dispatcher_index_bytes_ci95_high,selected_affinity_rate_mean,selected_affinity_rate_ci95_low,selected_affinity_rate_ci95_high,incremental_saved_vs_exact_ratio_mean,incremental_saved_vs_exact_ratio_ci95_low,incremental_saved_vs_exact_ratio_ci95_high
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,exact,exact,inf,10,Current,0.8043909634739707,0.7967607474806216,0.8108101696996024,98948.4,98580.6,99389.6,644.4,282.2,1068.7,16896.0,16896.0,16896.0,0.0007812499999999999,0.00026041666666666666,0.0015624999999999999,1.0,1.0,1.0
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,load_only,none,inf,10,Current,0.8040627189732074,0.7962246381825462,0.8101897864898676,98834.5,98531.6,99205.8,530.5,228.5,885.0,384.0,384.0,384.0,0.0,0.0,0.0,1.1897651841007442,0.6723120584116666,1.7802603186122912
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,coverage_first,128,10,Current,0.8043909634739707,0.7972735330296022,0.8105572571790153,98948.4,98587.8,99368.9,644.4,262.3,1078.1,16896.0,16896.0,16896.0,0.0007812499999999999,0.0,0.0015624999999999999,1.0,1.0,1.0
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,coverage_first,16,10,Current,0.8043909634739707,0.7971231089489496,0.8106727032204701,98948.4,98568.0,99367.9,644.4,265.5,1087.5,2560.0,2560.0,2560.0,0.0007812499999999999,0.0,0.0015624999999999999,1.0,1.0,1.0
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,coverage_first,2,10,Current,0.8043909634739707,0.7978145660141805,0.8110615540262768,98948.4,98569.6,99373.4,644.4,278.7,1072.0,768.0,768.0,768.0,0.0005208333333333333,0.0,0.0013020833333333333,1.0,1.0,1.0
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,coverage_first,32,10,Current,0.8043909634739707,0.7970722196465396,0.8108766505107357,98948.4,98568.3,99363.1,644.4,271.7,1064.3,4608.0,4608.0,4608.0,0.0007812499999999999,0.00026041666666666666,0.0015624999999999999,1.0,1.0,1.0
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,coverage_first,4,10,Current,0.8043909634739707,0.7971606412108118,0.8106695495304685,98948.4,98576.0,99369.3,644.4,252.7,1062.6,1024.0,1024.0,1024.0,0.0005208333333333333,0.0,0.0010416666666666667,1.0,1.0,1.0
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,coverage_first,64,10,Current,0.8043909634739707,0.7973520998520225,0.8106028841379298,98948.4,98575.2,99374.3,644.4,268.5,1056.0,8704.0,8704.0,8704.0,0.0007812499999999999,0.0,0.0015624999999999999,1.0,1.0,1.0
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,coverage_first,8,10,Current,0.8043909634739707,0.7966223478278837,0.810965810051723,98948.4,98598.6,99356.4,644.4,274.2,1076.5,1536.0,1536.0,1536.0,0.0007812499999999999,0.00026041666666666666,0.0015624999999999999,1.0,1.0,1.0
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lfu,128,10,Current,0.8043909634739707,0.7970831140540249,0.8108409379160928,98948.4,98581.9,99345.2,644.4,276.5,1036.5,16896.0,16896.0,16896.0,0.0007812499999999999,0.0,0.0015624999999999999,1.0,1.0,1.0
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lfu,16,10,Current,0.8043909634739707,0.7969702222352344,0.8111746518805801,98948.4,98568.4,99367.9,644.4,278.9,1075.8,2560.0,2560.0,2560.0,0.0007812499999999999,0.0,0.0015624999999999999,1.0,1.0,1.0
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lfu,2,10,Current,0.8042316810109854,0.7967935222384418,0.8108530831012877,98846.5,98524.9,99218.5,542.5,210.0,932.4,768.0,768.0,768.0,0.0,0.0,0.0,0.9313804713804714,0.7941414141414141,1.0
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lfu,32,10,Current,0.8043909634739707,0.7968203522307893,0.8106806499734666,98948.4,98570.1,99352.1,644.4,278.9,1072.4,4608.0,4608.0,4608.0,0.0007812499999999999,0.0,0.0015624999999999999,1.0,1.0,1.0
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lfu,4,10,Current,0.8043909634739707,0.7965679307388314,0.8106742747733071,98948.4,98570.7,99354.6,644.4,272.7,1066.2,1024.0,1024.0,1024.0,0.0005208333333333333,0.0,0.0013020833333333333,1.0,1.0,1.0
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lfu,64,10,Current,0.8043909634739707,0.7965156251737397,0.811203117670558,98948.4,98590.0,99356.9,644.4,288.8,1040.8,8704.0,8704.0,8704.0,0.0007812499999999999,0.0,0.0015624999999999999,1.0,1.0,1.0
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lfu,8,10,Current,0.8043909634739707,0.7966906833114616,0.8105966026279067,98948.4,98595.1,99384.6,644.4,286.0,1046.1,1536.0,1536.0,1536.0,0.0005208333333333333,0.0,0.0013020833333333333,1.0,1.0,1.0
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lru,128,10,Current,0.8043909634739707,0.7971070564320988,0.8106013278707453,98948.4,98589.0,99395.4,644.4,283.7,1063.2,16896.0,16896.0,16896.0,0.0007812499999999999,0.0,0.0015624999999999999,1.0,1.0,1.0
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lru,16,10,Current,0.8042316810109854,0.7964522927208212,0.8107275763898845,98846.5,98527.8,99218.0,542.5,225.6,945.8,2560.0,2560.0,2560.0,0.0,0.0,0.0,0.9313804713804714,0.7941414141414141,1.0
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lru,2,10,Current,0.8042316810109854,0.7963851595248589,0.8106836819000603,98846.5,98526.7,99223.9,542.5,225.3,909.0,768.0,768.0,768.0,0.0,0.0,0.0,0.9313804713804714,0.7941414141414141,1.0
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lru,32,10,Current,0.8042316810109854,0.7968813096423331,0.8104912338697641,98846.5,98530.6,99225.5,542.5,210.2,922.8,4608.0,4608.0,4608.0,0.0,0.0,0.0,0.9313804713804714,0.7941414141414141,1.0
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lru,4,10,Current,0.8042316810109854,0.7971044672042089,0.8106468742218845,98846.5,98530.8,99261.9,542.5,225.0,944.2,1024.0,1024.0,1024.0,0.0,0.0,0.0,0.9313804713804714,0.7941414141414141,1.0
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lru,64,10,Current,0.8042316810109854,0.7967630671791094,0.8108793466988553,98846.5,98525.4,99232.9,542.5,229.3,935.1,8704.0,8704.0,8704.0,0.0,0.0,0.0,0.9313804713804714,0.7941414141414141,1.0
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lru,8,10,Current,0.8042316810109854,0.7964728487273066,0.8105470747456591,98846.5,98517.2,99228.8,542.5,218.2,916.0,1536.0,1536.0,1536.0,0.0,0.0,0.0,0.9313804713804714,0.7941414141414141,1.0
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,oracle_future_value,128,10,UpperBoundOnly,0.8043909634739707,0.796975843389718,0.8106395323213721,98948.4,98587.1,99366.1,644.4,268.4,1086.1,16896.0,16896.0,16896.0,0.0007812499999999999,0.0,0.0015624999999999999,1.0,1.0,1.0
