request_id,session_hash,step_number,prefix_tokens,prefix_chain_depth,tool_span_count_before,tool_latency_ms_before,discard
0,52dd95c7a9acc473b22b,1,322,2,0,0,True
1,323d9e22f708cddea4c7,1,361,2,0,0,True
2,4938d677895f86c4bdd0,1,290,2,0,0,True
3,ed26575f78a43ad0afaf,1,377,2,0,0,True
4,0d3b46072297e52cf6b3,1,272,2,0,0,True
5,32b96bfa61e9777d7e5a,1,313,2,0,0,True
6,0ea15bd927159d361242,1,271,2,0,0,True
7,57cb6116956c4cfc0018,1,278,2,0,0,True
8,58355c04fbb88ad0fca2,1,336,2,0,0,True
9,3adc1fd478154bf4cb23,1,261,2,0,0,True
10,e36765c13dd7971f40c9,1,281,2,0,0,True
11,9c471e3b4ea11062af66,1,270,2,0,0,True
12,3de13eb740180388752a,1,275,2,0,0,True
13,b1d2f8a9ab7ad0bc27aa,1,693,2,0,0,True
14,447e776bc584cec4283c,1,274,2,0,0,True
15,b4261479dad6f094d64a,1,298,2,0,0,True
16,919899522e08f519c628,1,265,2,0,0,True
17,1f5dcd6db94cfeeeb48b,1,268,2,0,0,True
18,a7e7590a0a134cdac312,1,265,2,0,0,True
19,5b0eb5106afaa4535c56,1,270,2,0,0,True
20,b4261479dad6f094d64a,2,584,3,0,0,True
21,15a5bec68a76a9700ba1,1,292,2,0,0,True
22,baa0e95b9a7fa481c8b3,1,259,2,0,0,True
23,11c17d3c552167897425,1,285,2,0,0,True
24,6229cac4e18d3e6b7ae9,1,463,2,0,0,True
25,1806f0963c36bd274e9d,1,272,2,0,0,True
26,e36765c13dd7971f40c9,2,920,3,0,0,True
27,72283416ffb08fa3c42c,1,268,2,0,0,True
28,10932c4a6bde3e5fc6aa,1,261,2,0,0,True
29,6229cac4e18d3e6b7ae9,2,1372,3,0,0,True
30,9dbd852b501239c5edb9,1,277,2,0,0,True
31,478bce3209c08a4da7de,1,345,2,0,0,True
32,fc880162e30f0d48ab59,1,261,2,0,0,True
33,77b0c6415ce10dad97bf,1,270,2,0,0,True
34,baa0e95b9a7fa481c8b3,2,409,3,0,0,True
35,afbca946c4f8040e360f,1,278,2,0,0,True
36,044855fcb3ce872209ba,1,736,2,0,0,True
37,ea4afcdb25fbee777674,1,272,2,0,0,True
38,5f51f5a2b9c21ba58a6c,1,608,2,0,0,True
39,246a20326b36ff886520,1,276,2,0,0,True
40,f020ee7909a18efa6dd5,1,377,2,0,0,True
41,c493a4399601504a6842,1,475,2,0,0,True
42,900224c7cc5d015168ce,1,287,2,0,0,True
43,65e3f65ba231fd6b4f09,1,284,2,0,0,True
44,f63256d2d88002a7d791,1,629,2,0,0,True
45,21f4751d3d3e8fface36,1,268,2,0,0,True
46,a083bcab78748aab391e,1,304,2,0,0,True
47,32b96bfa61e9777d7e5a,2,1197,3,0,0,True
48,78fefb5ef90a79b6d636,1,292,2,0,0,True
49,f169e6122c479895b833,1,299,2,0,0,True
50,2404f39ef6c2a7b0ec14,1,406,2,0,0,True
51,2754a2ee60275318fb95,1,344,2,0,0,True
52,b70474e51adf7dc993a9,1,424,2,0,0,True
53,c689772a48829f9325c0,1,280,2,0,0,True
54,e217b4fbf7e7fa25c4f0,1,274,2,0,0,True
55,a083bcab78748aab391e,2,1000,3,0,0,True
56,37f577fa91cde43719cc,1,287,2,0,0,True
57,67ef9ccaed549cb0c9af,1,295,2,0,0,True
58,91f308aa6bccca6fb629,1,281,2,0,0,True
59,ea891ba5811c2daa6379,1,323,2,0,0,True
60,759a399ee421b39f1af8,1,1575,2,0,0,True
61,b7f01352a57c004372ba,1,369,2,0,0,True
62,b70474e51adf7dc993a9,2,1030,3,0,0,True
63,f1fd548aa34e1bc033a6,1,267,2,0,0,True
64,900224c7cc5d015168ce,2,645,3,0,0,True
65,2c7658edf379e1552d61,1,278,2,0,0,True
66,d1ec2d8613c320c97216,1,381,2,0,0,True
67,4d2d66d0e288cd6e9393,1,822,2,0,0,True
68,1e17bb33f6e37af41cc9,1,278,2,0,0,True
69,bb3eaaf796337514a5a9,1,294,2,0,0,True
70,1ca55c2f47972b4a8a0d,1,769,2,0,0,True
71,69b58641f955927ad89a,1,275,2,0,0,True
72,a6a116d1c5844e5866ef,1,261,2,0,0,True
73,0ea15bd927159d361242,2,665,3,0,0,True
74,833cf23a2367ae0a02fd,1,350,2,0,0,True
75,a6a116d1c5844e5866ef,2,355,3,0,0,True
76,b46fb4cc607a20c86a12,1,372,2,0,0,True
77,82947f44767daf023559,1,260,2,0,0,True
78,82947f44767daf023559,2,477,3,0,0,True
79,3de13eb740180388752a,2,308,3,0,0,True
80,e36765c13dd7971f40c9,3,987,4,0,0,True
81,0bb869f429511897d386,1,265,2,0,0,True
82,6473488d294e42c110b9,1,258,2,0,0,True
83,1191af346cf98d4d2d53,1,314,2,0,0,True
84,e36765c13dd7971f40c9,4,1793,5,0,0,True
85,78fefb5ef90a79b6d636,2,790,3,0,0,True
86,9d9bf9f2890509fc814d,1,304,2,0,0,True
87,8d96b08b702224ed926e,1,401,2,0,0,True
88,955fdfd61086b825f036,1,262,2,0,0,True
89,9d9bf9f2890509fc814d,2,676,3,0,0,True
90,fc80503266b1fd681672,1,286,2,0,0,True
91,37f577fa91cde43719cc,2,457,3,0,0,True
92,ea891ba5811c2daa6379,2,606,3,0,0,True
93,99ff4f1f1fd2fda3291c,1,304,2,0,0,True
94,8465978a499056d9ba07,1,282,2,0,0,True
95,ad329f0e759ba03b5dd7,1,343,2,0,0,True
96,ea4afcdb25fbee777674,2,613,3,0,0,True
97,c0561e6087a8ff098861,1,278,2,0,0,True
98,db6f53a1f7c60bb54d40,1,286,2,0,0,True
99,1ca55c2f47972b4a8a0d,2,787,3,0,0,True
100,d3991270a10a0dd74509,1,317,2,0,0,True
101,a31a343c9c1177751118,1,390,2,0,0,True
102,ed1143afdaffe32ebe1d,1,280,2,0,0,True
103,4938d677895f86c4bdd0,2,663,3,0,0,True
104,c79ffd54ad42d8bad63e,1,258,2,0,0,True
105,e217b4fbf7e7fa25c4f0,2,589,3,0,0,True
106,e217b4fbf7e7fa25c4f0,3,944,4,0,0,True
107,f63256d2d88002a7d791,2,712,3,0,0,True
108,16f2125e9da9c2ccc44f,1,300,2,0,0,True
109,1ca413047c695b8bbf33,1,279,2,0,0,True
110,15a5bec68a76a9700ba1,2,846,3,0,0,True
111,8d96b08b702224ed926e,2,633,3,0,0,True
112,ed1143afdaffe32ebe1d,2,599,3,0,0,True
113,2663ea7946a3e1a7d894,1,264,2,0,0,True
114,759a399ee421b39f1af8,2,1658,3,0,0,True
115,43d69f303d18851eb044,1,359,2,0,0,True
116,ef8c2f760dde357d0c93,1,346,2,0,0,True
117,7e6806e14c8e8a739282,1,351,2,0,0,True
118,faded217ee3787a137ff,1,267,2,0,0,True
119,323d9e22f708cddea4c7,2,1141,3,0,0,True
120,aa9d9cb388a7f1842146,1,257,2,0,0,True
121,cd512e8eba091e53bab1,1,266,2,0,0,True
122,4cf5854890769494dd5c,1,377,2,0,0,True
123,323d9e22f708cddea4c7,3,1817,4,0,0,True
124,f216e2c6311868a1b184,1,298,2,0,0,True
125,2754a2ee60275318fb95,2,701,3,0,0,True
126,3adc1fd478154bf4cb23,2,836,3,0,0,True
127,c493a4399601504a6842,2,921,3,0,0,True
128,007a3b50204a03fa5700,1,256,2,0,0,False
129,478bce3209c08a4da7de,2,463,3,0,0,False
130,f7d0135a67ede38ae59e,1,271,2,0,0,False
131,fb0a26164fd6b9e530f2,1,372,2,0,0,False
132,7b2b7db10510c6efacc4,1,258,2,0,0,False
133,f7d0135a67ede38ae59e,2,931,3,0,0,False
