experiment_id,experiment,evidence_type,code_commit,source_dataset,source_url,source_license,source_file_sha256,source_raw_text_retained,model,hardware,mode,policy,K,J,rep,repetitions,seed,workload_trace_hash,request_count_total,warmup_request_count,cache_capacity,metric_scope,status,request_count,observed_reuse_hit_rate,mean_reuse_coverage,saved_prefill_tokens_total,raw_candidate_fanout_p95,evaluated_candidate_fanout_p95,dispatcher_index_bytes
20260715_agenttrace_frozen_load_only_rep0,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,"anon8231489123/ShareGPT_Vicuna_unfiltered: V3 cleaned split (200-session dense subsample, min 3 turns, seed 20260721)",https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,c6a1c39d759f2931c895ad421ebbb66cfa85a04a6d10e1c2b16f204502b58e5f,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,load_only,inf,8,0,10,20260715,f1ae5fe4263dae6900eb44d12dd1343b739e3ffa9442a1a5c193505cc0f9e30a,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.4582042694878725,102084.0,0.0,0.0,384
20260715_agenttrace_frozen_sketch_k8_rep0,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,"anon8231489123/ShareGPT_Vicuna_unfiltered: V3 cleaned split (200-session dense subsample, min 3 turns, seed 20260721)",https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,c6a1c39d759f2931c895ad421ebbb66cfa85a04a6d10e1c2b16f204502b58e5f,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,sketch_k8,8,8,0,10,20260715,f1ae5fe4263dae6900eb44d12dd1343b739e3ffa9442a1a5c193505cc0f9e30a,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.45498713416760944,101582.0,4.0,4.0,2432
20260715_agenttrace_frozen_sketch_k16_rep0,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,"anon8231489123/ShareGPT_Vicuna_unfiltered: V3 cleaned split (200-session dense subsample, min 3 turns, seed 20260721)",https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,c6a1c39d759f2931c895ad421ebbb66cfa85a04a6d10e1c2b16f204502b58e5f,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,sketch_k16,16,8,0,10,20260715,f1ae5fe4263dae6900eb44d12dd1343b739e3ffa9442a1a5c193505cc0f9e30a,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.4659155301017433,107489.0,4.0,4.0,4480
20260715_agenttrace_frozen_exact_rep0,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,"anon8231489123/ShareGPT_Vicuna_unfiltered: V3 cleaned split (200-session dense subsample, min 3 turns, seed 20260721)",https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,c6a1c39d759f2931c895ad421ebbb66cfa85a04a6d10e1c2b16f204502b58e5f,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,exact,inf,8,0,10,20260715,f1ae5fe4263dae6900eb44d12dd1343b739e3ffa9442a1a5c193505cc0f9e30a,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.48451006435212646,114167.0,4.0,4.0,10368
20260715_agenttrace_closed_loop_load_only_rep0,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,"anon8231489123/ShareGPT_Vicuna_unfiltered: V3 cleaned split (200-session dense subsample, min 3 turns, seed 20260721)",https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,c6a1c39d759f2931c895ad421ebbb66cfa85a04a6d10e1c2b16f204502b58e5f,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,closed_loop,load_only,inf,8,0,10,20260715,f1ae5fe4263dae6900eb44d12dd1343b739e3ffa9442a1a5c193505cc0f9e30a,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.4783676351788955,113261.0,0.0,0.0,384
20260715_agenttrace_closed_loop_sketch_k8_rep0,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,"anon8231489123/ShareGPT_Vicuna_unfiltered: V3 cleaned split (200-session dense subsample, min 3 turns, seed 20260721)",https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,c6a1c39d759f2931c895ad421ebbb66cfa85a04a6d10e1c2b16f204502b58e5f,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,closed_loop,sketch_k8,8,8,0,10,20260715,f1ae5fe4263dae6900eb44d12dd1343b739e3ffa9442a1a5c193505cc0f9e30a,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.4560452450334489,102689.0,1.0,1.0,896
20260715_agenttrace_closed_loop_sketch_k16_rep0,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,"anon8231489123/ShareGPT_Vicuna_unfiltered: V3 cleaned split (200-session dense subsample, min 3 turns, seed 20260721)",https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,c6a1c39d759f2931c895ad421ebbb66cfa85a04a6d10e1c2b16f204502b58e5f,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,closed_loop,sketch_k16,16,8,0,10,20260715,f1ae5fe4263dae6900eb44d12dd1343b739e3ffa9442a1a5c193505cc0f9e30a,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.4573980533157879,103333.0,1.0,1.0,1408
20260715_agenttrace_closed_loop_exact_rep0,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,"anon8231489123/ShareGPT_Vicuna_unfiltered: V3 cleaned split (200-session dense subsample, min 3 turns, seed 20260721)",https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,c6a1c39d759f2931c895ad421ebbb66cfa85a04a6d10e1c2b16f204502b58e5f,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,closed_loop,exact,inf,8,0,10,20260715,f1ae5fe4263dae6900eb44d12dd1343b739e3ffa9442a1a5c193505cc0f9e30a,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.49997334525776826,124872.0,1.0,1.0,8576
20260715_agenttrace_frozen_load_only_rep1,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,"anon8231489123/ShareGPT_Vicuna_unfiltered: V3 cleaned split (200-session dense subsample, min 3 turns, seed 20260721)",https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,c6a1c39d759f2931c895ad421ebbb66cfa85a04a6d10e1c2b16f204502b58e5f,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,load_only,inf,8,1,10,20260715,9cb6d63b42867f9c6221836e985c7f68dccc05a113fb2a561981d0bbe5bc5220,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.4475747087566821,101623.0,0.0,0.0,384
20260715_agenttrace_frozen_sketch_k8_rep1,agenttrace_structural_replay_v3,trace_derived_simulation,19fe2771134a43109738b3bcde1aa35c9364b890,"anon8231489123/ShareGPT_Vicuna_unfiltered: V3 cleaned split (200-session dense subsample, min 3 turns, seed 20260721)",https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,c6a1c39d759f2931c895ad421ebbb66cfa85a04a6d10e1c2b16f204502b58e5f,False,AgentTrace Qwen/Qwen3-1.7B source; B02 dispatcher simulation,CPU-only; no live vLLM request,frozen,sketch_k8,8,8,1,10,20260715,9cb6d63b42867f9c6221836e985c7f68dccc05a113fb2a561981d0bbe5bc5220,512,128,128,trace-derived agent turn structure; no raw text and no live vLLM latency,Current,384,1.0,0.4463543925517408,101724.0,4.0,4.0,2432
