request_id,session_hash,step_number,prefix_tokens,prefix_chain_depth,tool_span_count_before,tool_latency_ms_before,discard
0,425eeb037259c2b5a7bb,1,325,2,0,0,True
1,900224c7cc5d015168ce,1,287,2,0,0,True
2,ef8c2f760dde357d0c93,1,346,2,0,0,True
3,a31a343c9c1177751118,1,390,2,0,0,True
4,42cda34d1e463dda05bb,1,262,2,0,0,True
5,2f207dbc9400addfceff,1,278,2,0,0,True
6,82cd643796caf196e29c,1,267,2,0,0,True
7,82947f44767daf023559,1,260,2,0,0,True
8,78fefb5ef90a79b6d636,1,292,2,0,0,True
9,0f3bd792dd4466a9fa12,1,274,2,0,0,True
10,246a20326b36ff886520,1,276,2,0,0,True
11,f1fd548aa34e1bc033a6,1,267,2,0,0,True
12,447e776bc584cec4283c,1,274,2,0,0,True
13,949736d14bf9609eaa5a,1,266,2,0,0,True
14,ca2db009b7faa33f016e,1,320,2,0,0,True
15,d0d3d325c46b322f0adc,1,272,2,0,0,True
16,d1ec2d8613c320c97216,1,381,2,0,0,True
17,2738af9664d13685bf2b,1,280,2,0,0,True
18,1ca413047c695b8bbf33,1,279,2,0,0,True
19,b1d2f8a9ab7ad0bc27aa,1,693,2,0,0,True
20,7e6806e14c8e8a739282,1,351,2,0,0,True
21,da9a1945d4afa8af84c7,1,392,2,0,0,True
22,a083bcab78748aab391e,1,304,2,0,0,True
23,7bce2a18759688117bdc,1,305,2,0,0,True
24,af35f7e6df8334ee6a5f,1,273,2,0,0,True
25,1cd35aa059a24c74f636,1,275,2,0,0,True
26,b638ef0115ed6bdbf8a8,1,528,2,0,0,True
27,11c17d3c552167897425,1,285,2,0,0,True
28,4d2d66d0e288cd6e9393,1,822,2,0,0,True
29,e36765c13dd7971f40c9,1,281,2,0,0,True
30,42fe125a92bced8380d2,1,284,2,0,0,True
31,f036f649d59ac10e1b16,1,305,2,0,0,True
32,919899522e08f519c628,1,265,2,0,0,True
33,57de0b376a57d530c58f,1,265,2,0,0,True
34,9967dc3af8eb7d77e1f4,1,266,2,0,0,True
35,7c6be678d6ed1a36921c,1,273,2,0,0,True
36,86cd3d53c0c65110dfad,1,276,2,0,0,True
37,447e776bc584cec4283c,2,720,3,0,0,True
38,848cb22b8e0d5274d222,1,269,2,0,0,True
39,67ef9ccaed549cb0c9af,1,295,2,0,0,True
40,ed26575f78a43ad0afaf,1,377,2,0,0,True
41,78fb7bc281996f7e2e29,1,266,2,0,0,True
42,0a82d426f5e2077bae88,1,447,2,0,0,True
43,2707afb97a8235728cd1,1,290,2,0,0,True
44,0ea15bd927159d361242,1,271,2,0,0,True
45,c216fd98617420c7bf38,1,287,2,0,0,True
46,d72c24a5a2b96caaf795,1,257,2,0,0,True
47,1e17bb33f6e37af41cc9,1,278,2,0,0,True
48,58355c04fbb88ad0fca2,1,336,2,0,0,True
49,8d96b08b702224ed926e,1,401,2,0,0,True
50,86cd3d53c0c65110dfad,2,738,3,0,0,True
51,9967dc3af8eb7d77e1f4,2,593,3,0,0,True
52,1104aaf8d3cc8bf6eacd,1,376,2,0,0,True
53,e217b4fbf7e7fa25c4f0,1,274,2,0,0,True
54,5540a87c26d7d0c5977f,1,532,2,0,0,True
55,54522f06ceae3e64f23a,1,1626,2,0,0,True
56,4cf5854890769494dd5c,1,377,2,0,0,True
57,1ca55c2f47972b4a8a0d,1,769,2,0,0,True
58,2404f39ef6c2a7b0ec14,1,406,2,0,0,True
59,37f577fa91cde43719cc,1,287,2,0,0,True
60,10932c4a6bde3e5fc6aa,1,261,2,0,0,True
61,ab3217082c48a225496a,1,262,2,0,0,True
62,411f0ebb4fd87a537113,1,270,2,0,0,True
63,baa0e95b9a7fa481c8b3,1,259,2,0,0,True
64,9711808ccde274221858,1,272,2,0,0,True
65,16f2125e9da9c2ccc44f,1,300,2,0,0,True
66,1806f0963c36bd274e9d,1,272,2,0,0,True
67,3de13eb740180388752a,1,275,2,0,0,True
68,1f5dcd6db94cfeeeb48b,1,268,2,0,0,True
69,db6f53a1f7c60bb54d40,1,286,2,0,0,True
70,9be0a3cf72ca7ffe5cd9,1,402,2,0,0,True
71,b46fb4cc607a20c86a12,1,372,2,0,0,True
72,f169e6122c479895b833,1,299,2,0,0,True
73,9d9bf9f2890509fc814d,1,304,2,0,0,True
74,747e8fbadd53b0a6c669,1,264,2,0,0,True
75,b70474e51adf7dc993a9,1,424,2,0,0,True
76,956d0281c393782d609a,1,1092,2,0,0,True
77,11c17d3c552167897425,2,655,3,0,0,True
78,f169e6122c479895b833,2,536,3,0,0,True
79,ed1143afdaffe32ebe1d,1,280,2,0,0,True
80,a083bcab78748aab391e,2,1000,3,0,0,True
81,74bcd26cc8efb9ca48ea,1,274,2,0,0,True
82,d21919bb7277d8a12e44,1,414,2,0,0,True
83,b7f01352a57c004372ba,1,369,2,0,0,True
84,74bcd26cc8efb9ca48ea,2,643,3,0,0,True
85,b932aea251dfbd2be1bd,1,262,2,0,0,True
86,f020ee7909a18efa6dd5,1,377,2,0,0,True
87,b5d3c965cbebaef7f3d0,1,264,2,0,0,True
88,d1ec2d8613c320c97216,2,599,3,0,0,True
89,ea891ba5811c2daa6379,1,323,2,0,0,True
90,69b58641f955927ad89a,1,275,2,0,0,True
91,a6b154a4d4bdcbf2fed9,1,477,2,0,0,True
92,447e776bc584cec4283c,3,1083,4,0,0,True
93,919899522e08f519c628,2,494,3,0,0,True
94,5115e0946b54140911dc,1,734,2,0,0,True
95,17bdf995a8fd6265f2fb,1,337,2,0,0,True
96,9dbd852b501239c5edb9,1,277,2,0,0,True
97,65e3f65ba231fd6b4f09,1,284,2,0,0,True
98,ca2db009b7faa33f016e,2,625,3,0,0,True
99,2663ea7946a3e1a7d894,1,264,2,0,0,True
100,fa2c33a3f96de0f137d0,1,276,2,0,0,True
101,b70474e51adf7dc993a9,2,1030,3,0,0,True
102,c0561e6087a8ff098861,1,278,2,0,0,True
103,5e60b1950d1610156fb4,1,264,2,0,0,True
104,ce298c358723452cefcf,1,266,2,0,0,True
105,b638ef0115ed6bdbf8a8,2,1338,3,0,0,True
106,900224c7cc5d015168ce,2,645,3,0,0,True
107,478bce3209c08a4da7de,1,345,2,0,0,True
108,8602496d145f2acc5588,1,278,2,0,0,True
109,3c673e4fdcba21b965a0,1,263,2,0,0,True
110,1ff3fe848c753a7f8808,1,498,2,0,0,True
111,c0ec71ff312d830dfda8,1,280,2,0,0,True
112,044855fcb3ce872209ba,1,736,2,0,0,True
113,b70474e51adf7dc993a9,3,1653,4,0,0,True
114,900224c7cc5d015168ce,3,959,4,0,0,True
115,91f308aa6bccca6fb629,1,281,2,0,0,True
116,15a5bec68a76a9700ba1,1,292,2,0,0,True
117,97dca66eda364c5fb915,1,278,2,0,0,True
118,65efa21bfa8f94a1ee0d,1,279,2,0,0,True
119,560b2d81c8837dc9df30,1,302,2,0,0,True
120,900224c7cc5d015168ce,4,1178,5,0,0,True
121,fc880162e30f0d48ab59,1,261,2,0,0,True
122,faded217ee3787a137ff,1,267,2,0,0,True
123,a6a116d1c5844e5866ef,1,261,2,0,0,True
124,955fdfd61086b825f036,1,262,2,0,0,True
125,044855fcb3ce872209ba,2,1184,3,0,0,True
126,1191af346cf98d4d2d53,1,314,2,0,0,True
127,65e3f65ba231fd6b4f09,2,493,3,0,0,True
128,47d3d7122c7894b982ea,1,263,2,0,0,False
129,0d09e4dbdcc00ea0c57d,1,269,2,0,0,False
130,57cb6116956c4cfc0018,1,278,2,0,0,False
131,c0561e6087a8ff098861,2,912,3,0,0,False
132,fb0a26164fd6b9e530f2,1,372,2,0,0,False
133,f1fd548aa34e1bc033a6,2,392,3,0,0,False
134,670ca0ffffbda8bd4e21,1,285,2,0,0,False
135,fb0a26164fd6b9e530f2,2,876,3,0,0,False
136,d3991270a10a0dd74509,1,317,2,0,0,False
137,ab3217082c48a225496a,2,368,3,0,0,False
138,2663ea7946a3e1a7d894,2,563,3,0,0,False
139,69b58641f955927ad89a,2,924,3,0,0,False
140,1ff3fe848c753a7f8808,2,894,3,0,0,False
141,ce298c358723452cefcf,2,447,3,0,0,False
142,9c77c5a3051eea712548,1,271,2,0,0,False
143,15a5bec68a76a9700ba1,2,846,3,0,0,False
144,848cb22b8e0d5274d222,2,324,3,0,0,False
145,949736d14bf9609eaa5a,2,589,3,0,0,False
146,42fc5fcdc2179b15f961,1,278,2,0,0,False
147,a6a116d1c5844e5866ef,2,355,3,0,0,False
148,b4261479dad6f094d64a,1,298,2,0,0,False
149,c2fcf58d02ec2dd4a8b7,1,2130,2,0,0,False
150,58355c04fbb88ad0fca2,2,1198,3,0,0,False
151,1cd35aa059a24c74f636,2,663,3,0,0,False
152,e36765c13dd7971f40c9,2,920,3,0,0,False
153,58355c04fbb88ad0fca2,3,2054,4,0,0,False
154,1ca55c2f47972b4a8a0d,2,787,3,0,0,False
155,b932aea251dfbd2be1bd,2,774,3,0,0,False
156,4cf5854890769494dd5c,2,684,3,0,0,False
157,1f5dcd6db94cfeeeb48b,2,705,3,0,0,False
158,cd512e8eba091e53bab1,1,266,2,0,0,False
159,2707afb97a8235728cd1,2,436,3,0,0,False
160,1806f0963c36bd274e9d,2,613,3,0,0,False
161,d5f0a8aa481b6eaeef75,1,263,2,0,0,False
162,72283416ffb08fa3c42c,1,268,2,0,0,False
163,91f308aa6bccca6fb629,2,521,3,0,0,False
164,956d0281c393782d609a,2,1201,3,0,0,False
165,e36765c13dd7971f40c9,3,987,4,0,0,False
166,f216e2c6311868a1b184,1,298,2,0,0,False
167,f49fb0eb17985afc8e50,1,270,2,0,0,False
168,54522f06ceae3e64f23a,2,1856,3,0,0,False
169,1e5ac46122ecad72b80e,1,331,2,0,0,False
170,1806f0963c36bd274e9d,3,984,4,0,0,False
171,69b58641f955927ad89a,3,1309,4,0,0,False
172,ce298c358723452cefcf,3,750,4,0,0,False
173,848cb22b8e0d5274d222,3,549,4,0,0,False
174,961a20da7f6efaa9c8f7,1,265,2,0,0,False
175,1e5ac46122ecad72b80e,2,373,3,0,0,False
176,32b96bfa61e9777d7e5a,1,313,2,0,0,False
177,57cb6116956c4cfc0018,2,463,3,0,0,False
178,ed1143afdaffe32ebe1d,2,599,3,0,0,False
179,32b96bfa61e9777d7e5a,2,1197,3,0,0,False
180,1e5ac46122ecad72b80e,3,1171,4,0,0,False
181,28496641781fd5489a08,1,281,2,0,0,False
182,c7872579d433ac214712,1,384,2,0,0,False
183,e7eb0f2e93ccd0ee4e2e,1,305,2,0,0,False
184,da9a1945d4afa8af84c7,2,807,3,0,0,False
185,cd512e8eba091e53bab1,2,317,3,0,0,False
186,3de13eb740180388752a,2,308,3,0,0,False
187,3e642b6529a923b542da,1,505,2,0,0,False
188,42fc5fcdc2179b15f961,2,361,3,0,0,False
189,ea891ba5811c2daa6379,2,606,3,0,0,False
190,511e92c2a3e531748efc,1,258,2,0,0,False
191,fc880162e30f0d48ab59,2,551,3,0,0,False
192,16f2125e9da9c2ccc44f,2,680,3,0,0,False
193,411f0ebb4fd87a537113,2,906,3,0,0,False
194,d5f0a8aa481b6eaeef75,2,500,3,0,0,False
195,fb14ed7093a2da40a821,1,290,2,0,0,False
196,4d2d66d0e288cd6e9393,2,1250,3,0,0,False
197,1191af346cf98d4d2d53,2,822,3,0,0,False
198,7bce2a18759688117bdc,2,426,3,0,0,False
199,a31a343c9c1177751118,2,931,3,0,0,False
200,52dd95c7a9acc473b22b,1,322,2,0,0,False
201,c689772a48829f9325c0,1,280,2,0,0,False
202,1104aaf8d3cc8bf6eacd,2,1018,3,0,0,False
203,0a05f818a8e595814510,1,673,2,0,0,False
204,670ca0ffffbda8bd4e21,2,693,3,0,0,False
205,da9a1945d4afa8af84c7,3,1115,4,0,0,False
206,10ff052d49c8ef29cdb4,1,269,2,0,0,False
207,e217b4fbf7e7fa25c4f0,2,589,3,0,0,False
208,f89fc977549a6ac31bf6,1,296,2,0,0,False
209,57cb6116956c4cfc0018,3,593,4,0,0,False
210,a706bb99283dd56106e5,1,978,2,0,0,False
211,0bb869f429511897d386,1,265,2,0,0,False
212,f216e2c6311868a1b184,2,565,3,0,0,False
213,b1d2f8a9ab7ad0bc27aa,2,1075,3,0,0,False
214,54522f06ceae3e64f23a,3,2243,4,0,0,False
215,8602496d145f2acc5588,2,704,3,0,0,False
216,411f0ebb4fd87a537113,3,1359,4,0,0,False
217,3de13eb740180388752a,3,542,4,0,0,False
218,5540a87c26d7d0c5977f,2,1199,3,0,0,False
219,afbca946c4f8040e360f,1,278,2,0,0,False
220,99ff4f1f1fd2fda3291c,1,304,2,0,0,False
