request_id,session_hash,step_number,prefix_tokens,prefix_chain_depth,tool_span_count_before,tool_latency_ms_before,discard
0,3c7808d79f0b36dbafc9,1,316,2,0,0,True
1,42c4efb2ea0e48b68ac0,1,285,2,0,0,True
2,e6ced75bcde51dfcd9e5,1,262,2,0,0,True
3,a23521b290380c5807a1,1,454,2,0,0,True
4,b893a3743bd7d37b1545,1,383,2,0,0,True
5,7c87ebbf31a0dfd7f2a0,1,281,2,0,0,True
6,c13265706a3360f51d2f,1,313,2,0,0,True
7,9e01ba027e75cfc48a83,1,287,2,0,0,True
8,ddc5fdca01dc46fb57f3,1,257,2,0,0,True
9,ed4f9b1335e0ca0078bc,1,1121,2,0,0,True
10,471c5c82c9e5fa0e6f91,1,284,2,0,0,True
11,5bd03bc7d1da4565efab,1,265,2,0,0,True
12,d87acd3a738205f61a78,1,258,2,0,0,True
13,b8056c75f077da33076a,1,258,2,0,0,True
14,949ed69fc3fb8c6b4f15,1,644,2,0,0,True
15,9dabc0e008fbd3ae3de9,1,280,2,0,0,True
16,2cb7910d9506e2f8ab63,1,283,2,0,0,True
17,8a38e120cbefde7dbcfd,1,269,2,0,0,True
18,1685f08d73a8ffa44b66,1,428,2,0,0,True
19,50409a2d725d7aa7fa97,1,266,2,0,0,True
20,6c7c04f564487df6de74,1,283,2,0,0,True
21,c7cccfdc08886aab2f1a,1,291,2,0,0,True
22,1f69afe4b699ffaa55df,1,273,2,0,0,True
23,2c5144214ad98b16b7d1,1,263,2,0,0,True
24,c500eacfa2f8ff376278,1,329,2,0,0,True
25,212414b01a587202a1bd,1,287,2,0,0,True
26,78d346cd43499f8c07a0,1,390,2,0,0,True
27,0b2a3fbcaa5470ec9ef5,1,1171,2,0,0,True
28,94bfced5775ec45120b2,1,563,2,0,0,True
29,d826ada224b6e85fc724,1,276,2,0,0,True
30,16caa4034f7a4ea13505,1,283,2,0,0,True
31,fa5cb360d910f73a653f,1,272,2,0,0,True
32,7b91946515db9df224b8,1,259,2,0,0,True
33,c178959b0e05a27e04c9,1,341,2,0,0,True
34,e231cfdc1f3f99dba8e5,1,277,2,0,0,True
35,c97ab35629b31a990e7d,1,364,2,0,0,True
36,d8ae752ee3d828ab1a8f,1,308,2,0,0,True
37,0c364f36656ddbec590b,1,1649,2,0,0,True
38,e20952382ae04f8c4432,1,473,2,0,0,True
39,d027dacc1d91e793484d,1,297,2,0,0,True
40,1d6856826e84bb765ac9,1,262,2,0,0,True
41,1c1a3ff30716c42364cc,1,268,2,0,0,True
42,2e75ccbedbb3d5da23c5,1,266,2,0,0,True
43,7b83ebf2ffa7d589cab6,1,336,2,0,0,True
44,ce475ea98d74a684c34e,1,262,2,0,0,True
45,c750d5bc05fa379043f2,1,267,2,0,0,True
46,d2890300759f94d3f808,1,315,2,0,0,True
47,f1791d84461e08c03fbb,1,283,2,0,0,True
48,1a01c30c5dc78639058d,1,329,2,0,0,True
49,bb1e9d9247b8d62d11e2,1,323,2,0,0,True
50,51fc5e86080ef413d725,1,276,2,0,0,True
51,e36de3d5e1387686b8ec,1,263,2,0,0,True
52,c690d12a0e4fc5864d00,1,289,2,0,0,True
53,b099d5d6a0046d71c3b6,1,258,2,0,0,True
54,e50641fc45684a509eff,1,936,2,0,0,True
55,3cc1e1e6104465eb58bf,1,269,2,0,0,True
56,9d4a0c99989494b8f879,1,266,2,0,0,True
57,09ddade84774ece75ec0,1,258,2,0,0,True
58,466291a0a4e7962589d4,1,264,2,0,0,True
59,9bc942ad95bbe66820e3,1,588,2,0,0,True
60,cba71c3c7e638e49ec09,1,276,2,0,0,True
61,e3bdb073345e5cc72159,1,1114,2,0,0,True
62,79b3f15646befe16a068,1,284,2,0,0,True
63,19bae799e40c0ef70ca1,1,321,2,0,0,True
64,3c34a4d2df50b3b1bcfc,1,276,2,0,0,True
65,a37a1cab0ebb4154b88e,1,1097,2,0,0,True
66,ebff7878bb979bf4c36d,1,383,2,0,0,True
67,e77d33efed61a639a8d7,1,305,2,0,0,True
68,dbe1bd3fd7f8605a6423,1,281,2,0,0,True
69,da8d31bc4502570ddcc1,1,261,2,0,0,True
70,86879cb6d03433cf394e,1,491,2,0,0,True
71,883d15c01f5f9fe82a23,1,263,2,0,0,True
72,0a0fab6dbc4e8287adc5,1,288,2,0,0,True
73,209749d74e8c5faee269,1,270,2,0,0,True
74,c4f2adfdd6ed713d2d95,1,342,2,0,0,True
75,85360e0427e59018be17,1,265,2,0,0,True
76,e63a40d7b91681185ede,1,276,2,0,0,True
77,d7c280323dda55a24b54,1,339,2,0,0,True
78,214738e056cf5ae1df77,1,284,2,0,0,True
79,2bfb0cb0d32e8e1b1158,1,271,2,0,0,True
80,8d65335f31863f5692d9,1,257,2,0,0,True
81,241f30382325629c846a,1,280,2,0,0,True
82,d4e37e256445fd036774,1,404,2,0,0,True
83,a7ffa054f070e1a1d88b,1,1295,2,0,0,True
84,7bf418bd42dbd704ee9c,1,265,2,0,0,True
85,19f34ad81eba678e0788,1,414,2,0,0,True
86,cfe59a3dea7afcdf9136,1,666,2,0,0,True
87,0e1abfb3c2bdf964219f,1,276,2,0,0,True
88,724c34a7107621e2f51d,1,256,2,0,0,True
89,96f29520d877f276b954,1,271,2,0,0,True
90,efa6af7a54ead755360a,1,270,2,0,0,True
91,b017d01f738f76e612f8,1,268,2,0,0,True
92,ffbc4daa985307783d70,1,322,2,0,0,True
