cell,coverage_tokens,event,gateway_arrival_time,gateway_send_time,generation_time,op,owner,payload_bytes,policy,prefix_digest64,queue_age_s,selected,semantic_score,stage,suppression_reason,update_id
15505,2048,update,1789701419.0196028,,1789701419.0191426,upsert,0,64,Adaptive,15769623694692820738,0.0004601478576660156,True,,enqueued,,0
15505,2048,update,1789701419.0202622,1789701419.0202622,1789701419.0191426,upsert,0,64,Adaptive,15769623694692820738,0.0011196136474609375,True,,forwarded,,0
15505,2048,update,1789701419.020492,,1789701419.0192523,upsert,3,64,Adaptive,15769623694692820738,0.001239776611328125,True,,enqueued,,3
15505,2048,update,1789701419.0206687,,1789701419.019234,upsert,2,64,Adaptive,15769623694692820738,0.0014348030090332031,False,,suppressed,duplicate_holder,2
15505,2048,update,1789701419.0207746,,1789701419.0192072,upsert,1,64,Adaptive,15769623694692820738,0.0015673637390136719,False,,suppressed,duplicate_holder,1
15505,2048,update,1789701419.0209315,1789701419.0209315,1789701419.0192523,upsert,3,64,Adaptive,15769623694692820738,0.0016791820526123047,True,,forwarded,,3
15505,2048,update,1789701420.0999746,,1789701420.0996442,upsert,0,64,Adaptive,12613465747135452669,0.0003304481506347656,True,,enqueued,,4
15505,2048,update,1789701420.1003666,1789701420.1003666,1789701420.0996442,upsert,0,64,Adaptive,12613465747135452669,0.0007224082946777344,True,,forwarded,,4
15505,2048,update,1789701420.1005144,,1789701420.0998154,upsert,3,64,Adaptive,12613465747135452669,0.0006990432739257812,True,,enqueued,,7
15505,2048,update,1789701420.1006489,,1789701420.0997796,upsert,2,64,Adaptive,12613465747135452669,0.0008692741394042969,False,,suppressed,duplicate_holder,6
15505,2048,update,1789701420.100744,,1789701420.0997338,upsert,1,64,Adaptive,12613465747135452669,0.0010101795196533203,False,,suppressed,duplicate_holder,5
15505,2048,update,1789701420.1008804,1789701420.1008804,1789701420.0998154,upsert,3,64,Adaptive,12613465747135452669,0.0010650157928466797,True,,forwarded,,7
15505,2048,update,1789701421.1583734,,1789701421.1580307,upsert,0,64,Adaptive,12523743054995375112,0.0003426074981689453,True,,enqueued,,8
15505,2048,update,1789701421.158601,1789701421.158601,1789701421.1580307,upsert,0,64,Adaptive,12523743054995375112,0.0005702972412109375,True,,forwarded,,8
15505,2048,update,1789701421.1586685,,1789701421.158225,upsert,3,64,Adaptive,12523743054995375112,0.00044345855712890625,True,,enqueued,,11
15505,2048,update,1789701421.1587296,,1789701421.158188,upsert,2,64,Adaptive,12523743054995375112,0.0005414485931396484,False,,suppressed,duplicate_holder,10
15505,2048,update,1789701421.1588569,1789701421.1588569,1789701421.158225,upsert,3,64,Adaptive,12523743054995375112,0.0006318092346191406,True,,forwarded,,11
15505,2048,update,1789701421.15891,,1789701421.158128,upsert,1,64,Adaptive,12523743054995375112,0.000782012939453125,False,,suppressed,duplicate_holder,9
15505,4096,update,1789701423.9982786,,1789701423.9977584,upsert,0,64,Adaptive,9971321710674973507,0.0005202293395996094,True,,enqueued,,12
15505,4096,update,1789701423.9988463,1789701423.9988463,1789701423.9977584,upsert,0,64,Adaptive,9971321710674973507,0.0010879039764404297,True,,forwarded,,12
15505,4096,update,1789701423.9990187,,1789701423.9978857,upsert,1,64,Adaptive,9971321710674973507,0.001132965087890625,True,,enqueued,,13
15505,4096,update,1789701423.9992354,,1789701423.9979463,upsert,2,64,Adaptive,9971321710674973507,0.0012891292572021484,False,,suppressed,duplicate_holder,14
15505,4096,update,1789701423.9993794,,1789701423.9979877,upsert,3,64,Adaptive,9971321710674973507,0.0013916492462158203,False,,suppressed,duplicate_holder,15
15505,4096,update,1789701423.999589,1789701423.999589,1789701423.9978857,upsert,1,64,Adaptive,9971321710674973507,0.0017032623291015625,True,,forwarded,,13
15505,4096,update,1789701426.9874513,,1789701426.9869754,upsert,0,64,Adaptive,4650049274038987083,0.00047588348388671875,True,,enqueued,,16
15505,4096,update,1789701426.987956,1789701426.987956,1789701426.9869754,upsert,0,64,Adaptive,4650049274038987083,0.0009806156158447266,True,,forwarded,,16
15505,4096,update,1789701426.9881117,,1789701426.9870698,upsert,1,64,Adaptive,4650049274038987083,0.0010418891906738281,True,,enqueued,,17
15505,4096,update,1789701426.988265,,1789701426.9871123,upsert,2,64,Adaptive,4650049274038987083,0.0011527538299560547,False,,suppressed,duplicate_holder,18
15505,4096,update,1789701426.9883673,,1789701426.9871461,upsert,3,64,Adaptive,4650049274038987083,0.0012211799621582031,False,,suppressed,duplicate_holder,19
15505,4096,update,1789701426.9885194,1789701426.9885194,1789701426.9870698,upsert,1,64,Adaptive,4650049274038987083,0.0014495849609375,True,,forwarded,,17
15505,4096,update,1789701429.935215,,1789701429.9348533,upsert,0,64,Adaptive,3163096543987652428,0.0003616809844970703,True,,enqueued,,20
15505,4096,update,1789701429.9354863,1789701429.9354863,1789701429.9348533,upsert,0,64,Adaptive,3163096543987652428,0.0006330013275146484,True,,forwarded,,20
15505,4096,update,1789701429.9355705,,1789701429.9349508,upsert,1,64,Adaptive,3163096543987652428,0.0006196498870849609,True,,enqueued,,21
15505,4096,update,1789701429.9356415,,1789701429.9349978,upsert,2,64,Adaptive,3163096543987652428,0.0006437301635742188,False,,suppressed,duplicate_holder,22
15505,4096,update,1789701429.935694,,1789701429.9350376,upsert,3,64,Adaptive,3163096543987652428,0.0006563663482666016,False,,suppressed,duplicate_holder,23
15505,4096,update,1789701429.9357698,1789701429.9357698,1789701429.9349508,upsert,1,64,Adaptive,3163096543987652428,0.0008189678192138672,True,,forwarded,,21
15505,1024,update,1789701430.4463644,,1789701430.44591,upsert,0,64,Adaptive,10402019323283478844,0.0004544258117675781,True,,enqueued,,24
