experiment_id,rep,cell_id,policy,rho,workload,event,cell,update_id,owner,prefix_digest64,op,generation_time,dispatcher_arrival_time,coverage_tokens,payload_bytes
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,0,0,15769623694692820738,upsert,1789701419.0191426,1789701419.0204365,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,3,3,15769623694692820738,upsert,1789701419.0192523,1789701419.020946,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,4,0,12613465747135452669,upsert,1789701420.0996442,1789701420.1026132,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,7,3,12613465747135452669,upsert,1789701420.0998154,1789701420.1026933,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,8,0,12523743054995375112,upsert,1789701421.1580307,1789701421.161987,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,11,3,12523743054995375112,upsert,1789701421.158225,1789701421.162069,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,12,0,9971321710674973507,upsert,1789701423.9977584,1789701424.0027318,4096,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,13,1,9971321710674973507,upsert,1789701423.9978857,1789701424.0028439,4096,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,16,0,4650049274038987083,upsert,1789701426.9869754,1789701426.990487,4096,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,17,1,4650049274038987083,upsert,1789701426.9870698,1789701426.9905622,4096,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,20,0,3163096543987652428,upsert,1789701429.9348533,1789701429.9375687,4096,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,21,1,3163096543987652428,upsert,1789701429.9349508,1789701429.9376895,4096,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,24,0,10402019323283478844,upsert,1789701430.44591,1789701430.4496512,1024,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,25,1,10402019323283478844,upsert,1789701430.4460092,1789701430.4497328,1024,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,28,0,14064140743279553366,upsert,1789701433.3451517,1789701433.3480926,4096,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,29,1,14064140743279553366,upsert,1789701433.3452578,1789701433.348196,4096,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,32,0,12376960631178457983,upsert,1789701434.4620833,1789701434.4657795,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,33,1,12376960631178457983,upsert,1789701434.462186,1789701434.4658492,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,36,0,947483498426156190,upsert,1789701438.047412,1789701438.0512166,4096,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,39,3,947483498426156190,upsert,1789701438.047598,1789701438.051318,4096,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,40,0,3073007241776570211,upsert,1789701439.136388,1789701440.7039194,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,42,2,3073007241776570211,upsert,1789701439.1365366,1789701441.7523463,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,44,0,14108233664250482536,upsert,1789701440.5557792,1789701443.8491485,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,47,3,14108233664250482536,upsert,1789701440.5559654,1789701443.8492482,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,48,0,14774026810505956694,upsert,1789701443.6582468,1789701448.1555324,4096,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,51,3,14774026810505956694,upsert,1789701443.6584399,1789701448.155636,4096,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,52,0,5281956220402968541,upsert,1789701444.7394862,1789701451.4136267,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,55,3,5281956220402968541,upsert,1789701444.739666,1789701451.4137173,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,56,0,1785562587857272681,upsert,1789701445.960812,1789701454.0426497,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,57,1,1785562587857272681,upsert,1789701445.9609241,1789701454.0427365,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,66,3,947483498426156190,upsert,1789701447.5318713,1789701456.671674,4096,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,72,0,947483498426156190,upsert,1789701449.100838,1789701456.6717718,4096,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,74,1,4650049274038987083,upsert,1789701449.1009853,1789701459.3007374,4096,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,76,1,3163096543987652428,upsert,1789701449.520222,1789701459.3008354,4096,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,77,0,4650049274038987083,upsert,1789701449.5203204,1789701461.9297209,4096,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,102,1,14064140743279553366,upsert,1789701452.6354604,1789701461.9298172,4096,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,118,1,9971321710674973507,upsert,1789701454.9629574,1789701464.5587626,4096,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,123,3,12523743054995375112,upsert,1789701455.256354,1789701464.5588706,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,129,2,12103029824873703222,upsert,1789701457.3237884,1789701467.187824,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,133,0,5080278736125677280,upsert,1789701459.9604511,1789701467.187925,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,134,2,4146034437482887754,upsert,1789701459.9606762,1789701469.8168402,4096,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,142,1,11821849661176330329,upsert,1789701462.1357195,1789701469.8169298,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,146,2,11821849661176330329,upsert,1789701462.5948734,1789701472.445869,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,147,1,15507369539614680842,upsert,1789701462.5950913,1789701472.445949,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,150,2,5080278736125677280,upsert,1789701463.664078,1789701474.5426528,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,151,0,5080278736125677280,upsert,1789701463.6643236,1789701474.5427203,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,154,1,2615785228242663478,upsert,1789701464.7276216,1789701476.6394918,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,159,1,8870018519622387243,upsert,1789701467.8359778,1789701476.6395783,4096,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,161,1,11821849661176330329,upsert,1789701469.0259118,1789701478.7361906,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,162,2,11821849661176330329,upsert,1789701469.0261347,1789701478.7362783,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,165,2,2763046690965461559,upsert,1789701472.060082,1789701480.8329928,4096,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,168,3,11592361518825428217,upsert,1789701474.978013,1789701480.8330767,4096,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,170,2,12169285934737722315,upsert,1789701474.9787354,1789701482.9297352,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,174,2,11821849661176330329,upsert,1789701475.6241515,1789701482.9298167,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,176,0,8870018519622387243,upsert,1789701478.4987514,1789701485.0265386,4096,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,178,2,17368355320037658727,upsert,1789701478.4994946,1789701485.0266225,4096,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,180,0,3610348553927340733,upsert,1789701483.2083893,1789701487.123304,4096,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,181,2,13844655051170110805,upsert,1789701483.2088232,1789701487.1233976,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,182,1,17846715708891391149,upsert,1789701483.2090523,1789701489.2200296,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,0,Adaptive@rho1.2_c0256_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15505,183,3,13844655051170110805,upsert,1789701483.209281,1789701489.2200928,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c01024_theta10_rep0,0,Adaptive@rho1.2_c01024_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15506,0,0,15769623694692820738,upsert,1789701496.9085717,1789701496.9115028,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c01024_theta10_rep0,0,Adaptive@rho1.2_c01024_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15506,2,2,15769623694692820738,upsert,1789701496.9087079,1789701496.9116023,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c01024_theta10_rep0,0,Adaptive@rho1.2_c01024_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15506,4,0,12613465747135452669,upsert,1789701497.9665008,1789701497.9693315,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c01024_theta10_rep0,0,Adaptive@rho1.2_c01024_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15506,6,2,12613465747135452669,upsert,1789701497.9666355,1789701498.2522955,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c01024_theta10_rep0,0,Adaptive@rho1.2_c01024_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15506,8,0,12523743054995375112,upsert,1789701498.951709,1789701503.300719,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c01024_theta10_rep0,0,Adaptive@rho1.2_c01024_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15506,9,1,12523743054995375112,upsert,1789701498.951798,1789701504.3490758,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c01024_theta10_rep0,0,Adaptive@rho1.2_c01024_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15506,12,0,9971321710674973507,upsert,1789701501.947574,1789701506.6555824,4096,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c01024_theta10_rep0,0,Adaptive@rho1.2_c01024_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15506,14,2,9971321710674973507,upsert,1789701501.9477205,1789701506.6556945,4096,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c01024_theta10_rep0,0,Adaptive@rho1.2_c01024_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15506,16,0,4650049274038987083,upsert,1789701504.943037,1789701509.284575,4096,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c01024_theta10_rep0,0,Adaptive@rho1.2_c01024_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15506,18,2,4650049274038987083,upsert,1789701504.943215,1789701509.2846792,4096,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c01024_theta10_rep0,0,Adaptive@rho1.2_c01024_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15506,20,0,3163096543987652428,upsert,1789701507.8647785,1789701512.6394603,4096,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c01024_theta10_rep0,0,Adaptive@rho1.2_c01024_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15506,21,1,3163096543987652428,upsert,1789701507.8648756,1789701512.6395638,4096,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c01024_theta10_rep0,0,Adaptive@rho1.2_c01024_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15506,28,0,14064140743279553366,upsert,1789701512.4210217,1789701515.2684586,4096,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c01024_theta10_rep0,0,Adaptive@rho1.2_c01024_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15506,29,1,14064140743279553366,upsert,1789701512.4211183,1789701515.2685578,4096,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c01024_theta10_rep0,0,Adaptive@rho1.2_c01024_theta10,Adaptive,1.2,reuse_intensive,dispatcher_arrival,15506,32,0,12376960631178457983,upsert,1789701513.5098891,1789701517.897487,2048,64
