cell,coverage_tokens,event,gateway_arrival_time,gateway_send_time,generation_time,op,owner,payload_bytes,policy,prefix_digest64,queue_age_s,selected,semantic_score,stage,suppression_reason,update_id
11857,1024,update,1789712861.9359865,,1789712861.935533,upsert,0,64,Adaptive,15769623694692820738,0.0004534721374511719,True,,enqueued,,0
11857,1024,update,1789712861.9365878,1789712861.9365878,1789712861.935533,upsert,0,64,Adaptive,15769623694692820738,0.0010547637939453125,True,,forwarded,,0
11857,1024,update,1789712861.9367535,,1789712861.9356232,upsert,1,64,Adaptive,15769623694692820738,0.0011303424835205078,True,,enqueued,,1
11857,1024,update,1789712861.9369352,,1789712861.9357247,upsert,3,64,Adaptive,15769623694692820738,0.0012104511260986328,False,,suppressed,duplicate_holder,3
11857,1024,update,1789712861.9370468,,1789712861.935682,upsert,2,64,Adaptive,15769623694692820738,0.0013647079467773438,False,,suppressed,duplicate_holder,2
11857,1024,update,1789712861.9372613,1789712861.9372613,1789712861.9356232,upsert,1,64,Adaptive,15769623694692820738,0.001638174057006836,True,,forwarded,,1
11857,1024,update,1789712862.913962,,1789712862.9134781,upsert,0,64,Adaptive,12613465747135452669,0.0004837512969970703,True,,enqueued,,4
11857,1024,update,1789712862.914444,1789712862.914444,1789712862.9134781,upsert,0,64,Adaptive,12613465747135452669,0.0009658336639404297,True,,forwarded,,4
11857,1024,update,1789712862.9145968,,1789712862.91366,upsert,3,64,Adaptive,12613465747135452669,0.0009367465972900391,True,,enqueued,,7
11857,1024,update,1789712862.9147348,,1789712862.913624,upsert,2,64,Adaptive,12613465747135452669,0.0011107921600341797,False,,suppressed,duplicate_holder,6
11857,1024,update,1789712862.9148383,,1789712862.9135785,upsert,1,64,Adaptive,12613465747135452669,0.0012598037719726562,False,,suppressed,duplicate_holder,5
11857,1024,update,1789712862.9149756,1789712862.9149756,1789712862.91366,upsert,3,64,Adaptive,12613465747135452669,0.0013155937194824219,True,,forwarded,,7
11857,1024,update,1789712863.8940692,,1789712863.8937347,upsert,0,64,Adaptive,12523743054995375112,0.0003345012664794922,True,,enqueued,,8
