experiment_id,rep,cell_id,policy,rho,workload,event,cell,update_id,owner,prefix_digest64,op,generation_time,dispatcher_arrival_time,coverage_tokens,payload_bytes
20260726_formal4t4_reuse_intensive_StaticSemantic@rho1.2_rep0,0,StaticSemantic@rho1.2,StaticSemantic,1.2,reuse_intensive,dispatcher_arrival,32650,0,0,15769623694692820738,upsert,1789700962.8138218,1789700962.8168511,2048,64
20260726_formal4t4_reuse_intensive_StaticSemantic@rho1.2_rep0,0,StaticSemantic@rho1.2,StaticSemantic,1.2,reuse_intensive,dispatcher_arrival,32650,2,2,15769623694692820738,upsert,1789700962.813973,1789700962.8169763,2048,64
20260726_formal4t4_reuse_intensive_StaticSemantic@rho1.2_rep0,0,StaticSemantic@rho1.2,StaticSemantic,1.2,reuse_intensive,dispatcher_arrival,32650,4,0,12613465747135452669,upsert,1789700963.76888,1789700963.7718716,2048,64
20260726_formal4t4_reuse_intensive_StaticSemantic@rho1.2_rep0,0,StaticSemantic@rho1.2,StaticSemantic,1.2,reuse_intensive,dispatcher_arrival,32650,7,3,12613465747135452669,upsert,1789700963.7690523,1789700963.7719514,2048,64
20260726_formal4t4_reuse_intensive_StaticSemantic@rho1.2_rep0,0,StaticSemantic@rho1.2,StaticSemantic,1.2,reuse_intensive,dispatcher_arrival,32650,8,0,12523743054995375112,upsert,1789700964.720884,1789700964.7247944,2048,64
20260726_formal4t4_reuse_intensive_StaticSemantic@rho1.2_rep0,0,StaticSemantic@rho1.2,StaticSemantic,1.2,reuse_intensive,dispatcher_arrival,32650,11,3,12523743054995375112,upsert,1789700964.7210517,1789700964.7248766,2048,64
20260726_formal4t4_reuse_intensive_StaticSemantic@rho1.2_rep0,0,StaticSemantic@rho1.2,StaticSemantic,1.2,reuse_intensive,dispatcher_arrival,32650,12,0,9971321710674973507,upsert,1789700967.2380617,1789700967.2417645,4096,64
20260726_formal4t4_reuse_intensive_StaticSemantic@rho1.2_rep0,0,StaticSemantic@rho1.2,StaticSemantic,1.2,reuse_intensive,dispatcher_arrival,32650,14,2,9971321710674973507,upsert,1789700967.2382154,1789700967.2418427,4096,64
20260726_formal4t4_reuse_intensive_StaticSemantic@rho1.2_rep0,0,StaticSemantic@rho1.2,StaticSemantic,1.2,reuse_intensive,dispatcher_arrival,32650,16,0,4650049274038987083,upsert,1789700969.7682161,1789700969.7719932,4096,64
20260726_formal4t4_reuse_intensive_StaticSemantic@rho1.2_rep0,0,StaticSemantic@rho1.2,StaticSemantic,1.2,reuse_intensive,dispatcher_arrival,32650,19,3,4650049274038987083,upsert,1789700969.7683868,1789700969.7720726,4096,64
20260726_formal4t4_reuse_intensive_StaticSemantic@rho1.2_rep0,0,StaticSemantic@rho1.2,StaticSemantic,1.2,reuse_intensive,dispatcher_arrival,32650,20,0,3163096543987652428,upsert,1789700972.3240023,1789700972.3266764,4096,64
20260726_formal4t4_reuse_intensive_StaticSemantic@rho1.2_rep0,0,StaticSemantic@rho1.2,StaticSemantic,1.2,reuse_intensive,dispatcher_arrival,32650,22,2,3163096543987652428,upsert,1789700972.3242006,1789700972.3267553,4096,64
20260726_formal4t4_reuse_intensive_StaticSemantic@rho1.2_rep0,0,StaticSemantic@rho1.2,StaticSemantic,1.2,reuse_intensive,dispatcher_arrival,32650,24,0,10402019323283478844,upsert,1789700972.799799,1789700972.8035417,1024,64
