request_id,phase,lineage_id,step,tenant,digest,coverage_tokens,workload,discard
0,0,2,0,tenant-2,L0002,4096,reuse_intensive,True
1,0,6,0,tenant-6,L0006,4096,reuse_intensive,True
2,0,9,0,tenant-1,L0009,4096,reuse_intensive,True
3,0,0,0,tenant-0,L0000,4096,reuse_intensive,True
4,0,41,0,tenant-1,L0041,4096,reuse_intensive,True
5,0,23,0,tenant-7,L0023,4096,reuse_intensive,True
6,0,13,0,tenant-5,L0013,4096,reuse_intensive,True
7,0,1,0,tenant-1,L0001,4096,reuse_intensive,True
8,0,9,1,tenant-1,L0009,4096,reuse_intensive,True
9,0,1,1,tenant-1,L0001,4096,reuse_intensive,True
10,0,4,0,tenant-4,L0004,4096,reuse_intensive,True
11,0,2,1,tenant-2,L0002,4096,reuse_intensive,True
12,0,5,0,tenant-5,L0005,4096,reuse_intensive,True
13,0,4,1,tenant-4,L0004,4096,reuse_intensive,True
14,0,0,1,tenant-0,L0000,4096,reuse_intensive,True
15,0,44,0,tenant-4,L0044,4096,reuse_intensive,True
16,0,2,2,tenant-2,L0002,4096,reuse_intensive,True
17,0,0,2,tenant-0,L0000,4096,reuse_intensive,True
18,0,8,0,tenant-0,L0008,4096,reuse_intensive,True
19,0,14,0,tenant-6,L0014,4096,reuse_intensive,True
20,0,0,0,tenant-0,L0000,4096,reuse_intensive,True
21,0,1,2,tenant-1,L0001,4096,reuse_intensive,True
22,0,0,1,tenant-0,L0000,4096,reuse_intensive,True
23,0,2,0,tenant-2,L0002,4096,reuse_intensive,True
24,0,0,2,tenant-0,L0000,4096,reuse_intensive,False
25,0,6,1,tenant-6,L0006,4096,reuse_intensive,False
26,0,3,0,tenant-3,L0003,4096,reuse_intensive,False
27,0,1,0,tenant-1,L0001,4096,reuse_intensive,False
28,0,1,1,tenant-1,L0001,4096,reuse_intensive,False
29,0,0,0,tenant-0,L0000,4096,reuse_intensive,False
30,0,0,1,tenant-0,L0000,4096,reuse_intensive,False
31,0,29,0,tenant-5,L0029,4096,reuse_intensive,False
32,0,30,0,tenant-6,L0030,4096,reuse_intensive,False
33,0,1,2,tenant-1,L0001,4096,reuse_intensive,False
34,0,0,2,tenant-0,L0000,4096,reuse_intensive,False
35,0,13,1,tenant-5,L0013,4096,reuse_intensive,False
36,0,1,0,tenant-1,L0001,4096,reuse_intensive,False
37,0,12,0,tenant-4,L0012,4096,reuse_intensive,False
38,0,7,0,tenant-7,L0007,4096,reuse_intensive,False
39,0,1,1,tenant-1,L0001,4096,reuse_intensive,False
40,0,1,2,tenant-1,L0001,4096,reuse_intensive,False
41,0,0,0,tenant-0,L0000,4096,reuse_intensive,False
42,0,1,0,tenant-1,L0001,4096,reuse_intensive,False
43,0,2,1,tenant-2,L0002,4096,reuse_intensive,False
44,0,0,1,tenant-0,L0000,4096,reuse_intensive,False
45,0,0,2,tenant-0,L0000,4096,reuse_intensive,False
46,0,0,0,tenant-0,L0000,4096,reuse_intensive,False
47,0,0,1,tenant-0,L0000,4096,reuse_intensive,False
48,0,10,0,tenant-2,L0010,4096,reuse_intensive,False
49,0,3,1,tenant-3,L0003,4096,reuse_intensive,False
50,0,1,1,tenant-1,L0001,4096,reuse_intensive,False
51,0,6,2,tenant-6,L0006,4096,reuse_intensive,False
52,0,58,0,tenant-2,L0058,4096,reuse_intensive,False
53,0,0,2,tenant-0,L0000,4096,reuse_intensive,False
54,0,3,2,tenant-3,L0003,4096,reuse_intensive,False
55,0,0,0,tenant-0,L0000,4096,reuse_intensive,False
56,0,2,2,tenant-2,L0002,4096,reuse_intensive,False
57,0,0,1,tenant-0,L0000,4096,reuse_intensive,False
58,0,0,2,tenant-0,L0000,4096,reuse_intensive,False
59,0,2,0,tenant-2,L0002,4096,reuse_intensive,False
60,1,64,0,tenant-0,L0064,4096,reuse_intensive,False
61,1,69,0,tenant-5,L0069,4096,reuse_intensive,False
62,1,75,0,tenant-3,L0075,4096,reuse_intensive,False
63,1,64,1,tenant-0,L0064,4096,reuse_intensive,False
64,1,67,0,tenant-3,L0067,4096,reuse_intensive,False
65,1,104,0,tenant-0,L0104,4096,reuse_intensive,False
66,1,121,0,tenant-1,L0121,4096,reuse_intensive,False
67,1,64,2,tenant-0,L0064,4096,reuse_intensive,False
68,1,64,0,tenant-0,L0064,4096,reuse_intensive,False
69,1,70,0,tenant-6,L0070,4096,reuse_intensive,False
70,1,96,0,tenant-0,L0096,4096,reuse_intensive,False
71,1,88,0,tenant-0,L0088,4096,reuse_intensive,False
72,1,66,0,tenant-2,L0066,4096,reuse_intensive,False
73,1,64,1,tenant-0,L0064,4096,reuse_intensive,False
74,1,65,0,tenant-1,L0065,4096,reuse_intensive,False
75,1,66,1,tenant-2,L0066,4096,reuse_intensive,False
76,1,64,2,tenant-0,L0064,4096,reuse_intensive,False
77,1,65,1,tenant-1,L0065,4096,reuse_intensive,False
78,1,65,2,tenant-1,L0065,4096,reuse_intensive,False
79,1,65,0,tenant-1,L0065,4096,reuse_intensive,False
80,1,74,0,tenant-2,L0074,4096,reuse_intensive,False
81,1,64,0,tenant-0,L0064,4096,reuse_intensive,False
82,1,65,1,tenant-1,L0065,4096,reuse_intensive,False
83,1,69,1,tenant-5,L0069,4096,reuse_intensive,False
84,1,65,2,tenant-1,L0065,4096,reuse_intensive,False
85,1,106,0,tenant-2,L0106,4096,reuse_intensive,False
86,1,70,1,tenant-6,L0070,4096,reuse_intensive,False
87,1,70,2,tenant-6,L0070,4096,reuse_intensive,False
88,1,64,1,tenant-0,L0064,4096,reuse_intensive,False
89,1,64,2,tenant-0,L0064,4096,reuse_intensive,False
90,1,118,0,tenant-6,L0118,4096,reuse_intensive,False
91,1,64,0,tenant-0,L0064,4096,reuse_intensive,False
92,1,65,0,tenant-1,L0065,4096,reuse_intensive,False
93,1,109,0,tenant-5,L0109,4096,reuse_intensive,False
94,1,65,1,tenant-1,L0065,4096,reuse_intensive,False
95,1,82,0,tenant-2,L0082,4096,reuse_intensive,False
96,1,64,1,tenant-0,L0064,4096,reuse_intensive,False
97,1,65,2,tenant-1,L0065,4096,reuse_intensive,False
98,1,65,0,tenant-1,L0065,4096,reuse_intensive,False
99,1,78,0,tenant-6,L0078,4096,reuse_intensive,False
100,1,71,0,tenant-7,L0071,4096,reuse_intensive,False
101,1,105,0,tenant-1,L0105,4096,reuse_intensive,False
102,1,64,2,tenant-0,L0064,4096,reuse_intensive,False
103,1,64,0,tenant-0,L0064,4096,reuse_intensive,False
104,1,76,0,tenant-4,L0076,4096,reuse_intensive,False
105,1,64,1,tenant-0,L0064,4096,reuse_intensive,False
106,1,89,0,tenant-1,L0089,4096,reuse_intensive,False
107,1,77,0,tenant-5,L0077,4096,reuse_intensive,False
108,1,66,2,tenant-2,L0066,4096,reuse_intensive,False
109,1,72,0,tenant-0,L0072,4096,reuse_intensive,False
110,1,65,1,tenant-1,L0065,4096,reuse_intensive,False
111,1,66,0,tenant-2,L0066,4096,reuse_intensive,False
112,1,82,1,tenant-2,L0082,4096,reuse_intensive,False
113,1,64,2,tenant-0,L0064,4096,reuse_intensive,False
114,1,113,0,tenant-1,L0113,4096,reuse_intensive,False
