experiment_id,experiment,evidence_type,code_commit,model,hardware,cell_id,relay_cell_id,policy,workload,policy_definition,wire_frame_bytes,wire_bytes_per_msg_assumed,rep,repetitions,seed,workload_trace_hash,zipf_alpha,pool_size,lineage_steps,distinct_lineages_total,phase_shift_at_request,n_requests,warmup_request_count,concurrency,fixed_output_tokens,kv_cache_tokens_per_instance_shadow,max_queue_relay,drain_timeout_s,topk,j,guard_ms,prefill_tokens_per_ms,queue_penalty_ms,cell_order_index,cell_order_sequence,generation_mode,vllm_cache_salt,semantic_prompt_contains_policy,metric_scope,status,request_count,overlap_fraction,overlap_seed_prefixes,overlap_seed_requests,cell_active_s,upserts_generated,upserts_per_s,offered_wire_bit_per_s,affinity_selection_rate,dispatch_state_age_defined_count,dispatch_state_age_mean_s,dispatch_state_age_p50_s,dispatch_state_age_p95_s,dispatcher_view_missing_at_dispatch_rate,source_view_false_negative_rate,source_view_false_positive_rate,physical_false_positive_affinity_rate,source_unique_prefixes_at_end,dispatcher_unique_prefixes_at_end,dispatcher_unique_prefixes_per_wire_byte,vllm_cached_token_rate,vllm_cached_tokens_total,vllm_cached_tokens_per_request,stale_fallback_count,stale_fallback_rate,mean_coverage_shortfall_tokens,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,latency_p50_ms,latency_p95_ms,throughput_requests_per_s,validation_attempt_count,validation_failure_count,fallback_count,incorrect_kv_reuse_count,retried_request_count,request_error_rate,rho,sig_bit_per_s,background_traffic,background_rate,relay_max_inflight,source_local_topk,gateway_global_topk,c0_tokens,theta_s,util_lambda,delay_gate_s,queue_gate_frames,prefix_length,source_upserts_sent,source_tombstones_sent,forced_owner_resets,source_suppressed_upserts,net_msgs_sent,net_msgs_delivered,net_wire_bytes_sent,net_undelivered_at_drain_end,ad_delivery_delay_mean_s,ad_delivery_delay_p50_s,ad_delivery_delay_p95_s,ad_delivery_delay_p99_s,tombstone_delay_p95_s,tc_sig_backlog_bytes_before,tc_sig_backlog_bytes_mid,tc_sig_backlog_bytes_after,tc_sig_dropped_after,tc_class110_sent_bytes_after,tc_class120_sent_bytes_after,tc_class120_sent_bytes_before,relay_forwarded,relay_drop_rate_limit,relay_drop_superseded,relay_drop_duplicate_holder,relay_drop_low_utility,relay_drop_queue_drop,relay_drop_expired,relay_max_queue
20260726_formal4t4_reuse_intensive_Ideal_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,5a476f69b2540bb54dfd9ef93034165c4f77de48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,15504,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,0,5,20260726,f6247d209fd75f1d08a3583f33198b11da1a2d4593bf5efd2a565ab6355224bd,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,Adaptive@rho1.2_c0256_theta10,Adaptive@rho1.2_c01024_theta10,Adaptive@rho1.2_c01024_theta20,Adaptive@rho1.2_c0512_theta20,Adaptive@rho1.2_c0512_theta10,Adaptive@rho1.2_c01024_theta60,Adaptive@rho1.2_c0512_theta30,Adaptive@rho1.2_c02048_theta20,Adaptive@rho1.2_c02048_theta30,Adaptive@rho1.2_c0256_theta30,Adaptive@rho1.2_c02048_theta10,Adaptive@rho1.2_c0256_theta20,StaticSemantic@rho1.2,Adaptive@rho1.2_c0256_theta60,Adaptive@rho1.2_c01024_theta30,Adaptive@rho1.2_c0512_theta60,Adaptive@rho1.2_c02048_theta60",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:panel_a:Ideal:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,64.2908029020764,184,2.861995677363945,2381.180403566802,0.2604166666666667,66,4.431849858977578,1.1992979049682617,25.63228702545166,0.0,0.0,0.0,0.0,47,47,0.0,1.0,148416.0,1546.0,0,0.0,0.0,557.3434776875,129.371935,3106.90486,3816.04794,325.948026,3438.071176,1.4932151360159713,25,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0256_theta10_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,5a476f69b2540bb54dfd9ef93034165c4f77de48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Adaptive@rho1.2_c0256_theta10,15505,Adaptive,reuse_intensive,StaticSemantic plus EWMA-delay/queue-aware utility admission and dynamic tightening of the global useful-prefix set.,64,104,0,5,20260726,f6247d209fd75f1d08a3583f33198b11da1a2d4593bf5efd2a565ab6355224bd,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,Adaptive@rho1.2_c0256_theta10,Adaptive@rho1.2_c01024_theta10,Adaptive@rho1.2_c01024_theta20,Adaptive@rho1.2_c0512_theta20,Adaptive@rho1.2_c0512_theta10,Adaptive@rho1.2_c01024_theta60,Adaptive@rho1.2_c0512_theta30,Adaptive@rho1.2_c02048_theta20,Adaptive@rho1.2_c02048_theta30,Adaptive@rho1.2_c0256_theta30,Adaptive@rho1.2_c02048_theta10,Adaptive@rho1.2_c0256_theta20,StaticSemantic@rho1.2,Adaptive@rho1.2_c0256_theta60,Adaptive@rho1.2_c01024_theta30,Adaptive@rho1.2_c0512_theta60,Adaptive@rho1.2_c02048_theta60",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:panel_a:Adaptive@rho1.2_c0256_theta10:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,65.29669536044821,184,2.8179067713042834,2344.498433725164,0.19791666666666666,66,39.02944462949579,35.944491386413574,57.902021169662476,0.34375,0.34375,0.0,0.0,47,29,0.0015154682274247492,1.0,130000.0,1354.1666666666667,0,0.0,0.0,518.2871685729167,137.099502,2641.454513,2800.428026,360.618039,2871.411292,1.4702122285065826,19,0,0,0,0,0.0,1.2,1984,False,none,4,False,16,256.0,10.0,4.0,2.0,8,0,184,0,0,0,184,60,19136,124,5.094186413288116,6.010977268218994,10.87839674949646,11.911870241165161,0.0,0,458,0,0,255044,1302,1302,60,0,7,38,79,0,0,7
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c01024_theta10_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,5a476f69b2540bb54dfd9ef93034165c4f77de48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Adaptive@rho1.2_c01024_theta10,15506,Adaptive,reuse_intensive,StaticSemantic plus EWMA-delay/queue-aware utility admission and dynamic tightening of the global useful-prefix set.,64,104,0,5,20260726,f6247d209fd75f1d08a3583f33198b11da1a2d4593bf5efd2a565ab6355224bd,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,2,"Ideal,Adaptive@rho1.2_c0256_theta10,Adaptive@rho1.2_c01024_theta10,Adaptive@rho1.2_c01024_theta20,Adaptive@rho1.2_c0512_theta20,Adaptive@rho1.2_c0512_theta10,Adaptive@rho1.2_c01024_theta60,Adaptive@rho1.2_c0512_theta30,Adaptive@rho1.2_c02048_theta20,Adaptive@rho1.2_c02048_theta30,Adaptive@rho1.2_c0256_theta30,Adaptive@rho1.2_c02048_theta10,Adaptive@rho1.2_c0256_theta20,StaticSemantic@rho1.2,Adaptive@rho1.2_c0256_theta60,Adaptive@rho1.2_c01024_theta30,Adaptive@rho1.2_c0512_theta60,Adaptive@rho1.2_c02048_theta60",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:panel_a:Adaptive@rho1.2_c01024_theta10:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,65.83660334674641,184,2.7947978882038287,2325.2718429855854,0.3333333333333333,66,28.209311030127786,33.10898780822754,48.914488077163696,0.17708333333333334,0.17708333333333334,0.0,0.0,47,26,0.001358695652173913,1.0,140224.0,1460.6666666666667,0,0.0,0.0,561.79435575,164.598991,2676.848862,2857.311164,377.100298,3008.96905,1.4581554199324323,32,0,0,0,0,0.0,1.2,1984,False,none,4,False,16,1024.0,10.0,16.0,2.0,8,0,184,0,0,0,184,60,19136,124,4.735041761398316,4.920182704925537,7.274568796157837,7.33921217918396,0.0,0,326,0,0,264716,1302,1302,60,0,12,35,77,0,0,6
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c01024_theta20_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,5a476f69b2540bb54dfd9ef93034165c4f77de48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Adaptive@rho1.2_c01024_theta20,15507,Adaptive,reuse_intensive,StaticSemantic plus EWMA-delay/queue-aware utility admission and dynamic tightening of the global useful-prefix set.,64,104,0,5,20260726,f6247d209fd75f1d08a3583f33198b11da1a2d4593bf5efd2a565ab6355224bd,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,3,"Ideal,Adaptive@rho1.2_c0256_theta10,Adaptive@rho1.2_c01024_theta10,Adaptive@rho1.2_c01024_theta20,Adaptive@rho1.2_c0512_theta20,Adaptive@rho1.2_c0512_theta10,Adaptive@rho1.2_c01024_theta60,Adaptive@rho1.2_c0512_theta30,Adaptive@rho1.2_c02048_theta20,Adaptive@rho1.2_c02048_theta30,Adaptive@rho1.2_c0256_theta30,Adaptive@rho1.2_c02048_theta10,Adaptive@rho1.2_c0256_theta20,StaticSemantic@rho1.2,Adaptive@rho1.2_c0256_theta60,Adaptive@rho1.2_c01024_theta30,Adaptive@rho1.2_c0512_theta60,Adaptive@rho1.2_c02048_theta60",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:panel_a:Adaptive@rho1.2_c01024_theta20:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,69.08793200785294,184,2.6632726534510467,2215.8428476712706,0.3541666666666667,66,35.66007202683073,34.29598331451416,62.108903646469116,0.2916666666666667,0.2916666666666667,0.0,0.0,47,30,0.0015677257525083612,1.0,130000.0,1354.1666666666667,0,0.0,0.0,577.53846096875,171.63249,2617.350202,3500.745956,407.313518,2844.531376,1.3895335583222852,34,0,0,0,0,0.0,1.2,1984,False,none,4,False,16,1024.0,20.0,16.0,2.0,8,0,184,0,0,0,184,59,19136,125,6.397251242298191,7.18951416015625,10.041556596755981,10.197575092315674,0.0,0,522,0,0,275278,1302,1302,59,0,7,38,80,0,0,7
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0512_theta20_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,5a476f69b2540bb54dfd9ef93034165c4f77de48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Adaptive@rho1.2_c0512_theta20,15508,Adaptive,reuse_intensive,StaticSemantic plus EWMA-delay/queue-aware utility admission and dynamic tightening of the global useful-prefix set.,64,104,0,5,20260726,f6247d209fd75f1d08a3583f33198b11da1a2d4593bf5efd2a565ab6355224bd,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,4,"Ideal,Adaptive@rho1.2_c0256_theta10,Adaptive@rho1.2_c01024_theta10,Adaptive@rho1.2_c01024_theta20,Adaptive@rho1.2_c0512_theta20,Adaptive@rho1.2_c0512_theta10,Adaptive@rho1.2_c01024_theta60,Adaptive@rho1.2_c0512_theta30,Adaptive@rho1.2_c02048_theta20,Adaptive@rho1.2_c02048_theta30,Adaptive@rho1.2_c0256_theta30,Adaptive@rho1.2_c02048_theta10,Adaptive@rho1.2_c0256_theta20,StaticSemantic@rho1.2,Adaptive@rho1.2_c0256_theta60,Adaptive@rho1.2_c01024_theta30,Adaptive@rho1.2_c0512_theta60,Adaptive@rho1.2_c02048_theta60",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:panel_a:Adaptive@rho1.2_c0512_theta20:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,66.77854905696586,184,2.75537582949036,2292.4726901359795,0.3333333333333333,66,36.44508338335788,36.05872631072998,60.401673793792725,0.2708333333333333,0.2708333333333333,0.0,0.0,47,29,0.0015154682274247492,1.0,130000.0,1354.1666666666667,0,0.0,0.0,535.97995934375,149.284549,2613.895368,2702.230324,409.021936,2841.505438,1.4375873892993183,32,0,0,0,0,0.0,1.2,1984,False,none,4,False,16,512.0,20.0,8.0,2.0,8,0,184,0,0,0,184,62,19136,122,6.808378992542144,7.230569362640381,10.054025650024414,10.243278980255127,0.0,0,326,0,0,285274,1302,1302,62,0,7,39,76,0,0,8
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0512_theta10_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,5a476f69b2540bb54dfd9ef93034165c4f77de48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Adaptive@rho1.2_c0512_theta10,15509,Adaptive,reuse_intensive,StaticSemantic plus EWMA-delay/queue-aware utility admission and dynamic tightening of the global useful-prefix set.,64,104,0,5,20260726,f6247d209fd75f1d08a3583f33198b11da1a2d4593bf5efd2a565ab6355224bd,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,5,"Ideal,Adaptive@rho1.2_c0256_theta10,Adaptive@rho1.2_c01024_theta10,Adaptive@rho1.2_c01024_theta20,Adaptive@rho1.2_c0512_theta20,Adaptive@rho1.2_c0512_theta10,Adaptive@rho1.2_c01024_theta60,Adaptive@rho1.2_c0512_theta30,Adaptive@rho1.2_c02048_theta20,Adaptive@rho1.2_c02048_theta30,Adaptive@rho1.2_c0256_theta30,Adaptive@rho1.2_c02048_theta10,Adaptive@rho1.2_c0256_theta20,StaticSemantic@rho1.2,Adaptive@rho1.2_c0256_theta60,Adaptive@rho1.2_c01024_theta30,Adaptive@rho1.2_c0512_theta60,Adaptive@rho1.2_c02048_theta60",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:panel_a:Adaptive@rho1.2_c0512_theta10:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,72.97396430000663,184,2.5214472279942077,2097.844093691181,0.2708333333333333,66,36.68511270754265,38.189122676849365,58.25802206993103,0.23958333333333334,0.23958333333333334,0.0,0.0,47,32,0.0016722408026755853,1.0,136128.0,1418.0,0,0.0,0.0,557.3647125416667,152.706632,2754.163286,3434.288254,420.695707,2991.094391,1.315537684170891,26,0,0,0,0,0.0,1.2,1984,False,none,4,False,16,512.0,10.0,8.0,2.0,8,0,184,0,0,0,184,66,19136,118,6.438168395649303,6.5580995082855225,9.730318546295166,10.007218360900879,0.0,0,326,0,0,295922,1302,1302,66,0,8,38,72,0,0,7
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c01024_theta60_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,5a476f69b2540bb54dfd9ef93034165c4f77de48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Adaptive@rho1.2_c01024_theta60,15510,Adaptive,reuse_intensive,StaticSemantic plus EWMA-delay/queue-aware utility admission and dynamic tightening of the global useful-prefix set.,64,104,0,5,20260726,f6247d209fd75f1d08a3583f33198b11da1a2d4593bf5efd2a565ab6355224bd,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,6,"Ideal,Adaptive@rho1.2_c0256_theta10,Adaptive@rho1.2_c01024_theta10,Adaptive@rho1.2_c01024_theta20,Adaptive@rho1.2_c0512_theta20,Adaptive@rho1.2_c0512_theta10,Adaptive@rho1.2_c01024_theta60,Adaptive@rho1.2_c0512_theta30,Adaptive@rho1.2_c02048_theta20,Adaptive@rho1.2_c02048_theta30,Adaptive@rho1.2_c0256_theta30,Adaptive@rho1.2_c02048_theta10,Adaptive@rho1.2_c0256_theta20,StaticSemantic@rho1.2,Adaptive@rho1.2_c0256_theta60,Adaptive@rho1.2_c01024_theta30,Adaptive@rho1.2_c0512_theta60,Adaptive@rho1.2_c02048_theta60",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:panel_a:Adaptive@rho1.2_c01024_theta60:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,75.11177736381069,184,2.449682412769696,2038.135767424387,0.2604166666666667,66,43.69198907144142,40.55965232849121,69.2125563621521,0.3125,0.3125,0.0,0.0,47,29,0.0015154682274247492,1.0,134096.0,1396.8333333333333,0,0.0,0.0,562.5279869479167,173.095019,2760.451335,2997.388539,412.171041,2983.20282,1.2780951718798415,25,0,0,0,0,0.0,1.2,1984,False,none,4,False,16,1024.0,60.0,16.0,2.0,8,0,184,0,0,0,184,61,19136,123,7.060708018599963,8.04668641090393,11.206172704696655,12.237110137939453,0.0,0,458,0,0,307306,1302,1302,61,0,6,38,79,0,0,7
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c0512_theta30_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,5a476f69b2540bb54dfd9ef93034165c4f77de48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Adaptive@rho1.2_c0512_theta30,15511,Adaptive,reuse_intensive,StaticSemantic plus EWMA-delay/queue-aware utility admission and dynamic tightening of the global useful-prefix set.,64,104,0,5,20260726,f6247d209fd75f1d08a3583f33198b11da1a2d4593bf5efd2a565ab6355224bd,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,7,"Ideal,Adaptive@rho1.2_c0256_theta10,Adaptive@rho1.2_c01024_theta10,Adaptive@rho1.2_c01024_theta20,Adaptive@rho1.2_c0512_theta20,Adaptive@rho1.2_c0512_theta10,Adaptive@rho1.2_c01024_theta60,Adaptive@rho1.2_c0512_theta30,Adaptive@rho1.2_c02048_theta20,Adaptive@rho1.2_c02048_theta30,Adaptive@rho1.2_c0256_theta30,Adaptive@rho1.2_c02048_theta10,Adaptive@rho1.2_c0256_theta20,StaticSemantic@rho1.2,Adaptive@rho1.2_c0256_theta60,Adaptive@rho1.2_c01024_theta30,Adaptive@rho1.2_c0512_theta60,Adaptive@rho1.2_c02048_theta60",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:panel_a:Adaptive@rho1.2_c0512_theta30:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,75.45553099317476,184,2.438522366460366,2028.8506088950244,0.3333333333333333,66,38.33736624500968,38.7214412689209,67.11643552780151,0.25,0.25,0.0,0.0,47,32,0.0016722408026755853,1.0,132032.0,1375.3333333333333,0,0.0,0.0,598.770103625,222.561132,3039.904105,3645.588677,476.716228,3302.31857,1.2722725390227996,32,0,0,0,0,0.0,1.2,1984,False,none,4,False,16,512.0,30.0,8.0,2.0,8,0,184,0,0,0,184,69,19136,115,6.265370137449624,6.990573167800903,9.3141610622406,10.165974378585815,0.0,0,260,0,0,318278,1302,1302,69,0,6,40,69,0,0,7
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c02048_theta20_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,5a476f69b2540bb54dfd9ef93034165c4f77de48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Adaptive@rho1.2_c02048_theta20,15512,Adaptive,reuse_intensive,StaticSemantic plus EWMA-delay/queue-aware utility admission and dynamic tightening of the global useful-prefix set.,64,104,0,5,20260726,f6247d209fd75f1d08a3583f33198b11da1a2d4593bf5efd2a565ab6355224bd,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,8,"Ideal,Adaptive@rho1.2_c0256_theta10,Adaptive@rho1.2_c01024_theta10,Adaptive@rho1.2_c01024_theta20,Adaptive@rho1.2_c0512_theta20,Adaptive@rho1.2_c0512_theta10,Adaptive@rho1.2_c01024_theta60,Adaptive@rho1.2_c0512_theta30,Adaptive@rho1.2_c02048_theta20,Adaptive@rho1.2_c02048_theta30,Adaptive@rho1.2_c0256_theta30,Adaptive@rho1.2_c02048_theta10,Adaptive@rho1.2_c0256_theta20,StaticSemantic@rho1.2,Adaptive@rho1.2_c0256_theta60,Adaptive@rho1.2_c01024_theta30,Adaptive@rho1.2_c0512_theta60,Adaptive@rho1.2_c02048_theta60",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:panel_a:Adaptive@rho1.2_c02048_theta20:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,78.23866630904377,184,2.3517783300803923,1956.6795706268865,0.20833333333333334,66,45.19950570482196,43.40307974815369,71.21653747558594,0.3645833333333333,0.3645833333333333,0.0,0.0,47,18,0.0009406354515050167,1.0,132032.0,1375.3333333333333,0,0.0,0.0,587.9535468958334,160.222916,2925.451558,3466.014734,403.843503,3182.570005,1.227014780911509,20,0,0,0,0,0.0,1.2,1984,False,none,4,False,16,2048.0,20.0,32.0,2.0,8,0,184,0,0,0,184,43,19136,141,3.1092193015786105,2.4627273082733154,8.939900636672974,9.775748014450073,0.0,0,0,0,0,327124,1302,1302,43,0,1,24,116,0,0,7
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c02048_theta30_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,5a476f69b2540bb54dfd9ef93034165c4f77de48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Adaptive@rho1.2_c02048_theta30,15513,Adaptive,reuse_intensive,StaticSemantic plus EWMA-delay/queue-aware utility admission and dynamic tightening of the global useful-prefix set.,64,104,0,5,20260726,f6247d209fd75f1d08a3583f33198b11da1a2d4593bf5efd2a565ab6355224bd,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,9,"Ideal,Adaptive@rho1.2_c0256_theta10,Adaptive@rho1.2_c01024_theta10,Adaptive@rho1.2_c01024_theta20,Adaptive@rho1.2_c0512_theta20,Adaptive@rho1.2_c0512_theta10,Adaptive@rho1.2_c01024_theta60,Adaptive@rho1.2_c0512_theta30,Adaptive@rho1.2_c02048_theta20,Adaptive@rho1.2_c02048_theta30,Adaptive@rho1.2_c0256_theta30,Adaptive@rho1.2_c02048_theta10,Adaptive@rho1.2_c0256_theta20,StaticSemantic@rho1.2,Adaptive@rho1.2_c0256_theta60,Adaptive@rho1.2_c01024_theta30,Adaptive@rho1.2_c0512_theta60,Adaptive@rho1.2_c02048_theta60",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:panel_a:Adaptive@rho1.2_c02048_theta30:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,80.26257679518312,184,2.292475613753813,1907.3397106431726,0.25,66,46.8814147494056,43.994351387023926,72.27381587028503,0.3333333333333333,0.3333333333333333,0.0,0.0,47,22,0.001149665551839465,1.0,129984.0,1354.0,0,0.0,0.0,604.15345078125,158.903778,2666.274077,3837.120697,427.912797,2916.126645,1.196074233262859,24,0,0,0,0,0.0,1.2,1984,False,none,4,False,16,2048.0,30.0,32.0,2.0,8,0,184,0,0,0,184,49,19136,135,2.1434562595523134,0.00359344482421875,11.059412240982056,12.696405172348022,0.0,0,198,0,0,337398,1302,1302,49,0,5,32,98,0,0,7
