experiment_id,experiment,evidence_type,code_commit,model,hardware,cell_id,relay_cell_id,policy,workload,policy_definition,wire_frame_bytes,wire_bytes_per_msg_assumed,rep,repetitions,seed,workload_trace_hash,zipf_alpha,pool_size,lineage_steps,distinct_lineages_total,phase_shift_at_request,n_requests,warmup_request_count,concurrency,fixed_output_tokens,kv_cache_tokens_per_instance_shadow,max_queue_relay,drain_timeout_s,topk,j,guard_ms,prefill_tokens_per_ms,queue_penalty_ms,cell_order_index,cell_order_sequence,generation_mode,vllm_cache_salt,semantic_prompt_contains_policy,metric_scope,status,request_count,overlap_fraction,overlap_seed_prefixes,overlap_seed_requests,cell_active_s,upserts_generated,upserts_per_s,offered_wire_bit_per_s,affinity_selection_rate,dispatch_state_age_defined_count,dispatch_state_age_mean_s,dispatch_state_age_p50_s,dispatch_state_age_p95_s,dispatcher_view_missing_at_dispatch_rate,source_view_false_negative_rate,source_view_false_positive_rate,physical_false_positive_affinity_rate,source_unique_prefixes_at_end,dispatcher_unique_prefixes_at_end,dispatcher_unique_prefixes_per_wire_byte,vllm_cached_token_rate,vllm_cached_tokens_total,vllm_cached_tokens_per_request,stale_fallback_count,stale_fallback_rate,mean_coverage_shortfall_tokens,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,latency_p50_ms,latency_p95_ms,throughput_requests_per_s,validation_attempt_count,validation_failure_count,fallback_count,incorrect_kv_reuse_count,retried_request_count,request_error_rate,rho,sig_bit_per_s,background_traffic,background_rate,relay_max_inflight,source_local_topk,gateway_global_topk,c0_tokens,theta_s,util_lambda,delay_gate_s,queue_gate_frames,prefix_length,source_upserts_sent,source_tombstones_sent,forced_owner_resets,source_suppressed_upserts,net_msgs_sent,net_msgs_delivered,net_wire_bytes_sent,net_undelivered_at_drain_end,ad_delivery_delay_mean_s,ad_delivery_delay_p50_s,ad_delivery_delay_p95_s,ad_delivery_delay_p99_s,tombstone_delay_p95_s,tc_sig_backlog_bytes_before,tc_sig_backlog_bytes_mid,tc_sig_backlog_bytes_after,tc_sig_dropped_after,tc_class110_sent_bytes_after,tc_class120_sent_bytes_after,tc_class120_sent_bytes_before,relay_forwarded,relay_drop_rate_limit,relay_drop_superseded,relay_drop_duplicate_holder,relay_drop_low_utility,relay_drop_queue_drop,relay_drop_expired,relay_max_queue
20260726_formal4t4_reuse_intensive_Ideal_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,4f09a541090cf3c8249425d83f1c0ef1012ec1d8,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,7084,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,0,5,20260726,daa272d3fc97cebf265fd92587cca0359fc6612cfcc1498a04a558465333f310,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,Adaptive@rho1.2_c01024_theta30,StaticSemantic@rho1.2,RateFIFO@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:panel_b_L4096:Ideal:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,343.03291290579364,184,0.5363916786915764,446.27787667139165,0.2604166666666667,66,26.716523510037046,10.123033285140991,128.10481882095337,0.0,0.0,0.0,0.0,47,47,0.0,1.0,273344.0,2847.3333333333335,0,0.0,0.0,3601.778174177083,466.392963,9435.350812,9736.193739,1216.787463,10623.841311,0.27985652801299643,25,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c01024_theta30_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,4f09a541090cf3c8249425d83f1c0ef1012ec1d8,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Adaptive@rho1.2_c01024_theta30,7085,Adaptive,reuse_intensive,StaticSemantic plus EWMA-delay/queue-aware utility admission and dynamic tightening of the global useful-prefix set.,64,104,0,5,20260726,daa272d3fc97cebf265fd92587cca0359fc6612cfcc1498a04a558465333f310,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,Adaptive@rho1.2_c01024_theta30,StaticSemantic@rho1.2,RateFIFO@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:panel_b_L4096:Adaptive@rho1.2_c01024_theta30:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,359.6002936270088,184,0.5116792262434909,425.71711623458447,0.34375,66,174.24092215118986,176.41995882987976,331.78675174713135,0.20833333333333334,0.20833333333333334,0.0,0.0,47,27,0.0013957816377171215,1.0,244672.0,2548.6666666666665,0,0.0,0.0,3978.740372,786.190061,9172.370568,9436.624445,1958.715674,10551.615431,0.26696307456182133,33,0,0,0,0,0.0,1.2,371,False,none,4,False,16,1024.0,30.0,16.0,2.0,8,4096,184,2,0,0,186,50,19344,136,23.526507177352904,31.73809790611267,42.7552125453949,44.597447872161865,0.0,0,458,522,0,1541016,4578,4536,54,0,16,33,79,0,0,6
20260726_formal4t4_reuse_intensive_StaticSemantic@rho1.2_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,4f09a541090cf3c8249425d83f1c0ef1012ec1d8,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,StaticSemantic@rho1.2,7086,StaticSemantic,reuse_intensive,"Static semantic aggregation: latest-update replacement, non-preemptive invalidation priority, and at-most-two queued/advertised owners per prefix.",64,104,0,5,20260726,daa272d3fc97cebf265fd92587cca0359fc6612cfcc1498a04a558465333f310,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,2,"Ideal,Adaptive@rho1.2_c01024_theta30,StaticSemantic@rho1.2,RateFIFO@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:panel_b_L4096:StaticSemantic@rho1.2:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,358.309963197913,184,0.5135218634664851,427.25019040411564,0.25,66,230.55850344354457,202.04487776756287,339.41518211364746,0.3645833333333333,0.3645833333333333,0.0,0.0,47,21,0.0010740589198036006,1.0,236480.0,2463.3333333333335,0,0.0,0.0,3764.5099370104167,558.02291,9067.578939,9688.55834,1696.582113,9839.843947,0.2679244505042531,24,0,0,0,0,0.0,1.2,371,False,none,4,False,0,,,,2.0,8,4096,184,4,0,0,188,44,19552,144,89.06127428426976,85.79361915588379,149.39780688285828,155.20794987678528,30.73802661895752,456,456,522,0,1549466,4578,4578,48,0,48,52,0,0,0,41
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.2_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,4f09a541090cf3c8249425d83f1c0ef1012ec1d8,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,RateFIFO@rho1.2,7087,RateFIFO,reuse_intensive,FIFO plus only a token bucket at the same physical signaling rate; no KV-state semantics.,64,104,0,5,20260726,daa272d3fc97cebf265fd92587cca0359fc6612cfcc1498a04a558465333f310,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,3,"Ideal,Adaptive@rho1.2_c01024_theta30,StaticSemantic@rho1.2,RateFIFO@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:panel_b_L4096:RateFIFO@rho1.2:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,380.29625023528934,184,0.48383332700798176,402.5493280706408,0.5416666666666666,66,109.15039892991383,50.55641484260559,292.2178301811218,0.11458333333333333,0.11458333333333333,0.0,0.0,47,28,0.001463210702341137,1.0,256960.0,2676.6666666666665,0,0.0,0.0,4236.605831895833,1336.179721,9784.504535,10149.106492,3309.802876,10812.164193,0.2524347793085122,52,0,0,0,0,0.0,1.2,371,False,none,4,False,0,,,,2.0,8,4096,184,0,0,0,184,45,19136,139,12.631691895590889,13.153533458709717,22.527529001235962,31.6661593914032,0.0,456,196,0,0,1558352,4578,4578,45,139,0,0,0,0,0,2
20260726_formal4t4_reuse_intensive_Ideal_rep1,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,4f09a541090cf3c8249425d83f1c0ef1012ec1d8,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,7088,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,1,5,20260726,9250b8d6f5d2bd506e4aeba32a8e7f4f01f01672e5f48685648ae36d1cc54074,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,Adaptive@rho1.2_c01024_theta30,RateFIFO@rho1.2,StaticSemantic@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:panel_b_L4096:Ideal:rep1,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,371.6868937923573,184,0.4950403231134416,411.8735488303834,0.2604166666666667,59,39.68799151404429,24.615699768066406,146.41066455841064,0.0,0.0,0.0,0.0,59,59,0.0,1.0,244688.0,2548.8333333333335,0,0.0,0.0,4111.911255375,854.494456,9455.74948,9684.046947,2218.547927,10662.345303,0.25828190771136084,25,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_c01024_theta30_rep1,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,4f09a541090cf3c8249425d83f1c0ef1012ec1d8,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Adaptive@rho1.2_c01024_theta30,7089,Adaptive,reuse_intensive,StaticSemantic plus EWMA-delay/queue-aware utility admission and dynamic tightening of the global useful-prefix set.,64,104,1,5,20260726,9250b8d6f5d2bd506e4aeba32a8e7f4f01f01672e5f48685648ae36d1cc54074,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,Adaptive@rho1.2_c01024_theta30,RateFIFO@rho1.2,StaticSemantic@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:panel_b_L4096:Adaptive@rho1.2_c01024_theta30:rep1,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,396.94553311215714,184,0.463539666405594,385.6650024494542,0.19791666666666666,59,224.7851015915305,218.8361301422119,367.33826756477356,0.3229166666666667,0.3229166666666667,0.0,0.0,59,27,0.001338223632038065,1.0,191440.0,1994.1666666666667,0,0.0,0.0,4894.32554775,7991.246061,9385.456214,9889.59292,8698.372398,10146.828015,0.24184678247248384,19,0,0,0,0,0.0,1.2,343,False,none,4,False,16,1024.0,30.0,16.0,2.0,8,4096,184,10,0,0,194,49,20176,145,25.524985593298208,30.51081371307373,51.737021923065186,55.24427819252014,39.09772515296936,0,522,522,0,1568080,5292,5292,53,0,1,35,97,0,0,9
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.2_rep1,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,4f09a541090cf3c8249425d83f1c0ef1012ec1d8,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,RateFIFO@rho1.2,7090,RateFIFO,reuse_intensive,FIFO plus only a token bucket at the same physical signaling rate; no KV-state semantics.,64,104,1,5,20260726,9250b8d6f5d2bd506e4aeba32a8e7f4f01f01672e5f48685648ae36d1cc54074,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,2,"Ideal,Adaptive@rho1.2_c01024_theta30,RateFIFO@rho1.2,StaticSemantic@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:panel_b_L4096:RateFIFO@rho1.2:rep1,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,410.2391230468638,184,0.44851889949799034,373.16772438232795,0.28125,59,200.5539972135576,169.41707563400269,380.6230447292328,0.2708333333333333,0.2708333333333333,0.0,0.0,59,32,0.0015461925009663702,1.0,175056.0,1823.5,0,0.0,0.0,5951.020801520834,8485.71686,9598.587805,10742.379024,9188.064642,10981.765949,0.2340098606076471,27,0,0,0,0,0.0,1.2,343,False,none,4,False,0,,,,2.0,8,4096,184,15,0,0,199,45,20696,154,25.624683470196196,26.158289194107056,37.263978004455566,40.72973823547363,0.0,456,328,196,0,1576900,5292,5292,46,153,0,0,0,0,0,2
20260726_formal4t4_reuse_intensive_StaticSemantic@rho1.2_rep1,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,4f09a541090cf3c8249425d83f1c0ef1012ec1d8,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,StaticSemantic@rho1.2,7091,StaticSemantic,reuse_intensive,"Static semantic aggregation: latest-update replacement, non-preemptive invalidation priority, and at-most-two queued/advertised owners per prefix.",64,104,1,5,20260726,9250b8d6f5d2bd506e4aeba32a8e7f4f01f01672e5f48685648ae36d1cc54074,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,3,"Ideal,Adaptive@rho1.2_c01024_theta30,RateFIFO@rho1.2,StaticSemantic@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:panel_b_L4096:StaticSemantic@rho1.2:rep1,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,400.2544572916813,184,0.45970756014819814,382.4766900433009,0.13541666666666666,59,265.05610421552495,278.9582049846649,380.6638321876526,0.3541666666666667,0.3541666666666667,0.0,0.0,59,26,0.0012755102040816326,1.0,183248.0,1908.8333333333333,0,0.0,0.0,4971.00606978125,8088.274169,9474.221629,9908.460242,8776.762854,10261.017787,0.23984742268601644,13,0,0,0,0,0.0,1.2,343,False,none,4,False,0,,,,2.0,8,4096,184,12,0,0,196,48,20384,148,97.49201547062916,95.79469537734985,160.8834204673767,177.57530546188354,36.545464515686035,66,458,456,0,1585456,5292,5292,52,0,39,43,0,0,0,62
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.2_rep2,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,4f09a541090cf3c8249425d83f1c0ef1012ec1d8,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,RateFIFO@rho1.2,7092,RateFIFO,reuse_intensive,FIFO plus only a token bucket at the same physical signaling rate; no KV-state semantics.,64,104,2,5,20260726,9407d512a24512aec589553daa22c34709037c4c456122b62463344763d10882,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"RateFIFO@rho1.2,Ideal,StaticSemantic@rho1.2,Adaptive@rho1.2_c01024_theta30",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:panel_b_L4096:RateFIFO@rho1.2:rep2,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,382.23628263315186,184,0.4813776408991307,400.50619722807676,0.3958333333333333,61,153.7787088331629,123.98404550552368,331.439733505249,0.1875,0.1875,0.0,0.0,52,29,0.0014676113360323887,1.0,224224.0,2335.6666666666665,0,0.0,0.0,4683.815816864583,1486.193011,9621.570767,10809.281977,3451.189451,10518.716384,0.2511535517734595,38,0,0,0,0,0.0,1.2,343,False,none,4,False,0,,,,2.0,8,4096,184,6,0,0,190,43,19760,147,28.57247820565867,28.725147247314453,38.747827768325806,43.28867793083191,0.0,456,458,392,0,1593620,5292,5292,46,144,0,0,0,0,0,2
20260726_formal4t4_reuse_intensive_Ideal_rep2,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,4f09a541090cf3c8249425d83f1c0ef1012ec1d8,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,7093,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,2,5,20260726,9407d512a24512aec589553daa22c34709037c4c456122b62463344763d10882,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"RateFIFO@rho1.2,Ideal,StaticSemantic@rho1.2,Adaptive@rho1.2_c01024_theta30",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:panel_b_L4096:Ideal:rep2,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,350.793919777032,184,0.524524484680214,436.404371253938,0.15625,61,38.043451320929606,19.59903073310852,135.43488669395447,0.0,0.0,0.0,0.0,52,52,0.0,1.0,252896.0,2634.3333333333335,0,0.0,0.0,3789.13387465625,468.147127,9523.729156,9978.192627,1253.39931,10409.18312,0.27366494852880724,15,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
