rep,cell_id,policy,workload,rho,saved_prefill_retention_vs_ideal,delta_ttft_mean_ms_vs_ideal,delta_ttft_p95_ms_vs_ideal,delta_stale_fallback_rate_vs_ideal
0,Adaptive@rho1.2_c01024_theta30,Adaptive,reuse_intensive,1.2,0.8962482630847615,-3.5826163229166923,-37.463310999999976,0.0
0,StaticSemantic@rho1.2,StaticSemantic,reuse_intensive,1.2,0.8666049096804076,27.44371136458335,-62.86031800000001,0.0
0,RateFIFO@rho1.2,RateFIFO,reuse_intensive,1.2,0.9110699397869384,260.8243195625,266.9572030000004,0.0
1,Adaptive@rho1.2_c01024_theta30,Adaptive,reuse_intensive,1.2,0.7520992119881152,246.32413236458342,-53.93454700000029,0.0
1,RateFIFO@rho1.2,RateFIFO,reuse_intensive,1.2,0.768505361064462,335.05010282291664,51.11808699999983,0.0
1,StaticSemantic@rho1.2,StaticSemantic,reuse_intensive,1.2,0.7354346983593851,197.49470852083323,-94.24504500000012,0.0
2,RateFIFO@rho1.2,RateFIFO,reuse_intensive,1.2,0.8879719929982496,297.5926203541667,16.62809100000004,0.0
2,StaticSemantic@rho1.2,StaticSemantic,reuse_intensive,1.2,0.7919479869967492,265.565265125,-45.990236000000095,0.0
2,Adaptive@rho1.2_c01024_theta30,Adaptive,reuse_intensive,1.2,0.8399599899974993,244.2280254479167,54.256073000000015,0.0
3,Adaptive@rho1.2_c01024_theta30,Adaptive,reuse_intensive,1.2,0.8344106240451287,260.7233691562501,55.53757500000029,0.0
3,RateFIFO@rho1.2,RateFIFO,reuse_intensive,1.2,0.804559877776472,408.6769747083333,-27.995272999999997,0.0
3,StaticSemantic@rho1.2,StaticSemantic,reuse_intensive,1.2,0.7892819367728288,320.9725583229167,79.22813300000007,0.0
4,RateFIFO@rho1.2,RateFIFO,reuse_intensive,1.2,0.8814403149241635,266.8885990937499,206.00459,0.0
4,StaticSemantic@rho1.2,StaticSemantic,reuse_intensive,1.2,0.8516846127127475,307.10795579166665,44.55489499999976,0.0
4,Adaptive@rho1.2_c01024_theta30,Adaptive,reuse_intensive,1.2,0.8667361352321408,344.3454406666667,158.56165199999987,0.0
