c0_tokens,theta_s,n_reps,delta_ttft_ms_mean,delta_ttft_ms_ci95,ci_includes_zero,paper_point
256,10,5,33.94892160416664,167.36081952803016,True,0
256,20,5,36.11225314166661,184.28311058075823,True,0
256,30,5,31.609414570833337,102.14052959619859,True,0
256,60,5,-69.02776770625005,142.15085311143991,True,0
512,10,5,124.76597558958329,116.95358045544376,False,0
512,20,5,72.6282266291666,152.96122735626838,True,0
512,30,5,-9.46794793958336,121.19559801819142,True,0
512,60,5,2.6947461458332556,48.53514298128925,True,0
1024,10,5,94.57555998124997,179.85170443461726,True,0
1024,20,5,94.04652678749994,136.17266102995816,True,0
1024,30,5,64.79517075833333,131.41840699809632,True,1
1024,60,5,26.036314870833326,64.82941816338774,True,0
2048,10,5,-5.775304233333372,91.98653615666994,True,0
2048,20,5,86.68932282291664,110.39526849375108,True,0
2048,30,5,31.049416645833368,101.16830901742135,True,0
2048,60,5,86.24724702708332,115.38165343370406,True,0
