prefix_length,policy,n_reps,ttft_mean_ms,ttft_ci95_ms,view_missing_mean,view_missing_ci95,relay_forwarded_mean,relay_forwarded_ci95
1024,RateFIFO,5,459.3328443291666,25.146860074700882,0.16458333333333336,0.05300474952513428,46.0,0.0
1024,StaticSemantic,5,404.8134869125,28.305634832171283,0.3625,0.031891852843285495,96.0,6.761289817778853
1024,Adaptive,5,408.76594055,26.916544267053265,0.38541666666666663,0.051245426625212115,30.8,5.626258437007671
2048,RateFIFO,5,1426.19461686875,92.50409699120901,0.20208333333333334,0.047268000686393426,46.0,0.0
2048,StaticSemantic,5,1336.1049333854166,105.12495483085144,0.3666666666666667,0.03500729090727625,81.2,3.840799916684023
2048,Adaptive,5,1330.7957638229168,126.2509563500388,0.29791666666666666,0.0368632514240884,56.6,4.903918433253147
4096,RateFIFO,5,4729.605740683333,641.1769743033691,0.19375,0.05025984563578893,45.6,0.4800999895855029
4096,StaticSemantic,5,4504.552080379167,391.4129403158992,0.37083333333333335,0.033298575628529344,54.2,3.6352584502343155
4096,Adaptive,5,4453.21139411875,312.08361764502155,0.24166666666666664,0.04350235466168598,51.0,2.055665342413497
8192,RateFIFO,5,5911.470646477083,614.0198235695469,0.16666666666666669,0.052847231347641216,39.6,2.017943507633452
8192,StaticSemantic,5,5360.266410870833,713.8630841688225,0.4729166666666667,0.09391666666666666,61.4,4.495199216942448
8192,Adaptive,5,5404.97620145,799.5131910139706,0.4541666666666667,0.08531137819775272,56.8,5.522889099013305
