experiment_id,rep,cell_id,policy,rho,workload,event,cell,update_id,owner,prefix_digest64,op,generation_time,dispatcher_arrival_time,coverage_tokens,payload_bytes
20260726_formal4t4_reuse_intensive_StaticSemantic@N4_mu0_rep0,0,StaticSemantic@N4_mu0,StaticSemantic,0.0,reuse_intensive,dispatcher_arrival,45588,0,0,15769623694692820738,upsert,1789899418.0283668,1789899418.0313776,2048,64
20260726_formal4t4_reuse_intensive_StaticSemantic@N4_mu0_rep0,0,StaticSemantic@N4_mu0,StaticSemantic,0.0,reuse_intensive,dispatcher_arrival,45588,2,2,15769623694692820738,upsert,1789899418.0285246,1789899418.0314896,2048,64
20260726_formal4t4_reuse_intensive_StaticSemantic@N4_mu0_rep0,0,StaticSemantic@N4_mu0,StaticSemantic,0.0,reuse_intensive,dispatcher_arrival,45588,4,0,12613465747135452669,upsert,1789899419.4860768,1789899419.489044,2048,64
20260726_formal4t4_reuse_intensive_StaticSemantic@N4_mu0_rep0,0,StaticSemantic@N4_mu0,StaticSemantic,0.0,reuse_intensive,dispatcher_arrival,45588,7,3,12613465747135452669,upsert,1789899419.4862814,1789899419.4891303,2048,64
20260726_formal4t4_reuse_intensive_StaticSemantic@N4_mu0_rep0,0,StaticSemantic@N4_mu0,StaticSemantic,0.0,reuse_intensive,dispatcher_arrival,45588,8,0,12523743054995375112,upsert,1789899421.272565,1789899421.2765281,2048,64
20260726_formal4t4_reuse_intensive_StaticSemantic@N4_mu0_rep0,0,StaticSemantic@N4_mu0,StaticSemantic,0.0,reuse_intensive,dispatcher_arrival,45588,11,3,12523743054995375112,upsert,1789899421.2727435,1789899421.2766085,2048,64
20260726_formal4t4_reuse_intensive_StaticSemantic@N4_mu0_rep0,0,StaticSemantic@N4_mu0,StaticSemantic,0.0,reuse_intensive,dispatcher_arrival,45588,12,0,9971321710674973507,upsert,1789899425.6554775,1789899425.6591332,4096,64
20260726_formal4t4_reuse_intensive_StaticSemantic@N4_mu0_rep0,0,StaticSemantic@N4_mu0,StaticSemantic,0.0,reuse_intensive,dispatcher_arrival,45588,15,3,9971321710674973507,upsert,1789899425.6556516,1789899425.6592345,4096,64
20260726_formal4t4_reuse_intensive_StaticSemantic@N4_mu0_rep0,0,StaticSemantic@N4_mu0,StaticSemantic,0.0,reuse_intensive,dispatcher_arrival,45588,16,0,4650049274038987083,upsert,1789899430.568662,1789899430.5724173,4096,64
20260726_formal4t4_reuse_intensive_StaticSemantic@N4_mu0_rep0,0,StaticSemantic@N4_mu0,StaticSemantic,0.0,reuse_intensive,dispatcher_arrival,45588,19,3,4650049274038987083,upsert,1789899430.5688503,1789899430.5725017,4096,64
