experiment_id,rep,cell_id,policy,rho,workload,event,cell,update_id,owner,prefix_digest64,op,generation_time,dispatcher_arrival_time,coverage_tokens,payload_bytes
20260726_formal4t4_reuse_intensive_RateFIFO@N32_mu200_rep0,0,RateFIFO@N32_mu200,RateFIFO,0.0,reuse_intensive,dispatcher_arrival,11034,0,0,15769623694692820738,upsert,1789899723.066987,1789899723.111504,2048,64
20260726_formal4t4_reuse_intensive_RateFIFO@N32_mu200_rep0,0,RateFIFO@N32_mu200,RateFIFO,0.0,reuse_intensive,dispatcher_arrival,11034,2,2,15769623694692820738,upsert,1789899723.0671408,1789899723.111609,2048,64
20260726_formal4t4_reuse_intensive_RateFIFO@N32_mu200_rep0,0,RateFIFO@N32_mu200,RateFIFO,0.0,reuse_intensive,dispatcher_arrival,11034,3,3,15769623694692820738,upsert,1789899723.0672007,1789899723.111667,2048,64
20260726_formal4t4_reuse_intensive_RateFIFO@N32_mu200_rep0,0,RateFIFO@N32_mu200,RateFIFO,0.0,reuse_intensive,dispatcher_arrival,11034,1,1,15769623694692820738,upsert,1789899723.0670793,1789899723.1117544,2048,64
20260726_formal4t4_reuse_intensive_RateFIFO@N32_mu200_rep0,0,RateFIFO@N32_mu200,RateFIFO,0.0,reuse_intensive,dispatcher_arrival,11034,4,0,12613465747135452669,upsert,1789899724.5154722,1789899724.5562744,2048,64
20260726_formal4t4_reuse_intensive_RateFIFO@N32_mu200_rep0,0,RateFIFO@N32_mu200,RateFIFO,0.0,reuse_intensive,dispatcher_arrival,11034,5,1,12613465747135452669,upsert,1789899724.5155652,1789899724.5563705,2048,64
20260726_formal4t4_reuse_intensive_RateFIFO@N32_mu200_rep0,0,RateFIFO@N32_mu200,RateFIFO,0.0,reuse_intensive,dispatcher_arrival,11034,6,2,12613465747135452669,upsert,1789899724.5156095,1789899724.5566595,2048,64
20260726_formal4t4_reuse_intensive_RateFIFO@N32_mu200_rep0,0,RateFIFO@N32_mu200,RateFIFO,0.0,reuse_intensive,dispatcher_arrival,11034,7,3,12613465747135452669,upsert,1789899724.515649,1789899724.5589793,2048,64
20260726_formal4t4_reuse_intensive_RateFIFO@N32_mu200_rep0,0,RateFIFO@N32_mu200,RateFIFO,0.0,reuse_intensive,dispatcher_arrival,11034,8,0,12523743054995375112,upsert,1789899726.1482916,1789899726.1869116,2048,64
20260726_formal4t4_reuse_intensive_RateFIFO@N32_mu200_rep0,0,RateFIFO@N32_mu200,RateFIFO,0.0,reuse_intensive,dispatcher_arrival,11034,10,2,12523743054995375112,upsert,1789899726.1484272,1789899726.1916656,2048,64
