experiment_id,experiment,evidence_type,code_commit,model,hardware,cell_id,relay_cell_id,policy,workload,policy_definition,wire_frame_bytes,wire_bytes_per_msg_assumed,rep,repetitions,seed,workload_trace_hash,zipf_alpha,pool_size,lineage_steps,distinct_lineages_total,phase_shift_at_request,n_requests,warmup_request_count,concurrency,fixed_output_tokens,kv_cache_tokens_per_instance_shadow,max_queue_relay,drain_timeout_s,topk,j,guard_ms,prefill_tokens_per_ms,queue_penalty_ms,cell_order_index,cell_order_sequence,generation_mode,vllm_cache_salt,semantic_prompt_contains_policy,metric_scope,status,request_count,overlap_fraction,cluster_n,drain_fps,sync_s,fanin_frames_sent,apply_upsert_count,apply_upsert_p50_us,apply_upsert_p95_us,overlap_seed_prefixes,overlap_seed_requests,cell_active_s,upserts_generated,upserts_per_s,offered_wire_bit_per_s,affinity_selection_rate,dispatch_state_age_defined_count,dispatch_state_age_mean_s,dispatch_state_age_p50_s,dispatch_state_age_p95_s,dispatcher_view_missing_at_dispatch_rate,source_view_false_negative_rate,source_view_false_positive_rate,physical_false_positive_affinity_rate,source_unique_prefixes_at_end,dispatcher_unique_prefixes_at_end,dispatcher_unique_prefixes_per_wire_byte,vllm_cached_token_rate,vllm_cached_tokens_total,vllm_cached_tokens_per_request,stale_fallback_count,stale_fallback_rate,mean_coverage_shortfall_tokens,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,latency_p50_ms,latency_p95_ms,throughput_requests_per_s,validation_attempt_count,validation_failure_count,fallback_count,incorrect_kv_reuse_count,retried_request_count,request_error_rate,rho,sig_bit_per_s,background_traffic,background_rate,relay_max_inflight,source_local_topk,gateway_global_topk,c0_tokens,theta_s,util_lambda,delay_gate_s,queue_gate_frames,prefix_length,source_upserts_sent,source_tombstones_sent,forced_owner_resets,source_suppressed_upserts,net_msgs_sent,net_msgs_delivered,net_wire_bytes_sent,net_undelivered_at_drain_end,ad_delivery_delay_mean_s,ad_delivery_delay_p50_s,ad_delivery_delay_p95_s,ad_delivery_delay_p99_s,tombstone_delay_p95_s,tc_sig_backlog_bytes_before,tc_sig_backlog_bytes_mid,tc_sig_backlog_bytes_after,tc_sig_dropped_after,tc_class110_sent_bytes_after,tc_class120_sent_bytes_after,tc_class120_sent_bytes_before,relay_forwarded,relay_drop_rate_limit,relay_drop_superseded,relay_drop_duplicate_holder,relay_drop_low_utility,relay_drop_queue_drop,relay_drop_expired,relay_max_queue
20260726_formal4t4_reuse_intensive_Ideal_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,99d4b56ce10b7796d3fcba14a784bdb291165af4,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,35823,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,0,5,20260726,f6247d209fd75f1d08a3583f33198b11da1a2d4593bf5efd2a565ab6355224bd,1.2,64,3,128,60,120,24,4,4,104544,4096,180.0,8,4,0.5,50.0,2.0,0,"Ideal,StaticSemantic@N64_mu200,RateFIFO@N32_mu200,Adaptive@N16_mu200,RateFIFO@N64_mu200,Adaptive@N64_mu200,StaticSemantic@N32_mu200,Adaptive@N4_mu200,StaticSemantic@N4_mu200,RateFIFO@N16_mu200,StaticSemantic@N16_mu200,Adaptive@N32_mu200,RateFIFO@N4_mu200",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:fanin:Ideal:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,4,200.0,1.0,0,184,1.383945345878601,2.9159709811210632,16,64,21.2408151878044,184,8.662567720359679,7207.256343339252,0.2604166666666667,66,1.8901176091396448,0.7355968952178955,8.834190607070923,0.0,0.0,0.0,0.0,47,47,0.0,1.0,213504.0,2224.0,0,0.0,0.0,126.49207984375,103.504012,241.697798,334.280141,327.026249,662.713394,4.519600549752876,25,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_StaticSemantic@N64_mu200_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,99d4b56ce10b7796d3fcba14a784bdb291165af4,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,StaticSemantic@N64_mu200,35824,StaticSemantic,reuse_intensive,"Static semantic aggregation: latest-update replacement, non-preemptive invalidation priority, and at-most-two queued/advertised owners per prefix.",64,104,0,5,20260726,f6247d209fd75f1d08a3583f33198b11da1a2d4593bf5efd2a565ab6355224bd,1.2,64,3,128,60,120,24,4,4,104544,4096,180.0,8,4,0.5,50.0,2.0,1,"Ideal,StaticSemantic@N64_mu200,RateFIFO@N32_mu200,Adaptive@N16_mu200,RateFIFO@N64_mu200,Adaptive@N64_mu200,StaticSemantic@N32_mu200,Adaptive@N4_mu200,StaticSemantic@N4_mu200,RateFIFO@N16_mu200,StaticSemantic@N16_mu200,Adaptive@N32_mu200,RateFIFO@N4_mu200",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:fanin:StaticSemantic@N64_mu200:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,64,200.0,1.0,123499,10290,0.9699724614620209,1.8998980522155762,16,64,103.18899714294821,184,1.7831358487291424,1483.5690261426464,0.2604166666666667,66,42.415766300577104,11.215366840362549,94.67031121253967,0.34375,0.34375,0.0,0.0,47,27,2.099038547054847e-06,1.0,127936.0,1332.6666666666667,0,0.0,0.0,803.13821853125,249.951469,3972.755285,4567.203747,616.707415,4333.012593,0.9303317471630308,25,0,0,0,0,0.0,0.0,100000000,False,none,32,False,0,,,,2.0,8,0,184,0,0,0,123683,10290,12863032,113393,0.10905324423394236,0.11628413200378418,0.14239811897277832,0.147064208984375,0.0,0,0,0,0,1119270,798,798,10322,0,84139,29133,0,0,0,128
20260726_formal4t4_reuse_intensive_RateFIFO@N32_mu200_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,99d4b56ce10b7796d3fcba14a784bdb291165af4,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,RateFIFO@N32_mu200,35825,RateFIFO,reuse_intensive,FIFO plus only a token bucket at the same physical signaling rate; no KV-state semantics.,64,104,0,5,20260726,f6247d209fd75f1d08a3583f33198b11da1a2d4593bf5efd2a565ab6355224bd,1.2,64,3,128,60,120,24,4,4,104544,4096,180.0,8,4,0.5,50.0,2.0,2,"Ideal,StaticSemantic@N64_mu200,RateFIFO@N32_mu200,Adaptive@N16_mu200,RateFIFO@N64_mu200,Adaptive@N64_mu200,StaticSemantic@N32_mu200,Adaptive@N4_mu200,StaticSemantic@N4_mu200,RateFIFO@N16_mu200,StaticSemantic@N16_mu200,Adaptive@N32_mu200,RateFIFO@N4_mu200",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:fanin:RateFIFO@N32_mu200:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,32,200.0,1.0,44885,1465,1.2619420886039734,2.755783498287201,16,64,95.08865572419018,184,1.9350362942736514,1609.950196835678,0.0,66,40.96444791013544,47.60750722885132,87.36124348640442,0.34375,0.34375,0.0,0.0,47,21,4.480309679005013e-06,1.0,127936.0,1332.6666666666667,0,0.0,0.0,690.0779407604167,173.517402,3452.973427,4184.761911,458.017505,3787.228704,1.009584153534079,0,0,0,0,0,0.0,0.0,100000000,False,none,32,False,0,,,,2.0,8,0,184,0,0,0,45069,1465,4687176,43604,0.1744432935942562,0.0821676254272461,0.7840304374694824,2.097771406173706,0.0,0,0,0,0,1299368,798,798,1497,36637,0,0,0,0,0,6935
20260726_formal4t4_reuse_intensive_Adaptive@N16_mu200_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1bb831397787e9bad626d6260ef0d975d497cbcb,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Adaptive@N16_mu200,35826,Adaptive,reuse_intensive,StaticSemantic plus EWMA-delay/queue-aware utility admission and dynamic tightening of the global useful-prefix set.,64,104,0,5,20260726,f6247d209fd75f1d08a3583f33198b11da1a2d4593bf5efd2a565ab6355224bd,1.2,64,3,128,60,120,24,4,4,104544,4096,180.0,8,4,0.5,50.0,2.0,3,"Ideal,StaticSemantic@N64_mu200,RateFIFO@N32_mu200,Adaptive@N16_mu200,RateFIFO@N64_mu200,Adaptive@N64_mu200,StaticSemantic@N32_mu200,Adaptive@N4_mu200,StaticSemantic@N4_mu200,RateFIFO@N16_mu200,StaticSemantic@N16_mu200,Adaptive@N32_mu200,RateFIFO@N4_mu200",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:fanin:Adaptive@N16_mu200:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,200.0,1.0,20564,1549,1.4798715710639954,3.1692907214164734,16,64,100.97043955419213,184,1.822315529301473,1516.1665203788255,0.2916666666666667,66,17.619327798034206,3.7998785972595215,71.19209051132202,0.11458333333333333,0.11458333333333333,0.0,0.0,47,30,1.3903100947635361e-05,1.0,132032.0,1375.3333333333333,0,0.0,0.0,779.3496926875,213.563529,3949.971166,4408.88584,582.031214,4307.424267,0.9507733196355511,28,0,0,0,0,0.0,0.0,100000000,False,none,32,False,16,1024.0,30.0,16.0,2.0,8,0,184,0,0,0,20748,1549,2157792,19199,0.11364970182587517,0.09861564636230469,0.2222886085510254,0.2731294631958008,0.0,0,0,0,0,1524640,798,798,1581,0,331,1410,17420,0,0,8
20260726_formal4t4_reuse_intensive_RateFIFO@N64_mu200_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1bb831397787e9bad626d6260ef0d975d497cbcb,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,RateFIFO@N64_mu200,35827,RateFIFO,reuse_intensive,FIFO plus only a token bucket at the same physical signaling rate; no KV-state semantics.,64,104,0,5,20260726,f6247d209fd75f1d08a3583f33198b11da1a2d4593bf5efd2a565ab6355224bd,1.2,64,3,128,60,120,24,4,4,104544,4096,180.0,8,4,0.5,50.0,2.0,4,"Ideal,StaticSemantic@N64_mu200,RateFIFO@N32_mu200,Adaptive@N16_mu200,RateFIFO@N64_mu200,Adaptive@N64_mu200,StaticSemantic@N32_mu200,Adaptive@N4_mu200,StaticSemantic@N4_mu200,RateFIFO@N16_mu200,StaticSemantic@N16_mu200,Adaptive@N32_mu200,RateFIFO@N4_mu200",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:fanin:RateFIFO@N64_mu200:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,64,200.0,1.0,116208,500,1.4500692486763,3.5543926060199738,16,64,100.54695203294978,184,1.8299908279636583,1522.5523688657638,0.0,66,44.42704184850057,52.7955048084259,90.91084051132202,0.34375,0.34375,0.0,0.0,47,18,1.4870173472139244e-06,1.0,127936.0,1332.6666666666667,0,0.0,0.0,753.5678356041667,176.533257,3991.136892,4665.198292,494.119859,4343.060184,0.954777823285387,0,0,0,0,0,0.0,0.0,100000000,False,none,32,False,0,,,,2.0,8,0,184,0,0,0,116392,500,12104768,115892,0.1282480664253235,0.0652003288269043,0.637702465057373,1.0740323066711426,0.0,0,0,0,0,1591300,840,798,532,105738,0,0,0,0,0,10122
20260726_formal4t4_reuse_intensive_Adaptive@N64_mu200_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1bb831397787e9bad626d6260ef0d975d497cbcb,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Adaptive@N64_mu200,35828,Adaptive,reuse_intensive,StaticSemantic plus EWMA-delay/queue-aware utility admission and dynamic tightening of the global useful-prefix set.,64,104,0,5,20260726,f6247d209fd75f1d08a3583f33198b11da1a2d4593bf5efd2a565ab6355224bd,1.2,64,3,128,60,120,24,4,4,104544,4096,180.0,8,4,0.5,50.0,2.0,5,"Ideal,StaticSemantic@N64_mu200,RateFIFO@N32_mu200,Adaptive@N16_mu200,RateFIFO@N64_mu200,Adaptive@N64_mu200,StaticSemantic@N32_mu200,Adaptive@N4_mu200,StaticSemantic@N4_mu200,RateFIFO@N16_mu200,StaticSemantic@N16_mu200,Adaptive@N32_mu200,RateFIFO@N4_mu200",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:fanin:Adaptive@N64_mu200:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,64,200.0,1.0,122235,5468,1.2740492820739746,2.4568289518356323,16,64,102.71100881509483,184,1.7914340645922915,1490.4731417407863,0.2604166666666667,66,41.22858740344192,53.95250225067139,91.42293071746826,0.2708333333333333,0.2708333333333333,0.0,0.0,47,23,1.8065320428515683e-06,1.0,127952.0,1332.8333333333333,0,0.0,0.0,772.32052946875,205.589399,3719.559939,4912.481801,555.04946,4040.689619,0.9346612510916303,25,0,0,0,0,0.0,0.0,100000000,False,none,32,False,16,1024.0,30.0,16.0,2.0,8,0,184,0,0,0,122419,5468,12731576,116951,0.07821996498038146,0.07306170463562012,0.11430668830871582,0.13277816772460938,0.0,0,0,0,0,2373172,840,840,5497,0,842,5214,110866,0,0,8
20260726_formal4t4_reuse_intensive_StaticSemantic@N32_mu200_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1bb831397787e9bad626d6260ef0d975d497cbcb,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,StaticSemantic@N32_mu200,35829,StaticSemantic,reuse_intensive,"Static semantic aggregation: latest-update replacement, non-preemptive invalidation priority, and at-most-two queued/advertised owners per prefix.",64,104,0,5,20260726,f6247d209fd75f1d08a3583f33198b11da1a2d4593bf5efd2a565ab6355224bd,1.2,64,3,128,60,120,24,4,4,104544,4096,180.0,8,4,0.5,50.0,2.0,6,"Ideal,StaticSemantic@N64_mu200,RateFIFO@N32_mu200,Adaptive@N16_mu200,RateFIFO@N64_mu200,Adaptive@N64_mu200,StaticSemantic@N32_mu200,Adaptive@N4_mu200,StaticSemantic@N4_mu200,RateFIFO@N16_mu200,StaticSemantic@N16_mu200,Adaptive@N32_mu200,RateFIFO@N4_mu200",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:fanin:StaticSemantic@N32_mu200:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,32,200.0,1.0,51811,6902,1.0738149285316467,2.284068614244461,16,64,107.42049778625369,184,1.7128946876240037,1425.1283801031711,0.21875,66,44.75127258445277,13.868945598602295,98.33785963058472,0.34375,0.34375,0.0,0.0,47,25,4.623225606012412e-06,1.0,127936.0,1332.6666666666667,0,0.0,0.0,821.632549875,225.501467,4097.110211,4674.423335,551.137383,4451.78365,0.8936841848473063,21,0,0,0,0,0.0,0.0,100000000,False,none,32,False,0,,,,2.0,8,0,184,0,0,0,51995,6902,5407480,45093,0.10868023157603358,0.10913753509521484,0.15706872940063477,0.1618359088897705,0.0,0,0,0,0,3399538,840,840,6934,0,29319,15675,0,0,0,96
20260726_formal4t4_reuse_intensive_Adaptive@N4_mu200_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1bb831397787e9bad626d6260ef0d975d497cbcb,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Adaptive@N4_mu200,35830,Adaptive,reuse_intensive,StaticSemantic plus EWMA-delay/queue-aware utility admission and dynamic tightening of the global useful-prefix set.,64,104,0,5,20260726,f6247d209fd75f1d08a3583f33198b11da1a2d4593bf5efd2a565ab6355224bd,1.2,64,3,128,60,120,24,4,4,104544,4096,180.0,8,4,0.5,50.0,2.0,7,"Ideal,StaticSemantic@N64_mu200,RateFIFO@N32_mu200,Adaptive@N16_mu200,RateFIFO@N64_mu200,Adaptive@N64_mu200,StaticSemantic@N32_mu200,Adaptive@N4_mu200,StaticSemantic@N4_mu200,RateFIFO@N16_mu200,StaticSemantic@N16_mu200,Adaptive@N32_mu200,RateFIFO@N4_mu200",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:fanin:Adaptive@N4_mu200:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,4,200.0,1.0,0,147,2.4102628231048584,4.616100341081619,16,64,104.793591263704,184,1.755832563624811,1460.8526929358427,0.3958333333333333,66,13.103175455873663,4.638761520385742,63.24065852165222,0.041666666666666664,0.041666666666666664,0.0,0.0,47,47,0.002456103678929766,1.0,142288.0,1482.1666666666667,0,0.0,0.0,721.0145738854167,213.516961,4140.418197,5034.542486,543.634937,4490.996602,0.916086554934684,38,0,0,0,0,0.0,0.0,100000000,False,none,32,False,16,1024.0,30.0,16.0,2.0,8,0,184,0,0,0,184,147,19136,37,0.043801912645093435,0.042749643325805664,0.04571795463562012,0.08789944648742676,0.0,0,0,0,0,3428622,840,840,147,0,3,34,0,0,0,3
20260726_formal4t4_reuse_intensive_StaticSemantic@N4_mu200_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1bb831397787e9bad626d6260ef0d975d497cbcb,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,StaticSemantic@N4_mu200,35831,StaticSemantic,reuse_intensive,"Static semantic aggregation: latest-update replacement, non-preemptive invalidation priority, and at-most-two queued/advertised owners per prefix.",64,104,0,5,20260726,f6247d209fd75f1d08a3583f33198b11da1a2d4593bf5efd2a565ab6355224bd,1.2,64,3,128,60,120,24,4,4,104544,4096,180.0,8,4,0.5,50.0,2.0,8,"Ideal,StaticSemantic@N64_mu200,RateFIFO@N32_mu200,Adaptive@N16_mu200,RateFIFO@N64_mu200,Adaptive@N64_mu200,StaticSemantic@N32_mu200,Adaptive@N4_mu200,StaticSemantic@N4_mu200,RateFIFO@N16_mu200,StaticSemantic@N16_mu200,Adaptive@N32_mu200,RateFIFO@N4_mu200",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:fanin:StaticSemantic@N4_mu200:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,4,200.0,1.0,0,148,2.54996120929718,4.161149263381958,16,64,108.53585737105459,184,1.6952922698252064,1410.4831684945718,0.3645833333333333,66,12.770736535390219,4.56674861907959,67.52231860160828,0.041666666666666664,0.041666666666666664,0.0,0.0,47,47,0.002456103678929766,1.0,142288.0,1482.1666666666667,0,0.0,0.0,731.77847815625,227.907314,3844.786979,5001.480796,579.072012,4200.815469,0.8845003146914121,35,0,0,0,0,0.0,0.0,100000000,False,none,32,False,0,,,,2.0,8,0,184,0,0,0,184,148,19136,36,0.04331865826168576,0.04258537292480469,0.04582715034484863,0.09485435485839844,0.0,0,0,0,0,3457902,840,840,148,0,2,34,0,0,0,3
20260726_formal4t4_reuse_intensive_RateFIFO@N16_mu200_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1bb831397787e9bad626d6260ef0d975d497cbcb,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,RateFIFO@N16_mu200,35832,RateFIFO,reuse_intensive,FIFO plus only a token bucket at the same physical signaling rate; no KV-state semantics.,64,104,0,5,20260726,f6247d209fd75f1d08a3583f33198b11da1a2d4593bf5efd2a565ab6355224bd,1.2,64,3,128,60,120,24,4,4,104544,4096,180.0,8,4,0.5,50.0,2.0,9,"Ideal,StaticSemantic@N64_mu200,RateFIFO@N32_mu200,Adaptive@N16_mu200,RateFIFO@N64_mu200,Adaptive@N64_mu200,StaticSemantic@N32_mu200,Adaptive@N4_mu200,StaticSemantic@N4_mu200,RateFIFO@N16_mu200,StaticSemantic@N16_mu200,Adaptive@N32_mu200,RateFIFO@N4_mu200",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:fanin:RateFIFO@N16_mu200:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,200.0,1.0,23032,1767,1.310836523771286,2.553686499595642,16,64,111.20743857510388,184,1.654565579043849,1376.5985617644822,0.03125,66,32.052552833701625,10.996558427810669,98.44677948951721,0.19791666666666666,0.19791666666666666,0.0,0.0,47,28,1.159677675873403e-05,1.0,132032.0,1375.3333333333333,0,0.0,0.0,806.7100087708333,186.542859,4423.694149,5271.425485,483.097456,4791.026735,0.8632516064576603,3,0,0,0,0,0.0,0.0,100000000,False,none,32,False,0,,,,2.0,8,0,184,0,0,0,23216,1767,2414464,21449,2.7906849525982738,0.0928351879119873,14.079791069030762,16.041740655899048,0.0,0,0,0,0,3691120,840,840,1799,18083,0,0,0,0,0,3334
