cluster_n,policy,n_reps,ttft_mean_ms,ttft_ci95_ms,view_missing_mean,view_missing_ci95,offered_frames_per_s,offered_ci95,relay_max_queue_mean,ad_delivery_delay_p95_s,rho_ctrl_measured
4,Adaptive,5,1034.0158273979166,156.65224361500768,0.04583333333333333,0.015278434329326927,1.5773556096580126,0.09393665741087978,3.0,0.04586901664733887,0.007886778048290063
4,RateFIFO,5,1015.0071558416666,145.64457862066567,0.04583333333333333,0.015278434329326927,1.5830880355038413,0.07314164287960126,3.0,0.045911312103271484,0.007915440177519207
4,StaticSemantic,5,1049.2186525854165,157.73298248654052,0.04583333333333333,0.015278434329326927,1.5575233671745987,0.0767803296972924,3.0,0.045844507217407224,0.007787616835872994
16,Adaptive,5,1210.6918551270833,237.23760568702798,0.2791666666666667,0.09048062254182139,263.24024243251404,39.907457866364794,7.8,0.20783576965332032,1.3162012121625701
16,RateFIFO,5,1091.9779723958331,209.91696147565736,0.13541666666666669,0.07720632080485522,254.61634818324166,35.19543005188593,2885.0,7.258981561660766,1.2730817409162083
16,StaticSemantic,5,1241.7293735208336,236.10055776394688,0.3625,0.031891852843285495,263.743845680511,35.93967708244507,87.0,0.27512259483337403,1.318719228402555
32,Adaptive,5,1186.5797038083333,184.590660700399,0.28958333333333336,0.06206129362708021,591.0810238670505,85.01999631513878,8.0,0.14720959663391114,2.955405119335252
32,RateFIFO,5,1161.6549745666666,261.8186972189738,0.36041666666666666,0.033298575628529344,599.9139639330112,89.73316626984379,12198.4,1.4226346015930176,2.9995698196650564
32,StaticSemantic,5,1220.86419944375,266.96236961628523,0.35,0.00816666666666666,600.5746087761064,89.04215331834551,102.6,0.16096115112304688,3.0028730438805322
64,Adaptive,5,1154.1642917520835,191.34274753766104,0.29999999999999993,0.03841372909954634,1464.3604960558048,185.08107094170427,8.0,0.10752053260803222,7.321802480279024
64,RateFIFO,5,1175.7500914916666,254.06134584206794,0.3625,0.031891852843285495,1465.1413936065355,207.95738394708064,15935.6,0.49910778999328614,7.325706968032677
64,StaticSemantic,5,1240.2924130166666,264.29988772489514,0.31666666666666665,0.03629346053737199,1480.6989535190967,196.55724590707246,134.4,0.14135608673095704,7.403494767595483
