cluster_n,policy,n_reps,path_delay_mean_s,path_delay_mean_ci95,path_delay_p95_s,path_delay_p95_ci95,relay_max_queue_mean,relay_max_queue_ci95,apply_upsert_p50_us,apply_upsert_p95_us
4,Adaptive,5,0.04387945536422545,0.00019611324588875525,0.04586901664733887,0.00012053475924343002,3.0,0.0,2.5578774511814117,4.5913271605968475
4,RateFIFO,5,0.04396673026292221,0.00020331138951921074,0.045911312103271484,0.00014843751895118776,3.0,0.0,2.5051645934581757,4.7849491238594055
4,StaticSemantic,5,0.043648400881708946,0.00020788718678325883,0.045844507217407224,9.270342804558964e-05,3.0,0.0,2.7105212211608887,4.813261330127716
16,Adaptive,5,0.10496992617185405,0.021161968093041404,0.20783576965332032,0.033709274221015405,7.8,0.3919999999999999,1.4543533325195312,3.0326656997203827
16,RateFIFO,5,1.2173149973961879,1.017589477625743,7.258981561660766,5.733141920354784,2885.0,1750.7674080585348,1.1613592505455017,2.6104971766471863
16,StaticSemantic,5,0.16494752397108317,0.004540533176910668,0.27512259483337403,0.00177357167246737,87.0,7.228122854517623,1.2930482625961304,2.774316817522049
32,Adaptive,5,0.09508403021669531,0.0021707070026770556,0.14720959663391114,0.0011282047517535475,8.0,0.0,1.4802441000938416,2.8949230909347534
32,RateFIFO,5,0.3158783511900455,0.18362205302860318,1.4226346015930176,0.9091349772346565,12198.4,2904.594924972499,1.1632218956947327,2.524629235267639
32,StaticSemantic,5,0.11165517942475231,0.0027354787578501402,0.16096115112304688,0.0037954645785198736,102.6,7.580919205478977,1.0534189641475677,2.1517276763916016
64,Adaptive,5,0.0762765353869502,0.0011218862731720428,0.10752053260803222,0.0033920704228742244,8.0,0.0,1.3754703104496002,2.6522204279899597
64,RateFIFO,5,0.1221137267485731,0.020978867068265857,0.49910778999328614,0.1470682265483638,15935.6,3604.8980289733577,1.311022788286209,3.0941329896450043
64,StaticSemantic,5,0.10532808177598152,0.003322407583332627,0.14135608673095704,0.0005731132703217006,134.4,7.24404969612992,0.9855255484580994,2.016313374042511
